timestamp,roll,pitch,yaw
1528452829092449,1.55245,-1.12,-1.46519
1528452829116381,1.55339,-1.12001,-1.46445
1528452829133334,1.55486,-1.12106,-1.46381
1528452829152284,1.55617,-1.12264,-1.46318
1528452829169266,1.55667,-1.12484,-1.463
1528452829191200,1.55573,-1.1281,-1.46342
1528452829213121,1.55342,-1.13275,-1.46479
1528452829252017,1.54911,-1.13851,-1.46558
1528452829260993,1.54432,-1.1454,-1.46598
1528452829269969,1.54003,-1.1529,-1.46616
1528452829290919,1.53608,-1.16054,-1.46615
1528452829318838,1.53065,-1.16784,-1.4643
1528452829327814,1.52472,-1.17526,-1.46124
1528452829348758,1.51902,-1.18236,-1.457
1528452829393639,1.51423,-1.18782,-1.45144
1528452829394636,1.51127,-1.19156,-1.4456
1528452829409596,1.50949,-1.19371,-1.44005
1528452829430540,1.50951,-1.19396,-1.43656
1528452829453478,1.51013,-1.19338,-1.4341
1528452829468438,1.51194,-1.19095,-1.43273
1528452829483398,1.5147,-1.18744,-1.43237
1528452829505341,1.51748,-1.1827,-1.43256
1528452829528279,1.52095,-1.17686,-1.43387
1528452829543239,1.52522,-1.17026,-1.43676
1528452829566177,1.53016,-1.16392,-1.4405
1528452829596096,1.53466,-1.15785,-1.44291
1528452829611058,1.53891,-1.15316,-1.44244
1528452829626017,1.54148,-1.14789,-1.43788
1528452829647959,1.54285,-1.14019,-1.4311
1528452829671898,1.54694,-1.13076,-1.42826
1528452829685859,1.54958,-1.12262,-1.42875
1528452829707800,1.5494,-1.11688,-1.43053
1528452829730738,1.55072,-1.11508,-1.4337
1528452829745705,1.55642,-1.11625,-1.43816
1528452829768637,1.56496,-1.12004,-1.44392
1528452829790578,1.5713,-1.12588,-1.45033
1528452829805540,1.57188,-1.13345,-1.4558
1528452829828478,1.56836,-1.14249,-1.46019
1528452829850418,1.56455,-1.15281,-1.46268
1528452829873357,1.56366,-1.16222,-1.46303
1528452829888317,1.56635,-1.16872,-1.46227
1528452829910258,1.57162,-1.17161,-1.46316
1528452829933197,1.57618,-1.17251,-1.46587
1528452829948158,1.57788,-1.17279,-1.46864
1528452829963118,1.57664,-1.17281,-1.47013
1528452829986055,1.57132,-1.17212,-1.4671
1528452830007998,1.56613,-1.16884,-1.4625
1528452830023954,1.56316,-1.16348,-1.45929
1528452830045895,1.56171,-1.15831,-1.45858
1528452830067866,1.55988,-1.15477,-1.45874
1528452830082796,1.55957,-1.1529,-1.45894
1528452830106023,1.56097,-1.15247,-1.4591
1528452830127991,1.5626,-1.15318,-1.45993
1528452830150932,1.56273,-1.15537,-1.46159
1528452830165861,1.5606,-1.15864,-1.46303
1528452830188834,1.55657,-1.16227,-1.46319
1528452830203815,1.55438,-1.16557,-1.46324
1528452830227035,1.55485,-1.16707,-1.46275
1528452830247982,1.55704,-1.16624,-1.46238
1528452830262957,1.56017,-1.16291,-1.46379
1528452830285880,1.56298,-1.15798,-1.4669
1528452830308019,1.56646,-1.1523,-1.47271
1528452830323146,1.56839,-1.14667,-1.47874
1528452830362000,1.56915,-1.14144,-1.48343
1528452830368222,1.56847,-1.13676,-1.48447
1528452830384217,1.56735,-1.13142,-1.4825
1528452830406896,1.56642,-1.12401,-1.47885
1528452830428052,1.56817,-1.11409,-1.47802
1528452830444073,1.57149,-1.1042,-1.48132
1528452830467675,1.57378,-1.09589,-1.48672
1528452830488630,1.57498,-1.09016,-1.49257
1528452830503567,1.57618,-1.08789,-1.49784
1528452830527740,1.57782,-1.08832,-1.50233
1528452830548684,1.5788,-1.09134,-1.50636
1528452830563730,1.57942,-1.09602,-1.50969
1528452830587000,1.57945,-1.10196,-1.51173
1528452830607945,1.57916,-1.10847,-1.5114
1528452830630883,1.58069,-1.11461,-1.50907
1528452830646839,1.58453,-1.11898,-1.50595
1528452830667784,1.58974,-1.12151,-1.50382
1528452830683741,1.59394,-1.12361,-1.503
1528452830707679,1.59679,-1.12558,-1.5033
1528452830728674,1.59916,-1.12749,-1.50533
1528452830743634,1.59991,-1.12981,-1.50718
1528452830767519,1.60003,-1.1332,-1.50804
1528452830788461,1.60006,-1.13728,-1.50713
1528452830804455,1.60088,-1.1413,-1.5049
1528452830827358,1.60179,-1.14576,-1.50126
1528452830855336,1.6013,-1.15001,-1.49569
1528452830864259,1.6001,-1.15509,-1.48924
1528452830887199,1.59637,-1.16018,-1.48001
1528452830910193,1.59256,-1.16546,-1.47026
1528452830924100,1.58721,-1.16981,-1.45834
1528452830947039,1.58223,-1.17326,-1.44653
1528452830968140,1.57797,-1.17544,-1.43603
1528452830983938,1.57439,-1.17722,-1.42753
1528452831007152,1.57099,-1.18022,-1.42171
1528452831028160,1.5667,-1.18461,-1.41784
1528452831044184,1.56197,-1.19045,-1.41637
1528452831066327,1.55642,-1.19864,-1.41665
1528452831088671,1.54985,-1.20795,-1.41812
1528452831112763,1.54286,-1.21765,-1.41994
1528452831126780,1.53686,-1.22758,-1.42292
1528452831149706,1.5308,-1.23669,-1.42544
1528452831163854,1.52453,-1.24457,-1.42643
1528452831187215,1.51847,-1.25086,-1.4262
1528452831209572,1.51323,-1.25476,-1.42606
1528452831223713,1.50925,-1.25582,-1.42681
1528452831246856,1.5072,-1.25435,-1.42947
