timestamp,x,y,z,w
1528442957893286,-0.277832,0.53479,-0.630615,-0.489014
1528442957919221,-0.269531,0.540222,-0.63269,-0.485107
1528442957946147,-0.257385,0.548157,-0.635254,-0.479309
1528442957955121,-0.241089,0.55896,-0.638794,-0.470581
1528442957976065,-0.220703,0.571899,-0.644043,-0.457703
1528442958006011,-0.197876,0.585144,-0.6521,-0.439636
1528442958014961,-0.172424,0.596863,-0.664246,-0.41571
1528442958065826,-0.145386,0.605469,-0.680908,-0.38562
1528442958073803,-0.117371,0.609314,-0.702026,-0.349426
1528442958106729,-0.086792,0.608704,-0.726257,-0.307434
1528442958140636,-0.0534058,0.604431,-0.75061,-0.261536
1528442958163563,0.024353,0.593994,-0.787781,-0.161133
1528442958185505,0.0668335,0.58844,-0.798828,-0.105713
1528442958217421,0.108948,0.580017,-0.805908,-0.0476074
1528442958238364,0.149109,0.565674,-0.810974,0.0105591
1528442958269280,0.224609,0.51886,-0.81604,0.119934
1528442958291222,0.260681,0.487915,-0.815613,0.169373
1528442958306190,0.294312,0.454956,-0.812683,0.214478
1528442958328124,0.324036,0.424377,-0.80603,0.255432
1528442958351063,0.350098,0.397095,-0.795959,0.293579
1528442958367021,0.372437,0.371155,-0.784607,0.328491
1528442958373006,0.391235,0.345764,-0.773621,0.358887
1528442958417884,0.406982,0.322266,-0.763306,0.384521
1528442958470744,0.439026,0.264526,-0.736877,0.440796
1528442958493682,0.44458,0.251343,-0.728821,0.456055
1528442958508642,0.446533,0.241455,-0.722107,0.469849
1528442958530583,0.445679,0.234436,-0.717896,0.480652
1528442958553523,0.444641,0.228149,-0.714478,0.489563
1528442958568483,0.444031,0.221191,-0.712036,0.496948
1528442958590424,0.44281,0.214966,-0.709778,0.503845
1528442958613362,0.439697,0.211182,-0.708252,0.510376
1528442958636309,0.435059,0.208313,-0.706726,0.517578
1528442958651261,0.433716,0.205994,-0.704041,0.523193
1528442958673201,0.435913,0.205383,-0.702209,0.524109
1528442958696141,0.440796,0.203918,-0.702759,0.519836
1528442958711156,0.448242,0.200623,-0.705017,0.511597
1528442958733042,0.456299,0.198242,-0.70813,0.500977
1528442958755981,0.461975,0.199646,-0.712463,0.488953
1528442958777960,0.466309,0.201843,-0.717651,0.476135
1528442958801197,0.470764,0.204651,-0.722046,0.463867
1528442958824163,0.473083,0.211731,-0.72583,0.452271
1528442958838763,0.471802,0.224609,-0.730347,0.43988
1528442958853720,0.466553,0.24115,-0.736633,0.426086
1528442958875691,0.458435,0.260376,-0.743958,0.410522
