timestamp,x,y,z,w
1528185264413749,-0.342163,-0.627319,-0.453247,0.532959
1528185264438648,-0.342285,-0.626831,-0.453308,0.533386
1528185264451619,-0.342102,-0.626526,-0.453125,0.534058
1528185264473547,-0.341248,-0.626648,-0.452515,0.534973
1528185264498481,-0.340149,-0.627197,-0.451477,0.535889
1528185264512442,-0.33905,-0.62793,-0.450439,0.53656
1528185264564305,-0.338196,-0.628662,-0.449707,0.536926
1528185264565301,-0.337952,-0.628967,-0.449219,0.537048
1528185264573282,-0.33844,-0.628723,-0.449341,0.536926
1528185264588241,-0.339966,-0.627563,-0.450134,0.536621
1528185264605196,-0.342529,-0.625488,-0.451538,0.536316
1528185264624144,-0.345947,-0.622437,-0.45343,0.536072
1528185264648083,-0.34967,-0.618958,-0.455322,0.536072
1528185264685994,-0.353394,-0.615234,-0.456909,0.536499
1528185264685994,-0.356567,-0.611694,-0.458252,0.537354
1528185264705927,-0.35907,-0.608521,-0.459106,0.538513
1528185264720887,-0.36084,-0.605957,-0.4599,0.539612
1528185264742827,-0.362122,-0.603882,-0.460754,0.540283
1528185264765766,-0.362976,-0.602356,-0.461975,0.540466
1528185264780727,-0.363647,-0.601257,-0.463135,0.540222
1528185264802669,-0.363586,-0.600891,-0.464111,0.539795
1528185264825607,-0.362671,-0.601624,-0.4646,0.539124
1528185264840568,-0.360901,-0.603149,-0.464905,0.538391
1528185264863506,-0.358521,-0.605347,-0.465149,0.537354
1528185264885473,-0.355835,-0.60791,-0.465271,0.536072
1528185264900406,-0.353027,-0.610718,-0.465454,0.534607
1528185264923345,-0.35022,-0.613586,-0.465576,0.533081
1528185264945287,-0.347168,-0.616699,-0.465393,0.531616
1528185264960247,-0.343994,-0.620117,-0.464783,0.530273
1528185264985180,-0.34082,-0.623596,-0.463867,0.528992
1528185265006125,-0.337952,-0.626953,-0.46283,0.527771
1528185265021092,-0.335693,-0.629883,-0.462036,0.526428
1528185265043025,-0.334351,-0.63208,-0.461609,0.525024
1528185265065963,-0.333862,-0.633545,-0.461487,0.523682
1528185265081920,-0.334106,-0.634399,-0.461548,0.522461
1528185265102867,-0.335083,-0.634705,-0.461487,0.521545
1528185265128797,-0.336487,-0.634583,-0.461182,0.520996
1528185265141778,-0.338318,-0.634033,-0.460876,0.520752
1528185265162706,-0.340454,-0.633057,-0.460571,0.520813
1528185265185644,-0.342896,-0.631714,-0.460327,0.521118
1528185265202599,-0.345581,-0.629883,-0.460083,0.521667
1528185265223544,-0.348633,-0.627686,-0.4599,0.522522
1528185265248476,-0.351746,-0.625122,-0.459778,0.523621
1528185265262439,-0.354858,-0.622375,-0.459656,0.524902
1528185265283382,-0.357544,-0.619568,-0.459412,0.52655
1528185265301334,-0.360107,-0.61676,-0.459167,0.528381
1528185265331255,-0.362488,-0.613831,-0.459351,0.530029
1528185265343224,-0.364624,-0.610718,-0.459961,0.531555
1528185265361174,-0.366516,-0.607666,-0.460876,0.53302
1528185265382118,-0.367737,-0.604919,-0.461914,0.534302
1528185265411041,-0.368286,-0.602783,-0.462952,0.535522
1528185265426046,-0.36792,-0.601379,-0.463867,0.53656
1528185265444008,-0.366699,-0.600891,-0.4646,0.537292
1528185265462903,-0.364746,-0.601196,-0.465332,0.537659
1528185265492866,-0.362427,-0.602051,-0.466003,0.537659
1528185265503799,-0.359863,-0.603455,-0.466675,0.537231
1528185265522798,-0.357178,-0.605225,-0.467407,0.536377
1528185265546737,-0.354614,-0.607239,-0.468201,0.535156
1528185265563636,-0.352356,-0.609131,-0.469116,0.533691
1528185265583634,-0.350464,-0.610779,-0.470276,0.531982
1528185265608514,-0.349121,-0.612061,-0.471619,0.530212
1528185265623474,-0.348328,-0.612854,-0.473083,0.528503
1528185265643442,-0.347839,-0.613403,-0.474365,0.5271
1528185265667621,-0.347412,-0.61377,-0.475403,0.52594
1528185265682640,-0.346985,-0.614319,-0.475952,0.525085
1528185265705143,-0.346375,-0.61499,-0.476196,0.524536
1528185265727121,-0.345703,-0.615906,-0.476013,0.524048
1528185265743344,-0.345398,-0.616821,-0.475769,0.523438
1528185265765358,-0.34552,-0.617554,-0.475586,0.522583
1528185265786682,-0.346191,-0.617859,-0.475891,0.521484
1528185265802561,-0.347351,-0.617981,-0.476318,0.520203
1528185265825499,-0.348633,-0.61792,-0.476563,0.519165
1528185265853425,-0.349854,-0.61792,-0.47644,0.518494
1528185265862401,-0.350647,-0.618164,-0.47583,0.518188
1528185265885340,-0.351074,-0.618713,-0.474792,0.51825
1528185265906894,-0.351318,-0.619446,-0.47345,0.518433
1528185265922734,-0.351807,-0.620056,-0.472107,0.518555
1528185265945672,-0.352844,-0.620239,-0.47113,0.518555
1528185265966617,-0.354309,-0.619934,-0.470459,0.518494
1528185265982570,-0.356018,-0.619263,-0.470032,0.518494
1528185266005509,-0.357971,-0.618225,-0.46991,0.518555
1528185266027668,-0.360168,-0.616882,-0.46991,0.518677
1528185266057006,-0.362366,-0.615295,-0.470032,0.51886
1528185266065629,-0.364075,-0.613831,-0.470215,0.519226
1528185266088683,-0.365173,-0.612854,-0.46991,0.519897
1528185266109580,-0.365845,-0.612305,-0.46936,0.52063
1528185266131975,-0.366089,-0.612,-0.46875,0.521301
1528185266147733,-0.366089,-0.611816,-0.468506,0.52179
1528185266169415,-0.366028,-0.61145,-0.468567,0.522156
1528185266185306,-0.366211,-0.610718,-0.468994,0.522522
1528185266208042,-0.366455,-0.60968,-0.469543,0.523071
1528185266229687,-0.366028,-0.608704,-0.470337,0.523743
1528185266245345,-0.364807,-0.608582,-0.470337,0.524841
1528185266268667,-0.362854,-0.60907,-0.469727,0.526123
1528185266289618,-0.360352,-0.610352,-0.46875,0.527222
1528185266305348,-0.357971,-0.612,-0.467529,0.528015
1528185266328123,-0.355774,-0.613586,-0.466675,0.528381
1528185266349068,-0.35437,-0.614685,-0.466553,0.528137
1528185266366141,-0.354248,-0.614868,-0.467468,0.527222
1528185266387964,-0.355591,-0.613831,-0.469482,0.525818
1528185266409193,-0.358032,-0.611633,-0.472107,0.524292
1528185266425197,-0.360657,-0.60907,-0.474609,0.523193
1528185266448136,-0.362732,-0.606812,-0.476501,0.522644
1528185266469084,-0.363647,-0.605347,-0.477539,0.522827
1528185266485266,-0.363281,-0.604797,-0.477844,0.523438
1528185266507980,-0.362,-0.605103,-0.477539,0.524231
1528185266528936,-0.360107,-0.60614,-0.476807,0.525024
1528185266544890,-0.357849,-0.607849,-0.47583,0.525513
1528185266567867,-0.355469,-0.609985,-0.474731,0.525574
1528185266589002,-0.353638,-0.612122,-0.473938,0.525085
1528185266605970,-0.3526,-0.613647,-0.473816,0.524109
1528185266627751,-0.3526,-0.614441,-0.474304,0.522766
1528185266648838,-0.353333,-0.614624,-0.474854,0.521484
1528185266665610,-0.354248,-0.614685,-0.475281,0.520447
1528185266687523,-0.354919,-0.614685,-0.475403,0.519775
1528185266708495,-0.355408,-0.614807,-0.47522,0.519531
1528185266724417,-0.355652,-0.614929,-0.474792,0.519592
1528185266747383,-0.35553,-0.615173,-0.473999,0.520142
1528185266769296,-0.354858,-0.615784,-0.472717,0.521057
1528185266784237,-0.353699,-0.616821,-0.471008,0.522217
1528185266808210,-0.352539,-0.61792,-0.469299,0.523193
1528185266829172,-0.351807,-0.618835,-0.468018,0.523743
1528185266845124,-0.351807,-0.619263,-0.467224,0.523926
1528185266868014,-0.352539,-0.619263,-0.466919,0.523682
1528185266889013,-0.353577,-0.618958,-0.46698,0.523376
1528185266904974,-0.354675,-0.618469,-0.467041,0.523132
1528185266927856,-0.355652,-0.618103,-0.46698,0.522949
1528185266950820,-0.356262,-0.61792,-0.466797,0.522888
1528185266964756,-0.356506,-0.617981,-0.466431,0.522949
1528185266987696,-0.356567,-0.618164,-0.466003,0.523132
