timestamp,x,y,z
1528185334245566,-4.9375,-10.375,-12.3125
1528185334262521,11.375,-8.75,-13.5625
1528185334283490,15.9375,-6.375,-13.4375
1528185334307413,12.8125,-1.4375,-9.3125
1528185334322361,-4.5625,-1.5,-6.8125
1528185334343323,-16.8125,-0.125,-4.9375
1528185334367252,-18.5,2.3125,-2.875
1528185334397161,-11.6875,4.9375,-1.125
1528185334406138,-1.875,7.6875,-0.375
1528185334420099,6.6875,10.0625,0.625
1528185334444034,14.3125,12.0,0.875
1528185334459993,20.4375,12.9375,1.3125
1528185334479939,25.1875,12.8125,1.625
1528185334533795,28.5625,11.1875,0.0
1528185334534793,29.9375,7.8125,-2.5625
1528185334541773,30.9375,3.625,-5.6875
1528185334561720,17.875,-2.625,-7.6875
1528185334577677,-1.5,-6.3125,-8.9375
1528185334607598,-11.875,-10.5,-11.0625
1528185334629540,-10.625,-15.1875,-12.875
1528185334645496,-16.625,-15.1875,-11.1875
1528185334668435,-22.75,-13.5625,-9.3125
1528185334689379,-23.125,-10.125,-7.3125
1528185334705336,-20.625,-7.3125,-4.5625
1528185334728277,-15.125,-4.875,-2.9375
1528185334749219,-8.375,-2.75,-1.4375
1528185334765178,-1.625,-0.0625,0.5625
1528185334788117,1.0625,2.0,1.9375
1528185334809060,1.875,3.0625,2.8125
1528185334826014,1.25,3.125,3.875
1528185334847972,0.0,2.75,4.25
1528185334868900,1.875,2.6875,4.75
1528185334885856,6.4375,3.125,5.4375
1528185334907806,12.3125,5.0,4.125
1528185334928741,18.5,7.25,5.0
1528185334945694,18.0,7.6875,5.125
1528185334967636,15.0,7.6875,5.625
1528185334989591,10.6875,7.5625,5.9375
1528185335004537,7.4375,7.1875,5.625
1528185335028473,8.375,6.5625,5.875
1528185335041443,13.3125,6.0,4.9375
1528185335056399,16.75,5.0625,4.5
1528185335078610,14.0625,3.4375,4.6875
1528185335101406,4.8125,1.625,5.5625
1528185335116098,-3.3125,0.3125,6.3125
1528185335138302,-4.1875,0.6875,6.625
1528185335161053,3.6875,1.75,6.0
1528185335176180,13.4375,2.875,5.9375
1528185335198877,18.625,4.3125,6.5625
1528185335213836,14.1875,5.5,7.4375
1528185335236775,3.9375,7.0,7.4375
1528185335258961,1.1875,8.625,7.4375
1528185335273923,4.9375,9.1875,4.8125
1528185335295891,11.0,8.6875,3.5
1528185335318880,13.375,7.6875,0.625
1528185335334073,13.25,5.4375,-2.0
1528185335355734,11.3125,2.75,-3.3125
1528185335378670,9.625,1.0,-5.0625
1528185335393526,9.625,0.4375,-7.25
1528185335416205,7.875,0.0,-8.625
1528185335438506,8.1875,0.5,-9.1875
1528185335454217,12.1875,1.0625,-9.75
1528185335476045,15.25,1.1875,-9.1875
1528185335498983,14.6875,1.3125,-9.5
1528185335515799,9.0,1.125,-9.375
1528185335535752,1.3125,0.125,-8.4375
1528185335558928,-4.625,-1.0625,-7.4375
1528185335574977,-4.6875,-1.25,-7.0
1528185335597587,-1.3125,-1.6875,-7.6875
1528185335619790,2.1875,-1.625,-7.5625
1528185335635481,1.6875,-1.75,-6.9375
1528185335656712,-1.625,-2.1875,-5.75
1528185335678671,-5.375,-2.4375,-4.375
1528185335697047,-7.75,-2.5625,-3.875
1528185335715834,-6.6875,-2.0,-3.375
1528185335738824,-3.25,-1.25,-2.0
1528185335756771,-1.0625,-0.375,-0.6875
1528185335775726,-0.375,1.0625,0.3125
1528185335798674,-0.25,1.875,0.6875
1528185335816611,0.0,2.5625,1.625
1528185335835566,0.125,3.3125,2.0
1528185335858506,0.9375,3.4375,1.9375
1528185335876409,3.25,3.6875,1.25
1528185335897357,6.9375,3.8125,0.4375
1528185335918317,9.8125,4.0,-1.0
1528185335936244,11.75,4.0625,-2.5625
1528185335957188,13.4375,3.8125,-3.6875
1528185335978132,15.625,3.75,-4.625
1528185335996084,17.5625,3.625,-5.3125
1528185336018176,18.3125,4.125,-5.4375
1528185336039307,17.6875,4.625,-4.6875
1528185336062226,16.25,4.875,-3.0
1528185336076439,14.8125,5.8125,-1.25
1528185336099350,13.9375,6.5625,-0.3125
1528185336117119,13.0,6.875,1.6875
1528185336136021,12.1875,7.4375,4.25
1528185336158720,10.375,8.25,5.1875
1528185336176338,9.4375,8.6875,5.125
1528185336196731,9.75,8.6875,5.0
1528185336226466,10.625,8.75,5.625
1528185336236177,11.875,8.8125,6.4375
1528185336258219,13.0,9.25,6.0625
1528185336278066,14.4375,9.8125,5.5
1528185336296020,15.4375,10.0625,5.9375
1528185336317960,15.0,9.9375,6.75
1528185336338903,14.5,9.1875,8.0
1528185336356859,13.875,8.0,8.125
1528185336377798,13.1875,6.875,8.5
1528185336399223,9.5,5.5,8.9375
1528185336416010,4.25,4.625,9.625
1528185336437940,-0.6875,4.0625,9.6875
1528185336459198,-3.9375,3.75,9.5625
1528185336482992,-4.75,3.75,9.1875
1528185336497964,-3.5,3.75,8.5625
1528185336519226,-1.5,3.875,7.375
1528185336536394,-0.125,3.8125,6.25
1528185336564202,-0.0625,3.375,4.75
1528185336578035,-1.0625,2.6875,2.9375
1528185336596346,-2.0625,1.5625,1.375
1528185336618190,-2.875,0.3125,0.0
1528185336638891,-3.8125,-0.875,-1.125
1528185336656843,-4.4375,-1.625,-2.375
1528185336677812,-5.25,-2.25,-3.4375
1528185336699805,-6.8125,-3.0,-4.125
1528185336715688,-9.25,-3.25,-4.875
1528185336738926,-11.75,-4.25,-5.625
1528185336759998,-12.75,-5.375,-5.75
1528185336776664,-13.0625,-6.0,-5.4375
1528185336797867,-13.5625,-6.375,-5.8125
1528185336819958,-14.25,-6.4375,-6.0625
1528185336835562,-15.875,-6.0625,-6.5625
1528185336858502,-17.5,-5.9375,-7.0625
1528185336879482,-17.625,-6.25,-7.125
1528185336895851,-15.875,-6.625,-7.1875
1528185336917871,-13.8125,-6.875,-8.1875
1528185336939430,-11.1875,-7.3125,-9.1875
1528185336956091,-9.875,-8.0,-9.625
1528185336979019,-9.5625,-8.4375,-9.125
1528185336999202,-10.3125,-8.4375,-8.5625
1528185337016140,-10.5625,-8.3125,-8.9375
1528185337037866,-9.8125,-7.6875,-8.25
1528185337060800,-9.75,-6.9375,-7.5625
1528185337075762,-9.875,-6.125,-6.8125
1528185337097701,-9.25,-5.5625,-7.1875
1528185337118646,-7.0625,-5.25,-7.1875
1528185337135656,-4.5,-5.4375,-7.5625
1528185337158539,-2.125,-5.625,-7.625
1528185337179946,-0.5625,-6.0,-7.125
1528185337195744,0.8125,-6.125,-5.375
1528185337218808,0.4375,-5.5,-3.3125
1528185337239861,-1.0,-4.0,-0.0625
1528185337255583,-4.0,-1.6875,3.125
1528185337278528,-6.625,0.3125,7.75
1528185337299801,-9.6875,2.5,12.125
1528185337316435,-10.75,4.8125,15.5
1528185337338376,-9.9375,6.75,17.625
1528185337359692,-9.75,7.9375,18.9375
1528185337375652,-11.25,8.75,19.75
1528185337398591,-13.25,8.875,19.0
1528185337419804,-13.5625,8.4375,17.75
1528185337435523,-11.75,7.9375,15.6875
1528185337458698,-8.5625,7.5625,13.125
1528185337479375,-3.9375,6.9375,10.0
1528185337495334,0.4375,6.3125,7.25
1528185337518271,2.0,5.5,4.375
1528185337539546,1.25,4.5,1.6875
1528185337555489,-1.5,3.6875,-0.8125
1528185337578117,-4.3125,2.625,-3.0625
1528185337601051,-5.375,2.125,-5.3125
1528185337616010,-4.3125,1.375,-7.375
1528185337616010,-4.3125,1.375,-7.375
