timestamp,x,y,z,w
1528187420209074,-0.233398,0.553589,-0.281128,-0.748352
1528187420233010,-0.233826,0.554199,-0.282166,-0.747437
1528187420248967,-0.234619,0.554932,-0.282471,-0.746521
1528187420268915,-0.230896,0.555298,-0.279297,-0.748596
1528187420291854,-0.221252,0.553162,-0.273621,-0.755127
1528187420306813,-0.202759,0.55188,-0.269226,-0.762817
1528187420329751,-0.179443,0.547729,-0.268311,-0.771851
1528187420353687,-0.160522,0.535156,-0.273315,-0.783081
1528187420381613,-0.145874,0.515015,-0.285034,-0.795166
1528187420392583,-0.129822,0.489807,-0.300659,-0.808044
1528187420406549,-0.105713,0.462341,-0.316956,-0.82135
1528187420429485,-0.0760498,0.432983,-0.334839,-0.833496
1528187420445467,-0.0489502,0.397888,-0.355103,-0.844543
1528187420468383,-0.026001,0.357788,-0.378296,-0.853333
1528187420489324,-0.00543213,0.313049,-0.401367,-0.860779
1528187420531213,0.0116577,0.263062,-0.423401,-0.866882
1528187420541186,0.0272217,0.21283,-0.443115,-0.870422
1528187420548168,0.0425415,0.166626,-0.461243,-0.870483
1528187420571106,0.0533447,0.122253,-0.480225,-0.867004
1528187420585069,0.0564575,0.0792236,-0.500183,-0.860474
1528187420622969,0.0564575,0.0420532,-0.519653,-0.851501
1528187420631945,0.0574341,0.0123291,-0.538025,-0.840942
1528187420653885,0.0529175,-0.0107422,-0.559509,-0.827087
1528187420681811,0.0424194,-0.0239258,-0.5849,-0.809692
1528187420690786,0.0303345,-0.0251465,-0.612671,-0.789429
1528187420713725,0.0169678,-0.0200806,-0.639587,-0.768311
1528187420735666,0.000793457,-0.0114136,-0.666199,-0.745728
1528187420750627,-0.0151367,0.0012207,-0.691895,-0.721924
1528187420780562,-0.0268555,0.0146484,-0.713745,-0.699829
1528187420794508,-0.031311,0.0231323,-0.730164,-0.68219
1528187420810466,-0.0302734,0.027832,-0.73938,-0.672119
1528187420847368,-0.0220337,0.027771,-0.742859,-0.668579
1528187420854402,-0.00958252,0.0252075,-0.742737,-0.669067
1528187420871306,0.00262451,0.0203857,-0.741211,-0.671021
1528187420907208,0.0134888,0.0123291,-0.738098,-0.6745
1528187420914190,0.0218506,0.003479,-0.733948,-0.678894
1528187420931144,0.0261841,-0.0055542,-0.732422,-0.680359
1528187420953105,0.0246582,-0.015686,-0.736816,-0.675537
1528187420975215,0.0203247,-0.0213623,-0.745544,-0.665894
1528187420989987,0.0134277,-0.020874,-0.757263,-0.65271
1528187421013925,0.00219727,-0.0151367,-0.770813,-0.636963
