timestamp,roll,pitch,yaw
1528187691702833,-0.0221437,-1.13526,1.21014
1528187691717793,-0.0224272,-1.1358,1.20983
1528187691740732,-0.0224858,-1.13624,1.20972
1528187691762679,-0.0218927,-1.13676,1.20921
1528187691777634,-0.0203665,-1.13698,1.20778
1528187691802568,-0.0185224,-1.13727,1.20623
1528187691853431,-0.0174349,-1.13743,1.20527
1528187691862408,-0.0172417,-1.13771,1.20475
1528187691863405,-0.0176825,-1.13776,1.20485
1528187691871384,-0.0168108,-1.13788,1.20416
1528187691892355,-0.0149391,-1.13793,1.20285
1528187691907287,-0.0147976,-1.13773,1.20264
1528187691929231,-0.0157535,-1.13739,1.2033
1528187691965133,-0.0160833,-1.13734,1.20368
1528187691975105,-0.0157993,-1.13678,1.20408
1528187691989069,-0.0146385,-1.13696,1.20466
1528187692010014,-0.0171333,-1.13644,1.20742
1528187692025970,-0.0241045,-1.13406,1.21382
1528187692054892,-0.0358754,-1.1264,1.22032
1528187692069854,-0.0688436,-1.1091,1.2368
1528187692095795,-0.127536,-1.08119,1.27634
1528187692110743,-0.177729,-1.04174,1.32687
1528187692137672,-0.190433,-1.00017,1.36745
1528187692147645,-0.192214,-0.946688,1.40887
1528187692170583,-0.193258,-0.879786,1.45353
1528187692189534,-0.196862,-0.802325,1.49746
1528187692207498,-0.202235,-0.714736,1.54282
1528187692230424,-0.205668,-0.619546,1.58797
1528187692250372,-0.199988,-0.518785,1.63127
1528187692267327,-0.180144,-0.41417,1.67248
1528187692295251,-0.152855,-0.308815,1.71429
1528187692310216,-0.119785,-0.203314,1.75507
1528187692328162,-0.0800359,-0.0951214,1.79668
1528187692350103,-0.0368453,0.0096865,1.83964
1528187692378029,0.00267745,0.11097,1.88435
1528187692392990,0.0413205,0.206485,1.93338
1528187692415929,0.0879738,0.296537,1.98787
1528187692430905,0.139319,0.380313,2.04294
1528187692445855,0.191367,0.457944,2.09606
1528187692469785,0.250873,0.528749,2.15284
1528187692490729,0.314177,0.592093,2.21244
1528187692512671,0.377805,0.64739,2.27171
1528187692529625,0.436564,0.695023,2.33061
1528187692550568,0.493992,0.734962,2.38958
1528187692580489,0.550194,0.770263,2.44376
1528187692589465,0.602415,0.800068,2.49116
1528187692610409,0.650552,0.822994,2.53511
1528187692626365,0.689213,0.837286,2.57309
1528187692655984,0.71745,0.850626,2.60376
1528187692694881,0.742677,0.862258,2.63055
1528187692697876,0.764633,0.872714,2.65006
1528187692716821,0.784789,0.881823,2.66658
1528187692730784,0.801836,0.888673,2.68212
1528187692746741,0.815714,0.894522,2.69546
1528187692775803,0.823519,0.90241,2.70052
1528187692799600,0.829319,0.911754,2.6994
1528187692806895,0.834687,0.921555,2.69782
1528187692829725,0.833821,0.932836,2.69443
1528187692852664,0.829072,0.94496,2.68605
1528187692881748,0.819219,0.960492,2.67018
1528187692889565,0.81643,0.975198,2.65055
1528187692911507,0.817916,0.985464,2.62614
1528187692933581,0.812504,0.992548,2.60251
1528187692972678,0.797758,1.00028,2.57828
1528187692974748,0.784886,1.01054,2.55218
1528187692994640,0.779368,1.02329,2.5245
1528187693015739,0.779188,1.03622,2.49926
1528187693045503,0.781287,1.05214,2.47786
1528187693054515,0.78596,1.06654,2.45693
1528187693077476,0.793243,1.08004,2.43438
1528187693091607,0.798993,1.09458,2.41746
1528187693114546,0.805715,1.11139,2.40439
1528187693135835,0.815549,1.13033,2.3922
1528187693151647,0.82465,1.14926,2.37696
1528187693174587,0.834513,1.1684,2.36742
1528187693211668,0.852318,1.18342,2.37192
1528187693214665,0.874707,1.19434,2.38029
1528187693248588,0.895595,1.20266,2.38814
1528187693257638,0.911171,1.20905,2.39399
1528187693271508,0.913823,1.21362,2.38948
1528187693294669,0.904812,1.21591,2.37597
1528187693324565,0.88907,1.21577,2.35761
1528187693331546,0.869865,1.21583,2.33407
1528187693354659,0.85301,1.21695,2.31376
1528187693376634,0.839561,1.2166,2.29789
1528187693405679,0.817573,1.21491,2.27359
1528187693414941,0.777354,1.21317,2.23213
1528187693442865,0.726384,1.20564,2.17875
1528187693465647,0.667103,1.19094,2.11889
1528187693474622,0.602217,1.17043,2.05585
1528187693496564,0.537827,1.14206,1.99278
1528187693518536,0.470664,1.10493,1.92319
1528187693534463,0.405785,1.05499,1.85284
1528187693557408,0.348795,0.991519,1.79359
1528187693578345,0.299339,0.914793,1.74915
1528187693602282,0.249231,0.82674,1.71131
1528187693617242,0.197577,0.72671,1.67474
1528187693638241,0.156849,0.617216,1.644
1528187693654171,0.121917,0.50152,1.61757
1528187693677082,0.0863893,0.381496,1.59473
1528187693698040,0.0456681,0.257936,1.57062
1528187693721962,0.0139631,0.131144,1.54643
1528187693736921,0.000920244,0.00131581,1.52603
1528187693757920,-0.0075394,-0.129855,1.51116
1528187693774878,-0.0160392,-0.250197,1.49006
1528187693796761,-0.0256876,-0.36692,1.46115
1528187693817849,-0.0304991,-0.483318,1.43447
1528187693835079,-0.0373762,-0.595207,1.41344
1528187693856911,-0.0464995,-0.699575,1.39863
1528187693878134,-0.0497161,-0.796438,1.38441
1528187693894012,-0.0321339,-0.886107,1.35872
1528187693917166,0.000128678,-0.968076,1.32918
1528187693938486,0.0366163,-1.04105,1.30279
1528187693960421,0.0752159,-1.10725,1.2748
1528187693977428,0.119463,-1.16153,1.23555
1528187693998637,0.169664,-1.20345,1.18853
1528187694022644,0.214892,-1.238,1.14377
1528187694044474,0.254255,-1.26183,1.10158
1528187694058557,0.285064,-1.27816,1.06574
1528187694073536,0.304179,-1.28731,1.03707
1528187694104328,0.309181,-1.29089,1.0179
1528187694118417,0.303074,-1.29002,1.00734
1528187694134374,0.28879,-1.2857,1.00321
1528187694157172,0.267395,-1.27992,1.00593
1528187694186117,0.248234,-1.27275,1.00689
1528187694201133,0.232926,-1.26452,1.00539
1528187694216996,0.215265,-1.25507,1.00617
1528187694240109,0.1936,-1.24494,1.01084
1528187694268003,0.170023,-1.23445,1.02069
1528187694276862,0.151347,-1.22388,1.02962
