timestamp,x,y,z,w
1528446250845454,-0.108154,0.650818,0.0664063,-0.748596
1528446250868394,-0.109131,0.650757,0.0658569,-0.748535
1528446250892330,-0.110168,0.650696,0.0651245,-0.748474
1528446250906293,-0.111267,0.650635,0.0644531,-0.748413
1528446250921252,-0.112427,0.650513,0.0638428,-0.748413
1528446250951172,-0.113708,0.650696,0.0632324,-0.748169
1528446250968126,-0.114502,0.651001,0.0626831,-0.747803
1528446250981091,-0.114807,0.651306,0.062561,-0.747498
1528446251006024,-0.114258,0.65155,0.0628662,-0.747314
1528446251035946,-0.113098,0.651733,0.0636597,-0.747253
1528446251043924,-0.111206,0.651794,0.0651855,-0.747375
1528446251056890,-0.108643,0.651672,0.0671997,-0.747681
1528446251071851,-0.106262,0.651428,0.0695801,-0.747986
1528446251095785,-0.104126,0.651123,0.0720825,-0.748352
1528446251116731,-0.101929,0.650696,0.0748291,-0.748779
1528446251170586,-0.0999146,0.650269,0.0776367,-0.749084
1528446251171582,-0.0982056,0.649963,0.0802002,-0.749329
1528446251179561,-0.0971069,0.649658,0.0825195,-0.749512
1528446251192526,-0.0963135,0.649292,0.0847168,-0.749634
1528446251229430,-0.0957031,0.648804,0.086792,-0.749939
1528446251235414,-0.0958252,0.648132,0.0883179,-0.750305
1528446251253366,-0.0970459,0.6474,0.0890503,-0.750671
1528446251273312,-0.0993042,0.64679,0.0890503,-0.750916
1528446251304229,-0.102417,0.64624,0.0884399,-0.751038
1528446251311211,-0.105896,0.645569,0.0872803,-0.751282
1528446251336143,-0.109436,0.644958,0.0854492,-0.751526
1528446251356091,-0.113037,0.644287,0.0828857,-0.751831
1528446251371051,-0.116943,0.643738,0.0794678,-0.752075
1528446251392991,-0.12085,0.643311,0.0754395,-0.752258
1528446251415931,-0.124817,0.642883,0.0709229,-0.75238
1528446251430889,-0.128906,0.642578,0.0657959,-0.752441
1528446251452833,-0.133057,0.642334,0.0603027,-0.75238
1528446251475771,-0.136475,0.642212,0.0549927,-0.752319
1528446251490730,-0.138733,0.641907,0.0507202,-0.75238
1528446251512671,-0.139709,0.641479,0.0474854,-0.752808
1528446251535610,-0.139771,0.640869,0.0454102,-0.753418
1528446251550570,-0.138855,0.640137,0.0445557,-0.754333
1528446251581489,-0.137634,0.638977,0.0447388,-0.755493
1528446251595451,-0.138306,0.637634,0.0450439,-0.75647
1528446251618390,-0.141235,0.63678,0.0446167,-0.756714
1528446251633352,-0.145752,0.636536,0.0437622,-0.756104
1528446251655291,-0.149658,0.636536,0.0432129,-0.755371
1528446251670251,-0.152832,0.636414,0.0424194,-0.754883
1528446251693193,-0.155823,0.636292,0.0405273,-0.754456
1528446251716131,-0.158569,0.636292,0.0378418,-0.754028
1528446251731364,-0.1604,0.636353,0.0353394,-0.753723
1528446251753309,-0.160461,0.636475,0.0335693,-0.753662
1528446251784227,-0.159363,0.636719,0.0322876,-0.753784
1528446251791206,-0.157959,0.637024,0.031189,-0.753845
1528446251816157,-0.157776,0.637085,0.0296631,-0.753906
1528446251836120,-0.159851,0.636658,0.0272827,-0.753906
1528446251850544,-0.164185,0.63562,0.0245361,-0.753967
1528446251873466,-0.16925,0.634094,0.0224609,-0.75415
1528446251896187,-0.173401,0.63269,0.0213623,-0.754456
1528446251910433,-0.176086,0.631348,0.0209961,-0.755005
1528446251933759,-0.177612,0.630066,0.0210571,-0.755676
1528446251956259,-0.178528,0.629028,0.0215454,-0.756287
1528446251970968,-0.178894,0.628418,0.0223999,-0.756714
1528446251994044,-0.179199,0.628174,0.0231323,-0.756836
1528446252008113,-0.179565,0.628174,0.0235596,-0.756714
1528446252031067,-0.179871,0.628235,0.0235596,-0.756592
1528446252052747,-0.179993,0.62854,0.0230713,-0.756348
1528446252067708,-0.179443,0.628906,0.0220337,-0.756165
1528446252090646,-0.178467,0.629089,0.0204468,-0.756287
1528446252112586,-0.17749,0.629333,0.0182495,-0.756409
1528446252128601,-0.17627,0.629578,0.0160522,-0.756531
1528446252152479,-0.1745,0.629761,0.0143433,-0.756836
1528446252173477,-0.173157,0.629761,0.0130005,-0.757141
1528446252191376,-0.173279,0.629578,0.0112915,-0.757324
1528446252212319,-0.175537,0.628967,0.0090332,-0.757324
1528446252233317,-0.17981,0.628052,0.00634766,-0.757141
1528446252258252,-0.18396,0.626892,0.00469971,-0.75708
1528446252273212,-0.187378,0.625793,0.00354004,-0.757141
1528446252293161,-0.18988,0.624695,0.00299072,-0.757446
1528446252319108,-0.191406,0.623657,0.00311279,-0.757935
1528446252342027,-0.19165,0.622925,0.00463867,-0.758423
1528446252352997,-0.190674,0.622742,0.00726318,-0.758789
1528446252375883,-0.188721,0.623169,0.0107422,-0.758911
1528446252400816,-0.186279,0.623962,0.0148926,-0.758789
1528446252413943,-0.183838,0.624878,0.0194092,-0.758545
1528446252436026,-0.181458,0.625732,0.0236816,-0.758301
1528446252453980,-0.179321,0.626648,0.0269165,-0.757935
1528446252473933,-0.177734,0.627686,0.0285645,-0.757385
1528446252496391,-0.17627,0.62854,0.0294189,-0.756958
1528446252513662,-0.174133,0.629333,0.0302124,-0.756775
1528446252533457,-0.171021,0.630066,0.0311279,-0.756836
1528446252558424,-0.166748,0.630859,0.0327759,-0.75708
1528446252573689,-0.161682,0.631653,0.0351563,-0.757385
1528446252593637,-0.156494,0.632446,0.0375977,-0.75769
1528446252618570,-0.152649,0.632874,0.0394287,-0.758057
1528446252633565,-0.15094,0.632874,0.0401611,-0.758362
1528446252653514,-0.151062,0.632507,0.0401611,-0.758606
1528446252671466,-0.152039,0.632019,0.0397339,-0.75885
1528446252693646,-0.153198,0.631348,0.0388794,-0.759216
1528446252713572,-0.154419,0.630493,0.0375977,-0.759766
1528446252731933,-0.155762,0.629517,0.0361938,-0.760376
1528446252754311,-0.157471,0.628845,0.0346069,-0.76062
1528446252773626,-0.15918,0.628662,0.0328369,-0.760498
1528446252791578,-0.160461,0.628784,0.031189,-0.760193
1528446252814517,-0.161194,0.62915,0.0296631,-0.759827
1528446252836035,-0.161499,0.629883,0.0278931,-0.759216
1528446252851513,-0.16156,0.630798,0.0258789,-0.758484
1528446252872479,-0.161499,0.631714,0.0235596,-0.757813
1528446252895396,-0.161072,0.632507,0.0214233,-0.757324
1528446252923566,-0.160217,0.632996,0.0198364,-0.757141
1528446252932539,-0.15918,0.63324,0.0187988,-0.757202
1528446252954108,-0.158203,0.633484,0.0184326,-0.757202
1528446252970208,-0.156921,0.633606,0.0189819,-0.757324
1528446253000208,-0.155273,0.633667,0.0206299,-0.757629
1528446253014171,-0.153137,0.633667,0.0230103,-0.757996
1528446253030129,-0.150574,0.633667,0.0257568,-0.758362
1528446253053074,-0.147949,0.633789,0.0283203,-0.758667
1528446253082018,-0.14563,0.634033,0.0306396,-0.75885
1528446253089968,-0.143311,0.634155,0.0327759,-0.759094
1528446253112907,-0.140747,0.634094,0.0349731,-0.759521
