timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528279181968098,-2,1,-1,1,-1,-1,-2,0
1528279181968098,1,2,-1,-2,0,-1,-2,-1
1528279181969077,-2,0,-1,-2,0,0,-1,-1
1528279181969077,-1,-1,0,0,-1,1,-1,0
1528279181971080,0,0,0,-2,-2,-2,-2,-2
1528279181971080,-2,0,-1,0,-2,-1,0,-1
1528279181972068,-1,0,0,0,0,0,1,1
1528279181972068,0,0,-1,-2,0,0,-2,-2
1528279181980046,0,-1,-1,-1,0,-1,0,-1
1528279181980046,0,0,-1,0,0,0,0,-1
1528279181988024,1,0,-1,0,-2,-1,-1,-1
1528279181988024,-1,0,1,-1,0,-1,0,-1
1528279181995005,1,0,-2,0,-1,0,1,-1
1528279181995005,-2,0,0,0,0,-1,0,0
1528279182009965,0,-1,0,1,0,0,-2,-2
1528279182009965,0,-1,-2,-1,0,0,-3,-1
1528279182015949,0,0,0,0,1,-1,-2,0
1528279182015949,-2,-2,-1,-1,1,-1,-2,0
1528279182031907,1,-1,-1,0,-1,0,0,-1
1528279182031907,0,-1,-1,0,0,-1,0,-1
1528279182039887,-1,-2,0,0,1,0,0,-1
1528279182039887,-1,-1,0,0,-2,0,-1,-1
1528279182080777,0,-1,1,-1,1,-1,-1,-2
1528279182080777,-1,-2,-1,1,-2,0,-1,0
1528279182081775,0,1,-1,-2,-1,-3,-1,0
1528279182081775,-1,0,-2,-2,-1,0,-2,-2
1528279182084768,-2,-2,-2,0,1,0,2,0
1528279182084768,1,2,-2,-2,-1,-1,-2,-1
1528279182085763,-1,0,-1,-1,-1,0,0,-1
1528279182085763,-1,-1,-1,1,0,-1,-3,0
1528279182090750,0,0,1,-2,-2,-1,-2,0
1528279182090750,-1,1,0,0,0,-2,0,-1
1528279182098731,-1,-2,0,2,0,0,1,1
1528279182098731,-1,-2,-1,-1,-2,0,0,-2
1528279182107706,0,-1,-1,-1,-1,-1,-2,-2
1528279182107706,0,-1,0,0,0,1,0,-1
1528279182121685,0,-1,-2,-2,0,0,-2,-2
1528279182121685,0,0,-1,0,0,-1,0,0
1528279182130669,-1,-1,-1,0,-1,-1,-1,0
1528279182130669,-1,-1,-1,-2,-1,-1,-1,-1
1528279182152585,-2,0,0,1,1,0,-2,-1
1528279182152585,0,0,1,0,0,-1,-1,0
1528279182154580,-3,0,-2,0,-1,1,-1,-1
1528279182154580,-1,1,-2,0,-1,1,-2,0
1528279182166548,0,0,0,-1,0,0,-2,1
1528279182166548,0,0,0,0,-1,0,0,0
1528279182173528,0,-1,-2,-1,0,-1,-2,0
1528279182173528,-2,-1,0,0,0,0,-2,-1
1528279182190534,-1,-2,-2,0,0,0,0,0
1528279182190534,0,1,-1,-2,-1,0,0,-1
1528279182191482,0,0,-1,0,0,-1,-1,-1
1528279182191482,-2,-1,-1,1,-1,0,1,-1
1528279182212451,0,-1,0,-2,-1,0,-1,-1
1528279182212451,0,-1,1,-1,-2,-1,-1,-2
1528279182214445,-1,0,-1,0,-1,-1,-1,-1
1528279182214445,0,-1,0,-2,-1,-1,-1,0
1528279182227390,-1,-1,0,-1,-1,-2,1,0
1528279182227390,-1,0,0,-1,-1,-2,0,0
1528279182233413,0,-1,-2,-1,-1,1,-1,-1
1528279182233413,0,-1,-1,1,0,0,0,1
1528279182250349,-2,1,-1,0,-2,-1,-1,0
1528279182250349,-1,-1,-1,-1,0,-1,0,-2
1528279182251322,-1,1,-1,0,0,0,0,-2
1528279182251322,0,-3,-1,-2,-1,-2,-2,1
1528279182272297,-1,0,0,-1,0,0,0,0
1528279182272297,1,0,-1,-1,1,0,-1,0
1528279182274260,1,-1,0,-3,-1,-2,0,-1
1528279182274260,0,0,-1,1,0,0,-1,-2
1528279182286267,0,0,-2,0,0,-1,-2,-2
1528279182286267,-3,-2,-1,0,0,-1,-1,0
1528279182295203,0,0,2,-1,-2,-1,0,-1
1528279182295203,1,0,-2,1,-2,-1,1,-1
1528279182310196,1,0,-3,-2,1,-1,0,-2
1528279182310196,-2,-1,-1,0,-2,-1,-1,0
1528279182312158,1,-2,0,-1,-1,0,-1,0
1528279182312158,-1,-1,1,-1,-2,-2,-1,-1
1528279182333103,-2,-2,0,1,-2,0,-1,-1
1528279182333103,1,0,-1,-2,-1,0,-2,-1
1528279182334099,0,-1,-1,0,0,-1,-1,-1
1528279182334099,-1,-2,-1,-1,-1,-1,-1,-2
1528279182346104,0,-2,0,1,-1,-2,-1,-1
1528279182346104,0,-2,0,0,0,-1,0,-2
1528279182355043,-2,-1,-2,-1,-2,0,-1,0
1528279182355043,0,-1,-1,0,-1,-2,1,-1
1528279182370004,0,-1,-1,-1,-1,-1,0,0
1528279182370004,-3,-1,0,-1,-2,1,-1,1
1528279182372000,-2,1,-2,-1,-1,-1,-1,0
1528279182372000,-1,-1,-1,-2,-1,0,-1,0
1528279182391997,0,-1,-1,-2,-1,-1,-1,-1
1528279182391997,0,0,0,1,0,-3,-1,0
1528279182399923,-1,-1,0,-2,0,-1,-2,0
1528279182399923,0,0,0,1,0,1,0,0
1528279182405907,-1,0,-1,0,-1,1,0,-1
1528279182405907,1,0,-1,-2,0,0,0,0
1528279182414891,1,-1,-2,-1,-1,-1,1,-1
1528279182414891,1,1,0,-1,0,-1,-2,2
1528279182429864,-1,1,-1,0,0,0,-2,-3
1528279182429864,-1,-1,-1,0,-2,1,-4,-2
1528279182431877,-1,-2,0,-1,-2,-1,0,0
1528279182431877,-1,-2,0,-1,-3,0,-1,-1
1528279182452783,0,-2,0,-1,0,-1,1,1
1528279182452783,-1,0,-1,0,2,-2,0,0
1528279182453779,-1,-2,1,0,0,0,0,0
1528279182453779,-1,-2,-1,0,-1,-1,-2,0
1528279182465748,0,0,-1,0,-1,-2,-1,-1
1528279182465748,0,-2,0,1,-3,-1,0,-1
1528279182475722,-2,0,-2,0,-2,-1,-1,-1
1528279182475722,0,1,0,-1,2,-2,0,0
1528279182489721,0,0,0,-1,-1,0,-1,0
1528279182489721,-1,0,-1,-1,1,2,1,0
1528279182491678,-1,0,0,2,0,-2,-1,0
1528279182491678,-3,-1,-1,-2,-2,0,1,0
1528279182512623,0,1,0,1,0,0,-1,0
1528279182512623,0,-1,-1,0,0,-1,0,-1
1528279182514619,0,-2,-1,0,0,0,0,-1
1528279182514619,0,-2,-1,-1,0,-1,-2,-3
1528279182526585,-3,-1,0,0,0,-1,-2,-1
1528279182526585,-1,0,0,-2,-2,-1,-1,-1
1528279182535562,-1,-1,0,-1,-1,-1,-1,0
1528279182535562,0,0,-1,0,-1,1,1,-2
1528279182550530,-1,-1,-2,-2,0,1,1,0
1528279182550530,-1,-1,0,0,0,-1,-1,-1
1528279182551518,-2,0,-2,0,0,-1,-2,-1
1528279182551518,-2,2,0,0,-1,-1,-1,0
1528279182580495,0,-1,0,-1,0,0,0,1
1528279182580495,-1,0,-2,0,0,-1,-4,-2
1528279182581439,-1,0,1,-2,-1,0,-2,-2
1528279182581439,0,-1,0,-1,-1,1,5,0
1528279182586425,0,-1,0,-1,-2,-3,-4,1
1528279182586425,-1,1,0,-2,-2,0,1,1
1528279182595401,0,-1,-1,-1,-1,-1,-2,-1
1528279182595401,0,-2,0,-1,1,0,0,-1
1528279182610610,1,0,0,-2,-1,-3,1,-2
1528279182610610,1,-2,0,-2,0,2,2,-1
1528279182612472,0,-2,-2,-2,-1,-1,-2,-1
1528279182612472,-1,-1,-1,-1,0,0,-2,-2
1528279182633302,-3,-1,1,-1,0,0,0,1
1528279182633302,0,-2,-1,-1,1,-1,-1,0
1528279182634304,-1,-1,-2,0,1,-1,0,0
1528279182634304,0,-1,-1,-1,-1,0,-1,0
1528279182646266,-1,-1,0,1,-1,-1,-2,-2
1528279182646266,-1,-1,-2,1,-2,-1,1,1
1528279182655257,-2,0,1,0,-2,0,1,-1
1528279182655257,-1,0,0,-1,-3,0,-2,0
1528279182670428,-1,0,-1,1,-2,1,0,-1
1528279182670428,-1,0,1,-1,-1,-1,-1,-1
1528279182672197,1,-1,0,1,-2,-2,0,-1
1528279182672197,-1,-1,-1,0,-1,-2,-2,-2
1528279182692142,-2,-1,-1,-1,0,1,-1,-1
