timestamp,x,y,z
1528281835896255,0.938477,-0.282227,0.097168
1528281835911215,0.9375,-0.285645,0.107422
1528281835936147,0.94873,-0.287598,0.106445
1528281835956094,0.949219,-0.263184,0.116211
1528281835971054,0.947266,-0.29248,0.111816
1528281835996984,0.938477,-0.336914,0.125977
1528281836045880,0.936035,-0.34375,0.137207
1528281836053832,0.933594,-0.312012,0.141113
1528281836061812,0.943848,-0.350098,0.129395
1528281836105738,0.95752,-0.40918,0.134277
1528281836143643,0.907227,-0.45166,0.150391
1528281836173513,0.900391,-0.448242,0.175293
1528281836226372,0.913574,-0.593262,0.179688
1528281836263275,0.943359,-0.625,0.206543
1528281836289204,0.94043,-0.720703,0.205078
1528281836331118,0.900879,-0.852051,0.268555
1528281836361011,0.841797,-0.993164,0.266602
1528281836367992,0.909668,-1.0957,0.325684
1528281836420851,0.717773,-1.09473,0.344727
1528281836450771,0.567383,-1.04346,0.413574
1528281836480691,0.421387,-1.06641,0.462891
1528281836495651,0.294922,-1.0127,0.484863
1528281836525610,0.0273438,-0.912109,0.492676
1528281836540532,-0.0327148,-0.937012,0.470215
1528281836555492,-0.0541992,-0.95459,0.486328
1528281836578483,-0.0688477,-0.838867,0.42041
1528281836593442,-0.142578,-0.806152,0.390625
1528281836623347,-0.151855,-0.810547,0.421387
1528281836638270,-0.158203,-0.764648,0.397461
1528281836661256,-0.229004,-0.681152,0.364258
1528281836698350,-0.314453,-0.57373,0.360352
1528281836721562,-0.407715,-0.519043,0.352539
1528281836743248,-0.475586,-0.385254,0.379395
1528281836773164,-0.537598,-0.378418,0.400391
1528281836803411,-0.611816,-0.371094,0.385742
1528281836826660,-0.63623,-0.38623,0.431641
1528281836841342,-0.645996,-0.436035,0.459961
1528281836856250,-0.682617,-0.450195,0.498047
1528281836871209,-0.694824,-0.431641,0.519043
1528281836886170,-0.739746,-0.440918,0.528809
1528281836915747,-0.744629,-0.479004,0.56543
1528281836931716,-0.754395,-0.513672,0.568359
1528281836953901,-0.75293,-0.493164,0.595215
1528281836968904,-0.769531,-0.478027,0.561035
1528281836991476,-0.777344,-0.486816,0.577637
1528281837013186,-0.755371,-0.51123,0.56543
1528281837051051,-0.732422,-0.490234,0.566406
1528281837081028,-0.737793,-0.512695,0.541504
1528281837088009,-0.728516,-0.515137,0.541016
1528281837118938,-0.729492,-0.486328,0.544922
1528281837125909,-0.745605,-0.495117,0.539551
1528281837163748,-0.778809,-0.549805,0.528809
1528281837178760,-0.797363,-0.491699,0.572266
1528281837208683,-0.789063,-0.470215,0.635742
1528281837230624,-0.829102,-0.544434,0.616211
1528281837253524,-0.866699,-0.535156,0.640137
1528281837268518,-0.875488,-0.566406,0.638184
1528281837313404,-0.864746,-0.525391,0.550293
1528281837358469,-0.788086,-0.43457,0.470703
1528281837381647,-0.623047,-0.499512,0.473633
1528281837396846,-0.611328,-0.552734,0.442383
1528281837418569,-0.588379,-0.552734,0.332031
1528281837434016,-0.493652,-0.470703,0.304199
1528281837448668,-0.408691,-0.421875,0.32959
1528281837463626,-0.480469,-0.372559,0.422852
1528281837508833,-0.778809,-0.477539,0.52832
1528281837591536,-0.935547,-0.553711,0.67041
1528281837621198,-0.819336,-0.569824,0.596191
1528281837644210,-0.756348,-0.577148,0.583496
1528281837695750,-0.717773,-0.510254,0.492676
1528281837711199,-0.70752,-0.476563,0.469727
1528281837741625,-0.740723,-0.473633,0.481445
1528281837771276,-0.756348,-0.461426,0.505371
1528281837839183,-0.878418,-0.47168,0.616699
1528281837876191,-0.916504,-0.515137,0.621094
1528281837884221,-0.918945,-0.598145,0.603027
1528281837921404,-0.82666,-0.563965,0.568359
1528281837950991,-0.773438,-0.45459,0.592773
1528281837996260,-0.777344,-0.368164,0.500488
1528281838018627,-0.701172,-0.290039,0.493652
1528281838048541,-0.588867,-0.350586,0.44873
1528281838078359,-0.518555,-0.445801,0.441895
1528281838123066,-0.485352,-0.232422,0.35791
1528281838139154,-0.450684,-0.310059,0.397461
1528281838160819,-0.581543,-0.406738,0.51123
1528281838190777,-0.715332,-0.338867,0.557617
1528281838243670,-0.979004,-0.610352,0.820313
1528281838280533,-0.980957,-0.562988,0.850098
1528281838303472,-0.892578,-0.594238,0.811035
1528281838341657,-0.773438,-0.660645,0.726074
1528281838371698,-0.716797,-0.567383,0.675781
1528281838461095,-0.710449,-0.459473,0.586426
1528281838484138,-0.726074,-0.472656,0.605469
1528281838520932,-0.759277,-0.489258,0.640625
1528281838544183,-0.780762,-0.503418,0.670898
1528281838581133,-0.8125,-0.494629,0.683594
1528281838603812,-0.780273,-0.481934,0.682617
1528281838640957,-0.757813,-0.474609,0.643555
1528281838663911,-0.791504,-0.316406,0.602051
1528281838708426,-0.717773,-0.301758,0.580078
1528281838738480,-0.674805,-0.341309,0.552734
1528281838776380,-0.624512,-0.325195,0.504395
1528281838791464,-0.580078,-0.351563,0.48584
1528281838814217,-0.524902,-0.398438,0.443848
1528281838828420,-0.480469,-0.37793,0.425293
1528281838851738,-0.458008,-0.359375,0.429199
1528281838873588,-0.460449,-0.367676,0.45166
1528281838888300,-0.505371,-0.44043,0.515137
1528281838911412,-0.63916,-0.543945,0.595703
