timestamp,x,y,z,w
1528184109685782,-0.222778,0.611267,-0.402161,-0.644226
1528184109708718,-0.222778,0.611267,-0.402161,-0.644226
1528184109732654,-0.222778,0.611206,-0.402161,-0.644226
1528184109747616,-0.222717,0.611206,-0.402161,-0.644226
1528184109768559,-0.222717,0.611206,-0.402222,-0.644287
1528184109793492,-0.222717,0.611206,-0.402222,-0.644287
1528184109848347,-0.222717,0.611206,-0.402222,-0.644287
1528184109849344,-0.222717,0.611145,-0.402222,-0.644348
1528184109850342,-0.222168,0.61084,-0.402344,-0.644714
1528184109868293,-0.22052,0.61084,-0.402039,-0.645447
1528184109883252,-0.2146,0.612488,-0.400269,-0.646973
1528184109905193,-0.202881,0.615417,-0.398132,-0.649292
1528184109926137,-0.184875,0.620972,-0.396912,-0.650208
1528184109980993,-0.157837,0.628845,-0.396973,-0.649719
1528184109981988,-0.125854,0.635376,-0.40155,-0.647461
1528184109989975,-0.093689,0.639038,-0.412842,-0.642273
1528184110008916,-0.0626221,0.639038,-0.43158,-0.633606
1528184110023876,-0.0319214,0.634888,-0.455933,-0.622925
1528184110047812,0.000244141,0.628967,-0.483093,-0.609131
1528184110070751,0.0357056,0.624146,-0.511353,-0.589661
1528184110091696,0.0734253,0.619507,-0.540527,-0.564514
1528184110108650,0.112,0.612427,-0.570007,-0.536194
1528184110130590,0.150085,0.603027,-0.598083,-0.506104
1528184110151535,0.187378,0.593323,-0.622742,-0.474365
1528184110175471,0.224609,0.58551,-0.642517,-0.440369
1528184110190431,0.259766,0.578613,-0.65918,-0.403992
1528184110212373,0.290649,0.569763,-0.67511,-0.367615
1528184110227332,0.316467,0.560242,-0.689514,-0.332581
1528184110251277,0.338013,0.549438,-0.702881,-0.299744
1528184110272213,0.355835,0.535461,-0.716492,-0.270691
1528184110287221,0.369568,0.520569,-0.72937,-0.245911
1528184110311109,0.378723,0.506592,-0.740967,-0.225525
1528184110339079,0.384766,0.493042,-0.751709,-0.209229
1528184110348059,0.388245,0.48114,-0.761108,-0.196106
1528184110370950,0.390625,0.470764,-0.769043,-0.185425
1528184110391947,0.391541,0.460938,-0.776428,-0.177307
1528184110407849,0.391785,0.453613,-0.781921,-0.171387
1528184110430789,0.392639,0.450989,-0.784302,-0.165466
1528184110453773,0.392944,0.450867,-0.785461,-0.159546
1528184110467692,0.392822,0.448792,-0.78772,-0.154175
1528184110490882,0.392883,0.445374,-0.79071,-0.148438
1528184110512865,0.392273,0.442322,-0.793884,-0.142151
1528184110534806,0.391418,0.43927,-0.797241,-0.134888
1528184110550764,0.390381,0.436096,-0.800476,-0.129028
1528184110573703,0.389648,0.430786,-0.80426,-0.12561
1528184110594900,0.390564,0.421875,-0.808777,-0.124207
1528184110610868,0.392883,0.411621,-0.812805,-0.124573
1528184110633848,0.395996,0.400085,-0.81665,-0.12738
1528184110654743,0.400818,0.387939,-0.819153,-0.133423
1528184110670701,0.407532,0.377502,-0.819214,-0.142395
1528184110693641,0.415283,0.372437,-0.81604,-0.151428
1528184110714705,0.422302,0.374512,-0.809998,-0.158936
1528184110730659,0.428223,0.380005,-0.803528,-0.163147
1528184110753602,0.433533,0.381287,-0.80011,-0.162781
1528184110774896,0.437256,0.378662,-0.800049,-0.159119
1528184110790499,0.438354,0.376953,-0.801697,-0.151978
1528184110813660,0.436096,0.378906,-0.804016,-0.14093
1528184110835633,0.430298,0.385681,-0.806274,-0.126709
1528184110851337,0.422058,0.393005,-0.809509,-0.110229
1528184110873278,0.412231,0.40094,-0.812866,-0.0927124
