timestamp,x,y,z,w
1528281919074315,0.190857,0.65863,0.378662,-0.621521
1528281919098223,0.190857,0.65863,0.378662,-0.621521
1528281919127098,0.190857,0.65863,0.378662,-0.621582
1528281919136076,0.190613,0.65863,0.378601,-0.621704
1528281919156046,0.190369,0.65863,0.37854,-0.621765
1528281919182949,0.190369,0.65863,0.37854,-0.621765
1528281919201897,0.190369,0.65863,0.37854,-0.621765
1528281919239798,0.19043,0.658691,0.37854,-0.621765
1528281919248772,0.19043,0.658691,0.378479,-0.621765
1528281919258745,0.190369,0.658691,0.378296,-0.621887
1528281919278692,0.190308,0.658813,0.37793,-0.622009
1528281919300634,0.190125,0.658875,0.377502,-0.622253
1528281919313600,0.189758,0.658997,0.377075,-0.622498
1528281919337566,0.18927,0.65918,0.376648,-0.622742
1528281919366457,0.18866,0.659302,0.376221,-0.622986
1528281919378426,0.187988,0.659485,0.375793,-0.623291
1528281919397375,0.187256,0.659668,0.375305,-0.623596
1528281919418319,0.186584,0.659912,0.374756,-0.62384
1528281919434276,0.186035,0.660095,0.374329,-0.624146
1528281919457216,0.185547,0.660217,0.373962,-0.624329
1528281919479156,0.185181,0.660339,0.373535,-0.624573
1528281919494116,0.184692,0.660522,0.373108,-0.624756
1528281919517055,0.184326,0.660706,0.372803,-0.624878
1528281919538996,0.184082,0.660889,0.37262,-0.624878
1528281919553956,0.183899,0.66095,0.372375,-0.625
1528281919576895,0.183533,0.661072,0.372131,-0.625122
1528281919599841,0.182983,0.661255,0.371887,-0.625244
1528281919615798,0.182495,0.661377,0.371887,-0.625244
1528281919636734,0.181946,0.661438,0.371887,-0.625366
1528281919659674,0.181335,0.661621,0.371765,-0.625366
1528281919674634,0.180664,0.661804,0.371826,-0.625366
1528281919696575,0.180298,0.661926,0.37207,-0.625183
1528281919719514,0.180298,0.661804,0.372437,-0.625061
1528281919734474,0.18042,0.661621,0.372803,-0.625061
1528281919757425,0.180359,0.661438,0.372986,-0.625183
1528281919779354,0.180115,0.661316,0.373047,-0.625305
1528281919794314,0.17981,0.661194,0.373047,-0.625549
1528281919817270,0.17926,0.661011,0.372986,-0.625916
1528281919839214,0.178467,0.661011,0.372803,-0.626221
1528281919854229,0.177795,0.661011,0.37262,-0.626526
1528281919877151,0.177246,0.660889,0.372375,-0.626953
1528281919899053,0.176758,0.660828,0.371948,-0.627441
1528281919914013,0.176208,0.660889,0.371521,-0.627808
1528281919936952,0.17572,0.660889,0.371155,-0.628113
1528281919958899,0.17511,0.661072,0.370605,-0.628418
1528281919974853,0.174194,0.661316,0.369934,-0.628845
1528281919996849,0.172913,0.661804,0.369263,-0.629089
1528281920019784,0.171631,0.662292,0.368469,-0.629395
1528281920034738,0.170593,0.662659,0.367859,-0.629639
1528281920056633,0.170044,0.663025,0.367249,-0.629761
1528281920079572,0.170166,0.663147,0.367004,-0.629761
1528281920094532,0.170776,0.663025,0.367004,-0.629639
1528281920116473,0.17157,0.662842,0.367249,-0.629578
1528281920139411,0.172485,0.662415,0.367493,-0.629578
1528281920153374,0.173218,0.661865,0.367798,-0.629822
1528281920177311,0.173645,0.661255,0.368042,-0.630188
1528281920199289,0.173889,0.660828,0.368225,-0.630432
1528281920213266,0.174011,0.6604,0.368408,-0.630737
1528281920237184,0.173889,0.660095,0.368652,-0.630981
1528281920259152,0.173401,0.659973,0.368835,-0.631104
1528281920274111,0.172607,0.659973,0.369019,-0.631165
1528281920297042,0.171875,0.660034,0.369385,-0.631104
1528281920320144,0.171509,0.660034,0.369812,-0.63092
1528281920334157,0.17157,0.659973,0.3703,-0.630737
1528281920356098,0.171753,0.659851,0.370728,-0.630554
1528281920379772,0.171936,0.65979,0.370972,-0.630432
1528281920394136,0.172058,0.659729,0.371094,-0.630371
1528281920416669,0.172058,0.659729,0.371094,-0.630432
1528281920439866,0.171936,0.65979,0.370972,-0.630432
1528281920453832,0.171936,0.65979,0.370972,-0.630432
1528281920476773,0.17218,0.659912,0.371033,-0.630249
1528281920499702,0.172607,0.659851,0.371155,-0.630066
1528281920515890,0.173157,0.659668,0.371277,-0.630066
1528281920536606,0.173523,0.659607,0.371216,-0.630066
1528281920559824,0.173462,0.659851,0.370789,-0.630066
1528281920573818,0.172852,0.660217,0.370361,-0.630127
1528281920596882,0.172302,0.660522,0.370056,-0.630127
1528281920619146,0.172241,0.660583,0.369751,-0.630249
1528281920633833,0.172302,0.660583,0.369141,-0.630554
1528281920656535,0.172058,0.660706,0.368286,-0.630981
1528281920679575,0.171692,0.661011,0.367432,-0.631287
1528281920693671,0.171387,0.661316,0.366638,-0.631531
1528281920716655,0.171448,0.661499,0.365845,-0.631775
1528281920738308,0.171631,0.661682,0.364868,-0.63208
1528281920753801,0.171387,0.661987,0.363708,-0.632507
1528281920776484,0.170959,0.662537,0.362549,-0.632751
1528281920798426,0.170593,0.663086,0.361511,-0.632874
1528281920813753,0.170349,0.663513,0.360535,-0.633057
1528281920836707,0.170044,0.66394,0.359497,-0.633179
1528281920867369,0.169739,0.66449,0.358521,-0.63324
1528281920874578,0.169678,0.6651,0.357788,-0.633057
1528281920896288,0.169922,0.665649,0.357422,-0.632629
1528281920920263,0.170654,0.666077,0.357361,-0.63208
1528281920934190,0.171509,0.666443,0.357483,-0.631348
1528281920956376,0.172485,0.666687,0.357605,-0.630737
1528281920979297,0.173401,0.666931,0.357849,-0.630127
1528281920995034,0.17395,0.666992,0.358276,-0.629639
1528281921016388,0.174377,0.666931,0.358826,-0.629272
1528281921039097,0.174744,0.666687,0.359558,-0.629028
1528281921054318,0.175232,0.66626,0.360474,-0.628784
1528281921076260,0.176025,0.665833,0.36145,-0.62854
1528281921099267,0.176697,0.665344,0.362244,-0.628357
1528281921113960,0.177185,0.664978,0.362915,-0.628174
1528281921137128,0.17749,0.664734,0.363525,-0.628052
1528281921167819,0.177673,0.66449,0.364014,-0.627991
1528281921173800,0.17749,0.664368,0.364319,-0.62793
1528281921195743,0.176819,0.664368,0.364563,-0.627991
1528281921220718,0.175842,0.664612,0.364746,-0.62793
1528281921233938,0.174866,0.664673,0.364929,-0.628052
1528281921255879,0.173767,0.664734,0.364807,-0.628296
1528281921278843,0.172546,0.664917,0.364319,-0.628784
1528281921293822,0.171326,0.665222,0.363525,-0.629272
1528281921315738,0.170654,0.665466,0.362732,-0.629639
1528281921332673,0.170959,0.665405,0.362061,-0.630005
1528281921353661,0.172119,0.665222,0.361511,-0.630188
1528281921376572,0.173706,0.664917,0.36084,-0.630432
1528281921392514,0.175415,0.664551,0.360229,-0.630737
1528281921413511,0.177063,0.664185,0.359619,-0.631042
1528281921436430,0.177979,0.663818,0.359009,-0.63147
1528281921452398,0.17804,0.663757,0.358704,-0.631653
1528281921476290,0.177673,0.663635,0.358948,-0.631836
1528281921496290,0.177002,0.663513,0.359314,-0.631897
1528281921513200,0.176147,0.663391,0.359619,-0.632019
1528281921535132,0.175415,0.663452,0.359924,-0.63208
1528281921556092,0.174866,0.663208,0.360291,-0.632202
1528281921573031,0.174377,0.662964,0.360535,-0.632507
1528281921594973,0.173645,0.662842,0.360718,-0.632751
1528281921615917,0.172607,0.662903,0.36084,-0.632874
1528281921632871,0.171631,0.662964,0.361084,-0.632874
1528281921655119,0.170959,0.663025,0.361328,-0.632935
1528281921679370,0.170288,0.663147,0.361389,-0.632935
1528281921700329,0.1698,0.663208,0.36145,-0.632996
1528281921715274,0.169556,0.663269,0.361389,-0.632996
1528281921736402,0.169556,0.663269,0.361389,-0.632996
1528281921754351,0.169556,0.663269,0.361389,-0.633057
1528281921775295,0.169922,0.663147,0.361328,-0.633057
1528281921796548,0.170349,0.663086,0.361328,-0.633057
