timestamp,x,y,z,w
1528453364600517,0.119324,-0.689453,-0.213562,0.681763
1528453364617472,0.117676,-0.689636,-0.213318,0.681946
1528453364637419,0.115723,-0.689819,-0.212524,0.682312
1528453364660357,0.113831,-0.690186,-0.211182,0.682739
1528453364675320,0.112061,-0.690613,-0.20929,0.683167
1528453364699253,0.110413,-0.691162,-0.20697,0.683594
1528453364720196,0.108948,-0.691711,-0.204346,0.684021
1528453364768069,0.107483,-0.692261,-0.201599,0.684509
1528453364768069,0.106079,-0.692932,-0.19873,0.684937
1528453364782032,0.104919,-0.693604,-0.19574,0.685303
1528453364796992,0.103882,-0.694214,-0.192627,0.68573
1528453364817937,0.103333,-0.694702,-0.189209,0.686218
1528453364843867,0.103577,-0.695251,-0.185547,0.686646
1528453364884758,0.104431,-0.69574,-0.181702,0.687012
1528453364894731,0.105591,-0.696167,-0.177979,0.687378
1528453364901713,0.106873,-0.696533,-0.174622,0.687683
1528453364916672,0.108215,-0.696777,-0.171692,0.687988
1528453364938613,0.109558,-0.697021,-0.168945,0.688232
1528453364968533,0.111084,-0.697266,-0.166504,0.688354
1528453364976511,0.11261,-0.697388,-0.164551,0.688416
1528453364999452,0.114014,-0.697449,-0.163147,0.688477
1528453365020394,0.115173,-0.69751,-0.162292,0.688354
1528453365044331,0.115967,-0.697632,-0.162109,0.688171
1528453365059291,0.116089,-0.697754,-0.16272,0.687866
1528453365080235,0.115295,-0.697815,-0.164063,0.687622
1528453365098187,0.113953,-0.697815,-0.165894,0.687439
1528453365119131,0.112366,-0.697876,-0.167908,0.687134
1528453365140074,0.110901,-0.697754,-0.170166,0.686951
1528453365158028,0.10968,-0.69751,-0.172668,0.686768
1528453365178971,0.108826,-0.69696,-0.175415,0.686768
1528453365199915,0.108459,-0.696289,-0.178223,0.686768
1528453365216868,0.108765,-0.695557,-0.180786,0.686768
1528453365246789,0.109863,-0.694763,-0.183167,0.686829
1528453365259755,0.111755,-0.693909,-0.185547,0.686707
1528453365276710,0.113953,-0.693115,-0.187927,0.686462
1528453365306629,0.116272,-0.692383,-0.190552,0.686157
1528453365320592,0.118286,-0.691589,-0.19342,0.68573
1528453365335551,0.119873,-0.690918,-0.196411,0.685303
1528453365358490,0.121216,-0.690125,-0.199341,0.685059
1528453365382426,0.122375,-0.689331,-0.202026,0.684875
1528453365395391,0.123535,-0.688538,-0.204712,0.684631
1528453365418330,0.124329,-0.687988,-0.206909,0.684387
1528453365440273,0.124512,-0.687256,-0.209045,0.684448
1528453365455232,0.124695,-0.686462,-0.210815,0.684692
1528453365478170,0.125,-0.68573,-0.212158,0.684937
1528453365492133,0.125305,-0.684937,-0.212952,0.685425
1528453365515100,0.126099,-0.684021,-0.212708,0.686279
1528453365538058,0.128479,-0.683105,-0.210815,0.687317
1528453365560956,0.133484,-0.682495,-0.207458,0.687988
