timestamp,x,y,z,w
1528448414956267,0.0742798,0.588135,0.00457764,-0.805359
1528448414979205,0.0751343,0.588135,0.00292969,-0.805237
1528448414995164,0.0761719,0.588013,-0.000305176,-0.805298
1528448415016108,0.0777588,0.587463,-0.00543213,-0.805481
1528448415039092,0.0799561,0.586609,-0.012207,-0.805847
1528448415054006,0.0834351,0.585083,-0.0210571,-0.806396
1528448415078938,0.0894165,0.582275,-0.0317993,-0.807434
1528448415135787,0.0985107,0.578125,-0.0441895,-0.808777
1528448415143766,0.109863,0.573547,-0.0576782,-0.809692
1528448415173686,0.123352,0.568115,-0.072876,-0.810425
1528448415195629,0.139282,0.561768,-0.0892334,-0.810608
1528448415211584,0.156555,0.554138,-0.107666,-0.810486
1528448415233525,0.1745,0.545471,-0.12854,-0.809631
1528448415259457,0.193054,0.535645,-0.151489,-0.807983
1528448415278406,0.211975,0.524292,-0.176758,-0.805603
1528448415293367,0.231873,0.51123,-0.203979,-0.802063
1528448415311318,0.253296,0.496826,-0.232361,-0.796875
1528448415338255,0.27533,0.481262,-0.262512,-0.789734
1528448415353206,0.298096,0.464905,-0.294373,-0.779968
1528448415391104,0.341675,0.42981,-0.362549,-0.753052
1528448415415040,0.360657,0.408997,-0.398682,-0.737366
1528448415435984,0.37738,0.386047,-0.434937,-0.720703
1528448415458937,0.391113,0.361084,-0.469849,-0.704224
1528448415466902,0.40094,0.333984,-0.503723,-0.688477
1528448415473885,0.405701,0.303955,-0.537292,-0.674072
1528448415510785,0.40686,0.270508,-0.569641,-0.66095
1528448415533723,0.406433,0.234924,-0.599365,-0.648438
1528448415548683,0.405884,0.2005,-0.625488,-0.635498
1528448415570625,0.406372,0.170166,-0.647888,-0.62146
1528448415593564,0.407776,0.142151,-0.667603,-0.606506
1528448415616502,0.408264,0.114929,-0.685364,-0.59198
1528448415631462,0.407288,0.0880127,-0.700867,-0.578979
1528448415653404,0.40625,0.0630493,-0.713928,-0.566895
1528448415676343,0.405396,0.0404663,-0.725403,-0.554871
1528448415698283,0.403687,0.019104,-0.73645,-0.542542
1528448415721222,0.401672,0.00012207,-0.746826,-0.530029
1528448415758123,0.398987,-0.0250854,-0.763062,-0.507935
1528448415796023,0.39209,-0.0429077,-0.774414,-0.494751
1528448415818961,0.388489,-0.0490112,-0.777588,-0.492065
1528448415848881,0.386902,-0.050293,-0.778564,-0.491577
1528448415878845,0.386841,-0.0431519,-0.776733,-0.495239
1528448415900742,0.38855,-0.0368652,-0.773315,-0.499695
1528448415915736,0.392273,-0.0288696,-0.767212,-0.506653
1528448415938641,0.39679,-0.0213623,-0.759277,-0.515442
1528448415968563,0.401794,-0.0151367,-0.750061,-0.525146
1528448416006459,0.413147,-0.00213623,-0.730713,-0.543518
1528448416028401,0.419434,0.0045166,-0.722961,-0.549072
1528448416051339,0.432251,0.0152588,-0.713806,-0.550903
1528448416073281,0.439575,0.0215454,-0.710999,-0.548523
1528448416103200,0.44519,0.0245972,-0.710388,-0.544556
1528448416118160,0.446899,0.0219727,-0.712708,-0.540283
1528448416141099,0.44519,0.0175171,-0.717224,-0.535828
1528448416156059,0.442383,0.0134888,-0.722717,-0.530884
1528448416171020,0.438843,0.00915527,-0.730103,-0.523804
1528448416193959,0.435425,0.00512695,-0.738464,-0.514893
1528448416215899,0.432068,0.0022583,-0.746521,-0.506042
1528448416230859,0.427795,-0.000549316,-0.753784,-0.49884
1528448416260835,0.422607,-0.00354004,-0.760071,-0.493774
1528448416290754,0.417236,-0.00622559,-0.765259,-0.490234
1528448416305715,0.412781,-0.00640869,-0.769226,-0.487732
1528448416320959,0.409912,-0.00213623,-0.771606,-0.486389
1528448416335915,0.408447,0.00622559,-0.77179,-0.487366
