timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528443791260861,0,-2,0,-1,0,-1,-1,-2
1528443791260861,-2,-3,-1,-2,0,-1,-3,-2
1528443791260861,1,-1,-1,-1,-1,-1,1,1
1528443791260861,0,0,0,-1,0,-1,-1,-3
1528443791261857,-2,1,0,1,-1,-3,0,-1
1528443791261857,1,-2,-1,-2,0,2,1,2
1528443791262855,0,-1,0,-1,1,3,-1,-2
1528443791262855,-1,-2,-2,-2,0,1,0,0
1528443791272829,0,0,-3,-5,-2,-5,-1,1
1528443791272829,0,1,0,-2,-3,0,0,-2
1528443791281804,-3,-8,-3,-3,-7,-4,-2,-3
1528443791281804,-1,-2,-2,-2,-3,3,-1,-2
1528443791289782,-2,-5,-3,0,10,-7,-5,-2
1528443791289782,0,0,1,5,21,25,8,2
1528443791303745,0,2,2,3,19,-6,-1,-2
1528443791303745,1,2,2,5,0,4,-1,3
1528443791311724,0,-1,-2,3,14,24,8,1
1528443791311724,2,0,0,-2,-28,-17,-10,-1
1528443791326685,-4,-4,-3,-8,7,-4,-4,-2
1528443791326685,-2,-2,-5,9,15,3,4,0
1528443791334663,0,1,3,-6,-7,0,-4,-1
1528443791334663,-6,-1,-3,0,0,-14,-4,-5
1528443791348625,1,-2,1,1,-19,-2,-2,0
1528443791348625,0,-2,-2,-6,-22,-18,-2,-3
1528443791391511,0,-5,1,-10,-4,3,-6,-1
1528443791391511,0,-1,-3,2,0,-3,4,-2
1528443791402482,-1,-1,-1,2,12,11,1,2
1528443791402482,-2,-2,-3,-10,-6,-5,0,2
1528443791403479,3,3,0,6,-10,-21,-7,-3
1528443791403479,-2,1,-1,-9,-16,-7,-10,-1
1528443791404476,-4,-2,0,3,11,1,-5,-4
1528443791404476,-2,0,1,2,8,5,14,0
1528443791405473,0,-1,1,27,6,37,16,4
1528443791405473,-1,-1,-4,-23,10,2,-10,-1
1528443791409463,-4,-3,-1,-5,-17,-31,-35,-18
1528443791409463,5,4,3,-20,-31,-34,1,12
1528443791415447,-4,-5,-10,-36,-7,-2,9,0
1528443791415447,3,5,11,57,33,45,32,15
1528443791430408,0,-1,-1,-20,8,9,7,-1
1528443791430408,0,2,6,-3,0,2,-12,-5
1528443791438385,-7,-7,-10,-4,2,-25,-21,-7
1528443791438385,-5,-5,-5,-12,-24,-18,6,-2
1528443791461324,2,3,3,7,-4,-3,-12,-7
1528443791461324,-2,-3,-2,-2,-11,-5,-3,-14
1528443791462321,4,3,2,0,12,12,18,19
1528443791462321,-3,-1,0,1,1,9,-22,-12
1528443791476284,0,1,-4,3,-1,-15,9,5
1528443791476284,-3,-1,0,5,0,1,-21,-18
1528443791477282,-2,-6,1,1,7,14,6,0
1528443791477282,-1,-1,1,-2,0,-8,-8,-6
1528443791499222,3,3,1,4,-28,-1,27,15
1528443791499222,0,1,0,0,23,-2,-5,4
1528443791499222,-4,0,-1,2,-3,-22,-27,-15
1528443791499222,-1,-6,-4,-9,2,12,20,8
1528443791521164,1,-1,2,1,3,14,18,10
1528443791521164,0,0,-1,8,1,8,-17,-1
1528443791522161,3,5,7,3,-3,-7,13,2
1528443791522161,2,-3,-5,-6,-3,-17,-22,-1
1528443791538118,-7,-2,0,-10,-9,-3,-10,-13
1528443791538118,-6,-3,5,19,1,-4,1,2
1528443791539115,3,1,-9,-6,-7,-5,-22,-11
1528443791539115,2,2,3,-3,-6,2,8,5
1528443791559063,-4,-5,-5,-4,6,2,2,1
1528443791559063,-1,-8,-11,1,3,7,-3,1
1528443791560060,-3,4,8,-7,-13,-11,-16,-12
1528443791560060,-2,-2,-2,3,8,3,6,-3
1528443791581017,3,-2,-2,2,3,6,6,6
1528443791581017,0,-1,1,-3,-3,-1,2,0
1528443791582001,-5,-1,-3,-4,-5,-1,3,-1
1528443791582001,-1,-2,-6,-6,7,11,7,0
1528443791596963,-6,-7,0,-4,-3,-11,-35,-16
1528443791596963,1,-1,-5,12,12,7,40,10
1528443791596963,3,3,2,-14,-3,11,25,22
1528443791596963,-3,0,-1,-4,-19,-22,-47,-28
1528443791618903,6,1,0,3,10,12,57,28
1528443791618903,-3,-2,-1,-4,-5,-3,-13,-8
1528443791619900,-3,-3,-2,10,5,-3,-14,-7
1528443791619900,-7,0,1,3,3,-2,6,0
1528443791641841,4,2,-1,2,2,0,-23,-14
1528443791641841,-1,-2,-6,-12,-8,-3,-1,1
1528443791641841,-3,-1,1,0,-1,-1,-2,-9
1528443791641841,1,1,1,-5,-3,-10,-11,6
1528443791656803,-6,-4,-3,5,5,2,-1,-4
1528443791656803,4,-1,-1,-12,-4,3,2,9
1528443791656803,-4,1,5,10,-2,-5,-31,-19
1528443791656803,0,-2,-7,-9,-6,2,45,17
1528443791678743,-2,-1,-1,4,8,-3,-11,-4
1528443791678743,0,3,-2,-4,3,6,-3,-4
1528443791679742,-3,-5,0,-1,-1,1,-5,-2
1528443791679742,-1,-4,-5,1,2,-2,4,4
1528443791701681,-1,2,5,-5,0,1,-8,-3
1528443791701681,-6,-6,-3,0,-12,-13,-12,-7
1528443791701681,4,1,-2,-1,-8,1,19,2
1528443791701681,7,6,1,-3,-3,-7,0,9
1528443791716642,-1,2,1,-6,-8,-3,-6,0
1528443791716642,-4,-3,-2,-2,3,1,-14,-9
1528443791717654,-3,-5,-1,1,-1,-2,8,-1
1528443791717654,-4,-4,1,2,1,-1,-18,-12
1528443791738583,-1,0,-3,2,-5,-3,-9,-6
1528443791738583,-2,-2,-1,-5,-6,-1,1,1
1528443791739580,1,2,1,1,2,-3,4,7
1528443791739580,-3,-5,-4,-9,-5,-6,-8,-7
1528443791761522,0,-3,0,4,0,-2,4,2
1528443791761522,-2,2,-3,0,1,1,-5,-5
1528443791762519,2,0,-6,-2,-2,6,2,5
1528443791762519,1,2,4,4,13,3,-3,-4
1528443791784461,-1,-2,-6,-6,-13,-7,2,5
1528443791784461,4,0,-1,-2,0,0,12,5
1528443791785458,1,1,0,2,7,5,-1,0
1528443791785458,-2,2,4,3,-6,-2,8,1
1528443791798423,-3,-7,-3,-2,-1,-4,-11,-3
1528443791798423,5,2,7,4,3,8,9,6
1528443791799436,-4,-3,-6,-7,-6,-22,-11,-4
1528443791799436,0,8,4,1,-16,-10,-10,-8
1528443791821362,-4,-6,-5,-26,-36,-10,5,0
1528443791821362,2,-3,3,30,59,31,10,5
1528443791822359,-3,-6,-5,0,-5,4,2,3
1528443791822359,1,0,0,13,30,7,3,3
1528443791844300,0,1,-5,-4,-4,-3,-2,-3
1528443791844300,0,2,0,-12,-22,-6,3,1
1528443791845298,-2,-3,1,1,2,2,5,-1
1528443791845298,-2,-2,0,-4,-7,-10,-7,-7
1528443791859261,-2,-2,-3,-15,-11,1,0,1
1528443791859261,-3,-3,-3,3,7,-10,-7,-4
1528443791859261,1,2,-2,3,9,11,9,6
1528443791859261,-3,-4,-4,-19,-43,-17,-6,-6
1528443791881201,1,-1,1,6,-15,-3,-2,-1
1528443791881201,1,0,-1,18,44,8,4,1
1528443791882199,-5,-3,-2,-10,-26,-8,-5,-1
1528443791882199,3,1,2,26,60,21,7,6
1528443791896165,-3,-3,-5,-18,-14,-15,-8,-7
1528443791896165,-4,-4,-3,-20,-34,-11,-4,-2
1528443791904142,2,1,2,26,22,12,6,1
1528443791904142,-2,-2,-1,-9,-23,-12,-8,-2
1528443791919100,2,4,4,4,11,9,6,2
1528443791919100,-3,0,2,21,-9,-6,-5,-3
1528443791920098,-4,-5,-6,-51,-8,-7,-8,-4
1528443791920098,-2,-6,-4,1,-19,-2,5,2
1528443791941053,5,5,9,51,30,7,1,1
1528443791941053,-4,1,-5,-65,-46,-7,-4,-2
1528443791942039,1,0,6,35,36,-2,-1,-3
1528443791942039,-1,-3,-8,-19,13,13,0,-1
1528443791956002,0,-2,-6,-23,-3,-2,2,1
1528443791956002,-6,-4,0,9,-7,-10,-17,-15
1528443791963986,5,2,0,17,3,9,15,13
1528443791963986,-5,-4,-10,-58,-9,-4,-14,-8
1528443791978941,-6,-8,-2,23,2,-6,-15,-7
1528443791978941,2,0,0,-9,4,1,12,2
1528443791985922,1,-2,-5,-11,-3,8,11,11
1528443791985922,-3,-2,11,91,-2,-9,-25,-10
1528443792001881,0,1,-6,-34,6,7,32,11
1528443792001881,-8,-4,-5,-22,-25,-13,-41,-20
1528443792001881,-5,-2,-1,9,-1,-4,-10,-10
1528443792001881,5,3,2,-22,0,10,12,11
1528443792015842,4,2,3,8,5,1,20,11
