timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528440936111127,3,5,3,4,-1,-2,-2,0
1528440936111127,-6,-4,-8,-11,2,2,0,-3
1528440936119106,-7,-5,-3,-5,-1,-1,-1,-1
1528440936119106,-7,-1,14,17,4,1,-1,-3
1528440936126092,-2,-1,-13,-13,-3,-2,0,0
1528440936126092,-1,-4,3,5,-5,-2,-3,-3
1528440936133069,0,3,-2,2,4,4,0,-3
1528440936133069,-2,-3,-4,-6,-2,0,0,0
1528440936149026,-1,-2,0,0,-1,0,-2,-1
1528440936149026,-5,-4,-6,-6,-3,-3,0,-2
1528440936156007,2,3,-1,-3,-1,-3,-2,-1
1528440936156007,3,4,-5,-7,-5,-3,-3,-2
1528440936170967,3,3,7,8,1,0,0,-1
1528440936170967,-2,-5,-5,-4,-1,0,-3,-2
1528440936177949,1,5,13,14,2,-1,-3,-1
1528440936177949,-11,-1,-12,-18,-4,-2,-4,-4
1528440936194903,1,-14,-11,-14,-6,-2,0,2
1528440936194903,7,-3,2,11,-2,-5,-4,-1
1528440936200887,-3,0,-4,-7,-2,-1,-1,-1
1528440936200887,2,1,17,19,3,1,2,1
1528440936216845,-8,0,-3,4,0,-1,0,-3
1528440936216845,-1,-3,-6,-12,-8,-2,-1,-1
1528440936222828,-1,-6,-7,-9,-5,-2,-1,-1
1528440936222828,2,2,-4,7,8,2,0,-2
1528440936241778,-4,-3,-6,-9,-4,-2,-1,-1
1528440936241778,-2,-6,-11,-19,-14,-9,-3,-2
1528440936253746,-2,-4,-4,-14,-17,-14,-7,-5
1528440936253746,4,16,24,39,33,12,3,2
1528440936260727,-5,-4,-1,8,10,16,8,-1
1528440936260727,10,-4,0,-3,-2,4,3,5
1528440936275688,-3,1,-2,4,-4,-3,-4,-3
1528440936275688,-19,-9,-6,-19,-19,-15,-9,-7
1528440936286658,10,-1,-6,-10,-14,-11,-8,-3
1528440936286658,9,6,4,21,27,10,4,3
1528440936305607,1,4,11,8,6,9,3,1
1528440936305607,-4,-9,-24,-22,-13,-12,-5,-4
1528440936313585,-8,1,2,-2,-3,-4,-6,-3
1528440936313585,1,-1,5,3,-4,1,1,0
1528440936328546,-3,-3,0,2,14,5,-1,-2
1528440936328546,-7,-4,-4,-14,-20,-9,-10,-10
1528440936343507,-1,-1,18,25,-5,-30,-5,2
1528440936343507,0,0,-2,-21,-3,23,8,2
1528440936350515,2,0,-3,-2,3,13,5,2
1528440936350515,-8,-9,1,9,-14,-22,-9,-5
1528440936358467,-4,0,-11,-13,11,9,-3,-2
1528440936358467,-6,1,11,22,-6,-14,-2,-4
1528440936365447,11,25,18,11,10,-3,3,6
1528440936365447,28,14,-8,-9,8,30,13,11
1528440936382402,-20,-16,-15,-22,-27,-26,-15,-13
1528440936382402,-12,-3,-7,-16,-13,-23,-8,-4
1528440936410327,0,0,2,1,7,7,0,-2
1528440936410327,-4,-1,-11,-5,5,-7,1,1
1528440936418306,-3,-2,2,-13,-15,2,0,-3
1528440936418306,-1,-1,-10,-32,-18,-12,-5,-1
1528440936425302,1,3,8,12,-10,-6,3,2
1528440936425302,10,4,21,61,66,47,18,8
1528440936433282,4,7,-5,14,16,7,2,3
1528440936433282,-6,-3,1,11,10,7,-2,-5
1528440936441244,-4,-3,-4,-21,-28,-24,-11,-4
1528440936441244,-6,-9,-13,-33,-25,-8,-1,-1
1528440936456206,2,1,6,8,26,13,3,-1
1528440936456206,-3,0,7,-17,-10,14,4,-2
1528440936471164,3,4,-4,-5,-25,-38,-8,0
1528440936471164,2,3,9,42,38,24,4,0
1528440936478146,6,3,-16,-25,-19,8,8,8
1528440936478146,1,6,40,56,7,-39,-11,0
1528440936493106,1,2,-2,-27,14,67,19,0
1528440936493106,-6,-5,-5,-20,-43,-52,-19,-6
1528440936501084,2,3,7,30,33,24,10,3
1528440936501084,0,-2,-17,-23,-11,0,-4,0
1528440936516045,-5,-7,-4,-1,8,-2,-4,-3
1528440936516045,0,7,12,-8,-7,2,0,0
1528440936523027,-12,-15,-22,-41,-49,-50,-26,-15
1528440936523027,-1,-2,-8,-1,-18,-28,-9,-3
1528440936537987,4,8,8,15,18,13,14,7
1528440936537987,10,14,36,81,91,90,36,10
1528440936552947,0,-7,-18,-17,-27,-45,-11,0
1528440936552947,-3,-6,-29,-29,10,25,6,1
1528440936560925,2,5,12,4,10,7,7,1
1528440936560925,1,0,-5,-4,-7,2,0,-3
1528440936575885,-5,-5,9,7,-6,-10,-8,-7
1528440936575885,-4,-7,-12,-26,-33,-31,-16,-7
1528440936590845,2,0,-8,13,11,-8,-1,-1
1528440936590845,-2,-3,-8,-18,-2,15,7,1
1528440936605804,-1,-2,6,5,3,1,-1,-1
1528440936605804,3,3,-4,9,18,7,5,4
1528440936620765,3,6,8,-1,-3,-7,-5,1
1528440936620765,-1,-1,13,7,5,-5,-5,-3
1528440936628744,2,2,-8,-14,-7,3,-2,1
1528440936628744,-4,-3,1,3,0,-7,-7,-6
1528440936643721,-3,-4,10,10,-7,-4,-5,-3
1528440936643721,-5,-6,-6,-22,-32,-27,-13,-7
1528440936658669,-4,-6,-11,-1,-14,-14,-9,-5
1528440936658669,-2,-1,-1,-10,-14,-25,-8,-2
1528440936673624,-3,-9,-18,-7,-2,-2,-4,-4
1528440936673624,-8,0,20,-3,-21,-26,-12,-5
1528440936680606,-2,0,-13,6,0,-1,-1,-5
1528440936680606,8,2,10,0,-7,5,6,4
1528440936695566,4,4,-16,-9,5,-1,2,4
1528440936695566,-5,-16,-19,-17,-8,-3,0,-1
1528440936703543,-4,-3,18,20,2,-9,-6,-5
1528440936703543,-3,-3,-9,-5,-4,5,2,0
1528440936718503,-1,-3,2,-2,1,1,-2,-3
1528440936718503,3,5,20,30,14,12,5,3
1528440936725503,1,1,-11,-12,-6,-3,-1,0
1528440936725503,-3,0,7,-3,-9,-15,-9,-3
1528440936733463,-5,-4,11,8,8,6,2,-1
1528440936733463,2,6,-22,-5,-2,6,2,2
1528440936740445,-4,-8,-5,-13,-5,-10,-8,-8
1528440936740445,-3,1,1,-6,-12,-19,-8,-4
1528440936755405,3,11,30,28,23,24,10,4
1528440936755405,-6,-11,-20,-14,-11,-10,-9,-7
1528440936763383,-1,-2,-3,0,-14,-23,-6,0
1528440936763383,-2,1,2,7,17,18,6,-1
1528440936778344,-2,-2,-15,-19,-10,-10,-9,-5
