timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529309057577072,2,-18,-15,-21,-11,6,5,5
1529309057577072,-2,7,-7,-13,-14,-1,6,-4
1529309057592031,-8,-19,-17,18,5,4,5,-9
1529309057592031,-1,10,31,5,5,6,5,-3
1529309057600010,17,31,35,16,-2,6,13,8
1529309057600010,-2,8,3,-9,0,9,0,5
1529309057606993,7,-11,-29,-17,-13,-19,-21,-13
1529309057606993,-3,-20,-36,-5,3,-10,-14,6
1529309057615969,4,-7,11,6,6,-1,-5,2
1529309057615969,-14,17,9,0,5,5,1,4
1529309057628937,0,9,23,-5,-7,7,10,8
1529309057628937,22,-14,1,15,11,0,-1,3
1529309057636920,-23,-2,8,3,-5,-10,-4,-8
1529309057636920,3,-30,-25,2,2,3,2,2
1529309057651881,-21,-26,-33,-50,-17,-5,1,-4
1529309057651881,3,11,-14,-2,-8,-2,1,-7
1529309057658852,21,38,34,20,17,12,5,2
1529309057658852,7,12,48,35,10,0,-3,-4
1529309057674812,-15,-65,-90,-29,-13,-6,-5,-1
1529309057674812,-1,-27,-26,-5,1,-2,1,-2
1529309057688772,14,14,56,10,-10,-10,-7,-3
1529309057688772,-17,12,-33,-14,-2,4,-4,-4
1529309057703760,-1,24,7,7,4,-3,-3,-5
1529309057703760,18,-8,16,17,7,-2,-1,3
1529309057718692,10,32,24,0,4,9,13,5
1529309057718692,0,13,12,-8,2,11,7,-1
1529309057727696,-27,-43,-53,-15,-9,-11,-11,-11
1529309057727696,13,-19,-18,2,-6,-3,2,0
1529309057741668,-20,-21,-60,-20,-4,-9,-4,1
1529309057741668,31,-19,-25,1,-2,-7,-8,3
1529309057749610,-8,30,48,19,5,-5,2,13
1529309057749610,41,-2,-12,0,4,-1,-4,1
1529309057756595,-18,-19,-12,-12,-1,8,4,-5
1529309057756595,-24,2,-32,-20,-10,-6,-7,-10
1529309057771552,12,4,-9,2,-2,0,0,-1
1529309057771552,2,-12,22,7,3,6,4,3
1529309057782523,1,6,27,18,7,-1,-1,-1
1529309057782523,-10,42,8,-19,-5,-12,-5,-6
1529309057801504,36,75,73,12,10,6,5,2
1529309057801504,-2,15,16,7,5,10,4,1
1529309057816432,-4,5,-5,-7,6,11,9,9
1529309057816432,2,-34,-42,-23,-25,-28,-23,-6
1529309057824450,-3,5,25,26,6,1,1,2
1529309057824450,6,10,31,-14,-5,-5,1,3
1529309057842370,28,3,-28,5,2,-1,0,-7
1529309057842370,-7,0,-9,9,-6,-3,7,-2
1529309057854330,2,4,-19,-9,-2,2,2,0
1529309057854330,-4,6,19,1,8,4,1,-7
1529309057869290,6,7,18,34,3,-2,0,4
1529309057869290,-9,2,-11,-24,2,4,-1,-2
1529309057877268,9,-18,-7,14,7,6,1,2
1529309057877268,2,39,29,-14,-10,-16,-2,3
1529309057893226,5,18,5,-13,-6,-10,2,0
1529309057893226,-1,-9,-1,24,8,0,6,7
1529309057922175,-2,8,13,11,4,-5,-2,-7
1529309057922175,3,9,6,-6,-6,0,-9,-7
1529309057929129,-5,-6,-6,-4,-1,7,6,-5
1529309057929129,-4,-10,-15,-1,-2,1,-10,-2
1529309057937149,2,-8,7,11,4,0,-5,6
1529309057937149,-5,-7,-10,-24,-7,0,7,3
1529309057944131,10,20,19,18,6,-16,0,4
1529309057944131,-10,-9,-7,-6,1,-9,-4,3
1529309057959049,-11,-11,-7,11,-3,-1,1,5
1529309057959049,-2,8,-2,-39,-7,-3,0,0
1529309057974010,7,3,13,9,0,4,-2,0
1529309057974010,-7,-14,-22,10,5,-16,-11,-11
1529309057981989,3,-9,-3,-5,-10,-5,7,5
1529309057981989,-7,-4,2,1,4,6,-5,-6
1529309057988970,-1,-6,-8,-4,-7,-3,-5,1
1529309057988970,3,8,13,0,3,3,-6,-4
1529309057996948,-6,-6,-16,-21,6,-4,0,0
1529309057996948,-1,-1,6,19,8,7,14,5
1529309058011942,-3,1,1,-3,6,-9,3,-2
1529309058011942,-1,5,4,-15,-25,1,5,6
1529309058018929,9,-3,5,36,7,4,-2,1
1529309058018929,5,-1,-2,-52,8,4,-2,-1
1529309058033850,8,13,12,-3,-24,-4,-1,3
1529309058033850,-5,-5,1,12,13,-1,0,-3
1529309058041828,-10,-16,-27,-19,-4,2,-5,-3
1529309058041828,7,12,12,21,-19,-7,-3,1
1529309058048810,7,12,5,-17,-2,-10,-2,-2
1529309058048810,-2,-7,-7,9,1,-7,-9,-1
1529309058056789,-10,-5,-2,-12,-18,-3,-1,-3
1529309058056789,1,5,14,31,8,11,7,3
1529309058071751,-7,-9,-22,-31,-11,6,-2,-1
1529309058071751,2,-3,1,5,3,-10,-6,-6
1529309058078731,3,1,-3,0,13,2,-4,-4
1529309058078731,-4,-8,-7,-14,-6,-6,1,-5
1529309058093690,-7,-14,-9,6,9,2,0,-4
1529309058093690,19,19,21,13,23,3,0,7
1529309058101668,5,15,14,4,-10,4,4,6
1529309058101668,0,-2,2,15,-18,-6,-2,7
1529309058108650,-5,-7,-9,-8,-2,5,-6,-7
