timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529300772240287,-6,-1,0,-2,0,-1,-3,-16
1529300772240287,-1,2,2,0,-1,-3,-3,-1
1529300772247273,11,5,3,0,1,5,17,13
1529300772247273,21,-1,-2,-2,-4,1,-7,21
1529300772262222,-6,-3,0,-2,-3,-3,-5,-15
1529300772262222,-6,-3,-1,2,2,1,-10,-8
1529300772269209,-19,-3,-5,-4,-1,-4,0,-2
1529300772269209,1,0,0,-2,0,7,5,10
1529300772278179,2,-2,7,-1,-14,-5,0,-2
1529300772278179,-9,-8,-16,-11,-15,-11,-5,-8
1529300772307103,1,-1,3,9,7,7,3,-22
1529300772307103,-9,-3,-10,31,46,5,-2,-18
1529300772314131,-5,0,6,1,53,29,9,7
1529300772314131,1,-2,-3,-9,25,4,0,0
1529300772322062,5,-3,-6,-3,-33,-13,-6,14
1529300772322062,-2,1,-24,-16,-46,-19,-4,-1
1529300772330041,2,2,-7,8,9,-6,-7,-5
1529300772330041,3,5,32,6,3,-4,14,2
1529300772344037,-10,-16,-41,-7,1,-4,-21,-3
1529300772344037,-4,-4,-4,-1,-21,-11,-12,-3
1529300772359959,-4,0,2,20,52,20,22,5
1529300772359959,5,6,3,-1,11,31,27,11
1529300772366940,2,-2,5,25,28,-6,-28,7
1529300772366940,-5,1,9,44,-42,-16,25,-6
1529300772381954,-3,-5,-15,-28,35,33,4,-8
1529300772381954,-2,3,3,30,4,4,2,16
1529300772396914,3,0,-3,-65,-43,-33,-57,-13
1529300772396914,4,8,31,73,44,30,43,1
1529300772404839,2,7,5,34,11,-2,-25,9
1529300772404839,0,0,27,94,53,1,16,-7
1529300772419846,-6,-11,-73,-86,-43,-2,29,-3
1529300772419846,-5,-5,0,8,-54,-29,-46,3
1529300772426781,-3,-4,-19,36,-12,-7,-10,-10
1529300772426781,0,1,18,26,-40,-13,4,-13
1529300772441785,6,10,31,65,14,28,27,13
1529300772441785,-1,-3,-14,21,28,14,-10,-3
1529300772449755,-1,1,-21,-61,-12,18,52,3
1529300772449755,-9,-16,-67,-123,-45,-32,-84,-5
1529300772464680,-6,-8,-32,-69,-26,-19,-25,7
1529300772464680,1,6,16,28,10,9,33,4
1529300772479640,-4,-7,-19,-55,-45,-26,-46,-5
1529300772479640,1,3,11,-8,-31,-17,53,0
1529300772486648,7,11,29,31,-19,4,-2,-4
1529300772486648,-1,-5,-26,-58,21,0,-68,-1
1529300772502578,-5,1,12,62,23,32,96,-1
1529300772502578,6,16,15,-25,21,-3,-6,10
1529300772509566,-2,-8,-4,-20,-49,-46,-61,-8
1529300772509566,-3,-2,-34,-49,9,29,50,-9
