timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529292141642346,-2,-1,-8,-4,-7,12,-6,2
1529292141642346,-5,-1,-1,5,-66,-3,2,-11
1529292141649396,15,12,-1,21,-14,8,27,13
1529292141649396,9,10,13,4,13,14,34,11
1529292141665275,4,-3,-15,-8,35,-9,58,7
1529292141665275,6,2,0,-15,15,-1,58,9
1529292141672260,-4,-4,-1,-14,-16,-36,19,3
1529292141672260,2,0,13,-2,-3,-14,-27,9
1529292141679388,5,-4,-13,4,3,-9,-26,8
1529292141679388,-3,4,42,13,24,-2,-3,-8
1529292141695199,-5,5,-3,-2,9,-13,-13,-16
1529292141695199,-10,-15,-9,-1,35,24,7,14
1529292141702332,-12,1,-8,-6,19,-18,-6,-51
1529292141702332,29,-5,-11,-9,65,-4,16,-13
1529292141717292,13,15,-14,-7,82,29,13,-96
1529292141717292,-1,-4,8,-8,40,-104,-32,-2
1529292141725148,11,15,7,-7,2,-112,8,102
1529292141725148,-7,-3,-3,-5,-48,-127,25,126
1529292141740078,0,-9,3,-2,-57,84,-32,-67
1529292141740078,1,5,11,2,-44,127,-4,-48
1529292141755038,6,1,5,10,-8,126,-3,-36
1529292141755038,-4,12,11,-4,-33,76,5,-58
1529292141762071,20,5,9,2,-7,127,-6,-47
1529292141762071,-68,-43,-5,-12,-11,108,-15,-81
1529292141777031,25,0,-4,-6,-9,88,16,7
1529292141777031,10,9,-44,-1,-4,90,-16,-19
1529292141785009,3,20,-24,11,14,68,39,4
1529292141785009,55,5,-54,6,11,73,-81,-28
1529292141799969,-10,-29,8,-4,5,-33,38,-38
1529292141799969,-28,-18,15,-8,3,31,54,-57
1529292141814941,30,-5,25,2,-9,-27,59,-6
1529292141814941,6,-8,31,10,-7,-27,45,56
1529292141821957,-12,-22,12,-4,13,18,40,71
1529292141821957,16,0,18,6,-6,-24,54,79
1529292141836882,-8,5,10,4,-33,-106,-71,21
1529292141836882,23,27,-3,9,-8,15,37,26
1529292141844860,-5,21,2,14,19,-22,29,35
1529292141844860,-13,17,-14,0,25,39,32,58
1529292141859823,1,17,-6,11,4,5,31,15
1529292141859823,-8,11,7,3,-3,-95,-75,10
1529292141866804,7,16,14,11,5,21,-29,-2
1529292141866804,10,17,9,10,7,9,-16,15
1529292141881813,-6,14,-14,-6,8,-1,-24,-19
1529292141881813,7,-2,-12,-10,-15,-59,-31,33
1529292141890057,10,4,-6,2,-22,-50,-52,-31
1529292141890057,-22,6,13,9,12,29,-21,-2
1529292141912401,7,-8,-4,-7,7,27,-10,-20
1529292141912401,14,9,-2,4,-17,-67,-28,-22
1529292141935040,-4,-8,-11,3,3,36,30,19
1529292141935040,21,6,6,3,12,11,51,43
1529292141942202,-79,-33,-12,-13,-17,-55,-63,-39
1529292141942202,21,10,-6,-2,-6,1,15,-1
1529292141957484,-13,-12,-1,8,22,28,12,9
1529292141957484,6,17,-2,6,-4,-8,-4,-31
1529292141964837,23,0,2,-10,-8,-6,-14,15
1529292141964837,13,-2,-6,-8,-18,-54,-13,-20
1529292141972873,9,-9,-9,0,13,23,16,15
1529292141972873,-12,-10,0,-5,-20,-55,-21,-29
1529292141987829,20,18,4,-5,19,27,33,14
1529292141987829,-26,-16,-16,1,12,-18,6,-21
1529292142002811,-15,-18,-7,-7,-29,-26,-46,-34
1529292142002811,2,-4,-11,-7,15,25,21,21
1529292142009975,22,-16,-13,17,32,75,64,27
1529292142009975,9,9,12,-14,20,50,19,-2
1529292142024933,-68,-23,4,4,-34,-58,2,3
1529292142024933,-5,-15,-4,12,20,36,28,11
1529292142040212,17,7,19,-14,-24,-54,-48,-9
1529292142040212,-43,-14,11,17,21,78,48,10
1529292142047310,20,-14,-29,-14,10,2,-4,-3
1529292142047310,-9,-3,-17,6,-16,-25,-17,-14
1529292142062260,13,3,-6,10,19,13,12,38
1529292142062260,-13,-9,20,-18,-62,-116,-62,-16
1529292142070230,27,10,11,2,5,26,3,-1
