timestamp,x,y,z
1528882935747203,19.125,27.375,34.125
1528882935779150,6.6875,47.125,46.3125
1528882935786098,-15.0625,67.5,62.1875
1528882935799063,-57.3125,80.375,77.625
1528882935814023,-120.25,96.9375,93.0625
1528882935837960,-163.125,110.0,104.31299999999999
1528882935858905,-179.438,114.93799999999999,128.375
1528882935913758,-150.75,129.313,155.563
1528882935913758,-76.8125,147.938,171.938
1528882935921738,-1.3125,163.125,197.25
1528882935933703,47.0625,174.188,213.938
1528882935956644,73.875,186.875,234.688
1528882935978583,80.125,192.813,259.5
1528882935993544,63.5,194.813,281.438
1528882936015485,57.875,197.5,302.375
1528882936038424,70.5,189.5,316.188
1528882936053384,97.375,178.813,323.375
1528882936075325,125.43799999999999,168.125,321.563
1528882936098291,143.188,162.875,304.0
1528882936113224,147.625,152.313,274.875
1528882936136168,141.5,134.813,252.125
1528882936167101,123.06299999999999,118.625,235.0
1528882936173113,101.125,107.25,213.125
1528882936196003,81.25,93.625,193.125
1528882936217945,66.375,73.375,175.938
1528882936232904,50.8125,54.4375,152.563
1528882936255843,38.0625,44.9375,124.5
1528882936277812,28.9375,35.875,104.81299999999999
1528882936292771,19.125,29.125,88.375
1528882936324697,10.0,26.625,74.4375
1528882936338622,-1.0625,20.75,64.5
1528882936353582,-14.25,12.75,49.9375
1528882936375522,-20.5625,7.125,36.6875
1528882936398650,-26.8125,-3.8125,29.4375
1528882936413616,-13.5,-2.9375,1.75
1528882936435553,-29.4375,-3.4375,-15.75
1528882936458517,-16.125,-19.9375,-12.5
1528882936473450,-7.1875,-23.8125,3.6875
1528882936495391,-30.3125,-15.5,-10.5
1528882936518332,-17.9375,-12.75,-18.0625
1528882936533292,11.1875,-10.4375,-4.125
1528882936555239,12.5625,5.25,-2.25
1528882936578172,-2.5625,27.75,-10.75
1528882936593131,-15.6875,45.5625,-9.125
1528882936615350,-31.0625,61.5,-11.0625
1528882936630296,-43.25,84.25,-19.0625
1528882936653209,-57.625,99.1875,-29.375
1528882936676334,-66.3125,104.93799999999999,-42.0
1528882936691418,-61.5,113.875,-47.9375
1528882936713557,-40.1875,115.125,-48.5
1528882936736472,-16.5625,111.56299999999999,-50.1875
1528882936750766,5.25,108.81299999999999,-56.75
1528882936773451,14.75,107.93799999999999,-60.4375
1528882936807633,22.0625,106.93799999999999,-66.625
1528882936812891,19.375,95.5,-73.75
1528882936832872,12.1875,85.5625,-73.9375
1528882936856096,16.75,78.125,-69.125
1528882936870354,16.4375,63.3125,-63.875
1528882936895331,24.5625,49.1875,-63.0
1528882936919074,27.875,30.3125,-58.5625
1528882936947522,21.25,18.1875,-53.0
1528882936962231,10.1875,9.3125,-43.4375
1528882936976419,6.125,2.1875,-33.125
1528882936998400,12.625,-3.1875,-25.1875
1528882937014093,18.3125,-5.625,-15.75
1528882937036035,17.0,-8.875,-5.0
1528882937053993,7.5625,-8.25,6.1875
1528882937075928,2.25,-6.5625,13.625
1528882937095928,0.625,-5.75,17.6875
1528882937113826,5.0625,-5.6875,16.3125
1528882937135766,10.3125,-5.9375,13.6875
1528882937155768,10.0,-8.9375,7.4375
1528882937173666,6.1875,-14.25,-2.875
1528882937196642,2.1875,-20.8125,-16.6875
1528882937215609,5.25,-30.4375,-32.625
1528882937233525,12.375,-45.5,-49.75
1528882937256478,17.125,-65.375,-69.0
1528882937275446,8.5,-85.125,-90.5
1528882937293347,-0.9375,-104.125,-115.375
1528882937316285,-14.5,-126.5,-142.0
1528882937335288,-19.875,-144.188,-166.188
1528882937353240,-28.1875,-166.063,-184.063
1528882937376126,-32.125,-173.875,-198.563
1528882937396182,-26.5625,-175.5,-212.25
1528882937414334,-26.6875,-176.75,-227.375
1528882937436086,-18.1875,-180.688,-237.313
1528882937457075,-1.75,-188.563,-235.688
1528882937472981,0.5,-198.438,-236.375
1528882937496138,-12.8125,-196.813,-238.813
1528882937516431,2.375,-189.125,-230.875
1528882937532782,25.375,-185.813,-223.188
1528882937555512,33.0,-185.688,-224.75
1528882937576632,32.75,-180.188,-222.438
1528882937593627,21.625,-171.875,-220.688
1528882937615230,10.3125,-168.313,-218.5
1528882937636417,5.125,-167.063,-215.875
1528882937653110,7.0,-164.875,-208.313
1528882937675235,3.25,-155.813,-197.375
1528882937696529,-0.75,-138.5,-189.75
1528882937713487,2.625,-118.81299999999999,-173.5
1528882937735170,12.1875,-101.18799999999999,-152.25
1528882937756113,22.6875,-84.625,-125.875
1528882937773350,28.9375,-67.625,-96.1875
1528882937795132,33.3125,-51.4375,-66.25
1528882937816950,40.5,-40.5,-39.4375
