timestamp,x,y,z
1529295390711215,5.25,-1.875,-1.8125
1529295390732158,10.9375,1.4375,-2.75
1529295390747146,7.375,5.75,-3.6875
1529295390771055,0.375,7.6875,-6.25
1529295390792051,-4.5,9.0,-7.125
1529295390832891,-6.125,10.25,-7.5
1529295390833888,-4.6875,10.5,-8.0625
1529295390851840,-1.5625,10.5625,-8.9375
1529295390866800,-0.25,9.5625,-9.25
1529295390892731,-2.625,7.1875,-9.5
1529295390912676,-3.1875,5.6875,-17.25
1529295390950574,-17.0,11.9375,-42.4375
1529295390959550,-23.4375,11.0,-69.5625
1529295390972553,-19.375,17.125,-90.0625
1529295390987476,-16.9375,36.125,-127.43799999999999
1529295391009430,12.8125,57.8125,-161.563
1529295391032391,27.9375,78.0625,-181.063
1529295391048313,10.0,97.0,-206.313
1529295391069300,-28.5,112.0,-239.063
1529295391092197,-72.1875,123.31299999999999,-273.875
