timestamp,x,y,z
1529308128510797,-6.375,-4.0625,8.3125
1529308128533737,-9.375,-3.1875,14.9375
1529308128555679,-16.0,-0.0625,26.5625
1529308128578617,-6.9375,3.375,47.75
1529308128593576,10.5625,10.375,74.4375
1529308128608537,13.3125,15.1875,93.9375
1529308128631475,4.9375,19.9375,122.375
1529308128653416,0.8125,21.625,155.938
1529308128668377,8.9375,25.25,197.75
1529308128691315,18.375,22.6875,236.375
1529308128721236,36.625,24.3125,274.438
1529308128736195,47.875,18.75,304.375
1529308128759135,66.875,11.1875,327.438
1529308128774094,88.5,7.0,341.125
1529308128789345,103.81299999999999,10.1875,342.81300000000005
1529308128811264,110.875,14.75,341.375
1529308128833193,114.31299999999999,15.75,327.563
1529308128849160,108.625,11.0,302.688
1529308128871622,109.43799999999999,4.0625,277.063
1529308128894436,116.25,-2.25,236.0
1529308128908794,125.06299999999999,-7.8125,184.063
1529308128931846,124.625,-14.4375,136.25
1529308128953809,120.125,-18.75,99.5
1529308128968750,107.56299999999999,-24.75,65.0625
1529308128998934,86.125,-36.125,39.4375
1529308129021943,61.1875,-52.75,12.4375
1529308129036931,45.3125,-59.4375,-18.1875
1529308129050839,43.9375,-62.8125,-36.125
1529308129074033,28.75,-57.6875,-44.4375
1529308129088999,9.5,-55.625,-55.6875
1529308129111830,-14.4375,-78.875,-76.25
1529308129133625,-43.9375,-56.6875,-125.75
1529308129148615,13.4375,-55.8125,-61.3125
1529308129171884,32.4375,15.6875,64.1875
1529308129194504,-4.375,52.75,68.625
1529308129208419,-86.0,14.75,35.3125
1529308129231820,-57.625,5.0625,29.75
1529308129253991,36.1875,9.75,39.9375
1529308129276884,75.5,15.0,46.0
1529308129298903,38.5,8.1875,36.25
1529308129336948,-1.125,-11.25,1.0625
1529308129358845,43.625,-9.9375,-21.25
1529308129381275,49.375,-16.5625,-31.375
1529308129396556,39.875,-23.25,-28.375
1529308129418194,-26.6875,-22.875,-24.375
1529308129434152,-63.1875,-26.8125,-44.8125
1529308129456321,-66.5,-22.25,-86.375
1529308129479244,-58.8125,-19.3125,-129.875
1529308129494192,30.4375,-20.0,-52.875
1529308129515837,27.5,57.625,92.3125
1529308129538738,-22.8125,67.75,73.875
1529308129553698,-128.875,9.4375,26.375
1529308129576663,-59.4375,15.6875,40.8125
1529308129598632,64.625,23.5625,42.625
1529308129613590,81.25,24.875,40.125
1529308129636490,18.3125,6.6875,25.9375
1529308129658473,-20.8125,-10.625,6.75
1529308129673433,5.0625,-19.375,-11.125
1529308129696352,44.5,-21.8125,-24.9375
1529308129718310,44.25,-31.5625,-32.6875
1529308129733219,1.375,-38.625,-29.4375
1529308129756210,-14.0625,-45.5,-57.625
1529308129779143,-17.0,-56.375,-93.5625
1529308129794110,-24.6875,-79.75,-101.5
1529308129816023,-25.5,-47.375,-125.18799999999999
1529308129838935,8.375,-38.6875,-65.0625
1529308129854152,15.3125,0.0,0.625
1529308129876919,-35.0625,15.125,7.5
1529308129899036,-96.75,-0.375,-16.9375
1529308129914066,-114.875,-7.0625,-35.0
1529308129936607,-45.6875,-0.6875,-24.25
1529308129966561,37.75,14.6875,-18.5625
1529308129989579,42.25,10.625,-28.5
1529308130004544,-16.875,3.4375,-47.0
1529308130018762,-74.0625,-4.875,-54.5625
1529308130034461,-70.9375,-4.25,-60.5
1529308130056401,-55.6875,-0.875,-78.1875
1529308130078921,-57.25,4.9375,-101.93799999999999
1529308130108891,-70.375,3.5625,-123.625
1529308130123977,-74.6875,3.3125,-136.188
1529308130146712,-70.0,5.375,-149.75
1529308130161672,-70.25,0.75,-165.938
1529308130176632,-75.625,1.625,-171.438
1529308130198887,-69.9375,2.125,-173.063
1529308130221561,-63.5,2.8125,-174.0
1529308130236518,-61.3125,1.8125,-170.5
1529308130258504,-57.8125,-2.9375,-169.0
1529308130281397,-60.0,-6.5625,-162.25
1529308130296396,-54.5,-10.4375,-157.688
1529308130318338,-58.0,-15.0,-145.813
1529308130341238,-75.1875,-18.375,-139.75
1529308130356198,-87.5625,-19.1875,-130.938
1529308130379154,-78.4375,-22.625,-125.06299999999999
1529308130401144,-58.125,-23.3125,-119.06299999999999
1529308130416369,-61.25,-22.0,-114.56299999999999
1529308130438982,-68.125,-16.8125,-105.25
1529308130461343,-66.875,-21.75,-87.6875
1529308130484077,-70.625,-31.875,-88.4375
1529308130499240,-79.5625,-35.6875,-96.9375
1529308130521190,-65.0625,-38.375,-103.68799999999999
1529308130536411,-35.875,-38.0,-99.5625
1529308130559449,-6.25,-28.0625,-81.0625
1529308130589333,7.9375,-30.125,-68.6875
1529308130604357,-4.9375,-38.9375,-70.9375
1529308130626205,-5.125,-20.0625,-54.125
1529308130641922,-10.5,5.9375,-9.0625
1529308130656718,-7.3125,32.4375,14.5625
1529308130678977,-13.375,35.1875,24.1875
1529308130701029,-51.125,17.75,17.0
1529308130716336,-37.5,-0.4375,8.0625
