timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529302853822825,1,2,2,2,-3,-4,-2,-2
1529302853822825,2,2,0,8,-1,-3,-2,-1
1529302853824821,-1,-2,5,-2,6,3,1,-1
1529302853824821,-1,2,0,6,5,0,-1,0
1529302853824821,-1,-6,1,-5,0,1,-1,0
1529302853824821,-1,0,-4,-4,-3,-2,-2,0
1529302853828809,1,0,-10,-6,-11,-6,-3,0
1529302853828809,1,3,1,1,-1,-2,0,-2
1529302853832799,-4,-11,2,2,2,-1,-1,0
1529302853832799,-3,-2,5,-1,-2,0,-1,0
1529302853845764,0,4,-4,0,0,0,0,-2
1529302853845764,-3,2,-2,-2,-1,-1,-1,-1
1529302853849753,-1,3,-6,-1,-4,-2,-3,-2
1529302853849753,2,-2,-3,-11,-3,-1,1,0
1529302853866708,-3,5,5,11,7,1,0,-1
1529302853866708,0,2,1,-3,-2,0,-1,-6
1529302853874690,-2,-4,-7,-2,0,0,1,2
1529302853874690,0,-4,0,-4,0,-2,0,0
1529302853889646,1,1,-3,-8,-6,-2,-6,-6
1529302853889646,4,3,10,13,10,6,13,16
1529302853896628,0,1,-3,-3,-5,-2,-3,-4
1529302853896628,-6,-6,0,-14,-9,-12,-22,-9
1529302853910591,-6,-6,-9,1,-3,8,21,-25
1529302853910591,5,-3,-4,-1,-3,1,18,51
1529302853952478,0,-1,0,-1,-2,-4,2,7
1529302853952478,3,9,6,6,12,5,-4,-2
1529302853955472,-5,-7,8,-6,-3,-4,-4,-5
1529302853955472,-2,-2,-23,-15,-7,-2,-3,-4
1529302853956469,-1,-1,4,7,-2,-3,-6,-5
1529302853956469,-5,-7,-8,-17,-12,-9,-5,-4
1529302853957466,2,4,10,10,6,5,2,4
1529302853957466,4,6,12,3,-5,-4,-2,0
1529302853963450,-2,-2,1,0,4,0,-12,-8
1529302853963450,-5,-8,-5,-12,-8,-7,-13,-7
1529302853969433,2,1,-10,4,4,10,32,13
1529302853969433,-3,2,14,11,2,-1,-14,-18
1529302853977412,-6,-6,-23,-14,-7,-11,-26,-9
1529302853977412,13,12,18,5,0,18,55,28
1529302853992372,2,7,0,-2,-2,-5,-23,-5
1529302853992372,-5,-8,28,10,5,6,36,30
1529302854000352,1,7,-36,-9,2,1,-1,-13
1529302854000352,1,-9,-14,-19,-16,-15,-20,-1
1529302854023301,-10,-11,-6,-1,-6,-4,-15,-23
1529302854023301,-3,-7,-1,8,10,1,-12,-10
1529302854024300,6,10,20,13,5,2,-2,-1
1529302854024300,-4,-8,-18,-5,1,-2,3,2
1529302854037253,8,11,-3,0,-6,3,13,7
1529302854037253,0,5,-1,1,-7,-10,-22,-11
1529302854038250,-11,-20,4,-12,-10,-1,16,6
1529302854038250,-2,-2,-12,7,7,6,3,2
1529302854061189,-8,-3,11,-12,-6,-16,-36,-24
1529302854061189,-2,-1,-12,4,-3,3,13,11
1529302854062186,6,9,0,4,3,5,22,23
1529302854062186,-2,2,22,15,3,7,-3,-17
1529302854083145,-1,-3,-36,-16,3,-3,-2,4
1529302854083145,-5,-10,-25,-22,-6,-10,-20,-4
1529302854084128,7,9,13,3,-1,-1,-4,-6
1529302854084128,-14,-10,0,2,-2,-6,-13,-8
1529302854098090,-2,-1,10,11,2,2,-6,-22
1529302854098090,11,17,16,0,-4,1,18,23
1529302854098090,-5,-11,-17,-16,-6,-2,-8,-10
1529302854098090,-1,7,13,24,18,1,-12,-16
1529302854121056,-2,-10,40,5,8,7,21,31
1529302854121056,-7,-13,-49,-12,-4,-2,0,-8
1529302854122052,-6,-6,-31,-18,-7,-3,-2,-5
1529302854122052,4,11,5,19,9,3,-2,-4
1529302854143022,13,13,1,-8,-7,-4,9,17
1529302854143022,2,4,27,17,13,11,16,6
1529302854143968,-21,-24,11,-7,-9,-3,-2,-5
1529302854143968,-7,0,-6,-10,-7,-12,-21,-20
1529302854157929,0,-2,-15,9,5,7,16,21
1529302854157929,7,10,5,-13,-7,-2,-5,-10
1529302854158927,7,13,4,5,3,0,-2,-6
1529302854158927,-5,-11,14,5,3,7,10,2
1529302854180868,-2,-4,-23,-19,-16,-8,2,-2
1529302854180868,1,8,9,-13,0,0,-3,-1
1529302854181865,-3,-8,17,15,2,1,4,-6
1529302854181865,1,-3,-21,-8,-5,-5,-8,5
1529302854203807,4,4,-4,1,1,2,-4,2
1529302854203807,-10,-10,4,1,-7,-5,-3,1
1529302854203807,-3,10,22,27,-3,-5,-8,-13
1529302854203807,5,0,-11,-22,-1,4,15,25
1529302854217822,-5,-5,-19,-12,-8,-6,-18,-16
1529302854217822,9,5,18,-4,-9,-3,13,15
1529302854218813,-2,0,1,13,19,4,-3,-6
1529302854218813,-1,-4,-8,4,-4,-5,1,12
1529302854240710,-9,-11,3,7,-1,-4,-9,-17
1529302854240710,-1,-1,-11,-2,4,2,-8,0
1529302854241706,-2,2,5,-9,-10,-5,6,-5
1529302854241706,3,2,10,-3,-4,-2,-2,9
1529302854263683,-4,-2,-28,-12,4,1,0,-15
1529302854263683,-9,-11,3,2,-7,-6,-19,-12
1529302854264645,7,1,9,-7,4,7,15,18
1529302854264645,-1,0,2,10,3,0,-1,-1
1529302854277611,-12,-16,-4,8,2,-6,-23,-28
