timestamp,x,y,z
1529302853667244,-8.4375,-5.6875,6.875
1529302853683199,-7.3125,-4.9375,8.1875
1529302853705140,-6.1875,-3.9375,9.0625
1529302853727082,-0.8125,-1.25,10.0
1529302853742042,3.125,0.75,9.125
1529302853765977,13.1875,1.0625,9.8125
1529302853789914,19.4375,3.8125,11.1875
1529302853839780,26.9375,6.75,11.5
1529302853847758,42.1875,9.75,13.5
1529302853854739,44.625,8.0625,13.3125
1529302853899619,45.5,3.0625,8.4375
1529302853914581,35.875,-0.5625,0.0625
1529302853937519,13.8125,-4.8125,-7.75
1529302853960459,-7.25,-7.875,-13.25
1529302853974420,-16.5,-13.0,-17.375
1529302853997360,-14.625,-21.0625,-22.3125
1529302854019300,-23.25,-25.0625,-29.375
1529302854034260,-36.4375,-24.5,-32.0625
1529302854057202,-40.0,-29.0,-29.375
1529302854080137,-46.9375,-32.0,-24.875
1529302854095097,-48.25,-28.0625,-14.9375
1529302854118037,-42.4375,-23.5,-4.1875
1529302854125022,-13.5625,-20.5625,9.0
1529302854161929,-6.4375,-13.1875,23.125
1529302854199819,-18.3125,-12.125,43.1875
1529302854221812,-15.0,-10.4375,45.875
1529302854259693,-13.1875,-9.8125,41.875
1529302854281599,-10.6875,-9.5,40.1875
1529302854319500,-29.75,-8.125,45.875
1529302854349457,-39.0625,-5.6875,37.5
1529302854409257,-19.875,10.875,0.6875
