timestamp,x,y,z
1529292977234377,12.6875,8.1875,-3.125
1529292977266292,-7.5,6.625,-11.9375
1529292977279257,-7.125,2.75,-7.5
1529292977298206,2.0625,0.5625,-2.0
1529292977339097,4.4375,-1.0625,-1.1875
1529292977340095,-5.0625,-1.4375,-3.4375
1529292977355055,-7.375,-0.375,-4.0
1529292977376995,0.5,0.6875,-1.875
1529292977391956,9.75,2.625,-1.0
1529292977413897,12.0625,3.625,-2.375
1529292977436836,4.8125,1.25,-4.125
1529292977452794,-27.75,-12.9375,-2.3125
1529292977473737,-133.625,-36.25,6.5
1529292977503659,-274.188,-47.1875,16.125
1529292977512633,-350.18800000000005,-42.6875,14.8125
1529292977533578,-332.43800000000005,-24.1875,3.1875
1529292977556516,-228.813,-4.75,-36.5
1529292977572473,-91.25,0.3125,-90.75
1529292977593417,24.4375,14.3125,-126.18799999999999
1529292977616356,84.125,29.5,-149.938
1529292977632313,91.3125,33.5,-185.125
