timestamp,x,y,z
1528452640873548,17.625,88.25,89.25
1528452640897478,9.5,100.06299999999999,94.125
1528452640921418,3.125,103.68799999999999,104.375
1528452640935377,-2.875,109.56299999999999,111.125
1528452640957320,-12.625,126.18799999999999,115.875
1528452640980258,-14.4375,138.938,122.18799999999999
1528452641025138,5.125,152.5,134.25
1528452641034114,36.5625,173.75,137.063
1528452641035112,41.4375,188.938,127.06299999999999
1528452641056055,22.75,197.813,120.75
1528452641070064,6.5,201.938,123.5
1528452641091000,13.4375,202.313,122.25
1528452641114899,1.0,194.188,115.625
1528452641161772,-7.0625,171.813,112.5
1528452641161772,4.75,132.125,125.25
1528452641174783,42.0,88.5,141.438
1528452641189698,88.125,36.125,162.438
1528452641211639,135.5,-17.125,189.813
1528452641235575,154.75,-67.6875,228.563
1528452641256520,142.5,-116.31299999999999,256.938
1528452641273501,128.75,-135.0,262.25
1528452641296413,117.68799999999999,-131.688,243.875
1528452641317357,104.375,-125.375,219.375
1528452641333314,93.5625,-102.93799999999999,187.125
1528452641363234,59.1875,-72.375,148.563
1528452641377236,5.4375,-39.75,89.0
1528452641393154,-26.75,-5.4375,27.125
1528452641423074,-31.125,32.875,-26.4375
1528452641437073,-37.4375,70.25,-69.5
1528452641453014,-52.75,98.125,-100.375
1528452641475933,-62.75,119.56299999999999,-120.56299999999999
1528452641496877,-62.8125,140.25,-139.938
1528452641512834,-58.75,154.5,-151.5
1528452641535773,-45.625,161.25,-147.688
1528452641556717,-51.3125,153.063,-136.563
1528452641573674,-59.4375,135.75,-122.81299999999999
1528452641595631,-47.1875,111.375,-100.75
1528452641616557,-28.5,70.5625,-63.5
1528452641633564,-16.125,20.1875,-21.0
1528452641655455,6.6875,-28.75,23.0625
1528452641676408,25.9375,-75.0,65.0625
1528452641692461,35.0,-112.93799999999999,102.43799999999999
1528452641715295,42.25,-137.0,128.063
1528452641737233,50.3125,-144.938,137.0
1528452641752194,47.1875,-142.813,128.625
1528452641776129,53.6875,-128.125,115.81299999999999
1528452641797076,37.0625,-106.0,98.1875
1528452641813031,4.875,-75.625,69.5
1528452641835969,-0.125,-36.0625,29.3125
1528452641856914,-1.5625,5.9375,-12.875
1528452641872871,-13.125,43.625,-51.0625
1528452641895810,-32.125,73.9375,-82.1875
1528452641918754,-50.3125,100.31299999999999,-110.68799999999999
1528452641932712,-57.5,126.375,-134.813
1528452641955664,-65.3125,142.25,-148.5
1528452641978616,-68.25,145.25,-152.375
1528452641999534,-64.8125,138.75,-147.125
1528452642015492,-59.4375,123.0,-136.188
1528452642038429,-37.8125,96.1875,-110.625
1528452642059680,-6.875,59.75,-82.125
1528452642075681,16.75,25.25,-60.375
1528452642098162,41.0,-3.75,-37.4375
1528452642119092,51.0625,-31.625,-16.25
1528452642142624,44.375,-54.5625,-0.375
1528452642157314,23.5625,-73.6875,8.5625
1528452642180554,-7.3125,-91.5625,11.75
1528452642201501,-21.5,-105.43799999999999,4.9375
1528452642217459,-21.25,-115.375,-20.4375
1528452642241569,-18.875,-129.0,-48.1875
1528452642261341,-18.6875,-150.813,-72.9375
1528452642277561,-19.625,-168.625,-93.75
1528452642301591,-25.5625,-177.688,-116.625
1528452642329680,-32.375,-179.563,-142.625
1528452642338425,-37.3125,-181.438,-168.875
1528452642360924,-30.8125,-194.125,-190.813
1528452642383302,-31.0,-199.625,-203.688
1528452642397824,-8.6875,-202.938,-205.375
1528452642420345,-15.8125,-215.875,-206.125
1528452642443283,-55.0625,-222.75,-222.875
1528452642458407,-92.9375,-223.438,-239.438
1528452642480839,-118.31299999999999,-230.5,-256.938
1528452642503278,-116.31299999999999,-229.563,-274.125
1528452642525023,-81.125,-201.063,-273.188
1528452642540691,-25.875,-152.875,-246.438
1528452642563902,0.125,-119.31299999999999,-213.313
1528452642584837,-7.8125,-97.75,-166.938
1528452642600818,-30.3125,-86.25,-109.31299999999999
1528452642622758,-82.1875,-62.375,-59.375
1528452642644748,-81.5625,-35.0,-13.8125
1528452642660657,-91.0625,-6.3125,6.875
