timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529311306679932,1,2,19,10,12,12,3,-1
1529311306679932,-3,-4,-11,-7,4,-3,-2,-3
1529311306680929,-3,-3,-3,-7,-20,-13,-2,-4
1529311306680929,0,0,3,7,-11,-7,-6,-2
1529311306683923,0,1,4,2,15,8,-1,1
1529311306683923,2,2,9,0,-2,0,1,2
1529311306684918,-2,-2,-1,-4,6,8,2,0
1529311306684918,-4,-3,-7,-9,-11,-6,-1,-4
1529311306689905,0,-2,5,7,-2,-22,-3,-3
1529311306689905,-1,2,-2,9,11,24,5,1
1529311306697884,-2,2,5,0,5,0,-1,-1
1529311306697884,-1,0,-4,-8,-7,-3,-2,-2
1529311306704866,-1,-2,-9,-9,-2,1,-2,-2
1529311306704866,0,-1,0,-5,-16,-9,-5,-1
1529311306720822,1,-2,5,3,8,-2,0,0
1529311306720822,-2,-4,1,2,0,-1,-4,-1
1529311306727804,-1,-3,-16,-8,-22,-15,-2,-1
1529311306727804,-1,-1,-3,-5,-3,10,3,0
1529311306742763,1,3,5,8,17,11,2,1
1529311306742763,1,1,8,2,20,-9,-2,-1
1529311306751739,-4,-4,-3,0,-5,1,-2,-3
1529311306751739,1,2,-2,-3,-26,-16,1,-3
1529311306766955,-2,-5,-10,-2,-15,-1,-1,0
1529311306766955,2,-2,-2,2,30,20,6,1
1529311306773179,-2,2,22,3,13,4,-4,-2
1529311306773179,-3,-3,-16,1,-5,-18,-7,-4
1529311306789142,-1,0,-17,-7,-23,-8,-2,-2
1529311306789142,-2,-3,-6,-2,-16,1,6,0
1529311306790885,0,-1,3,-1,28,18,-1,-1
1529311306790885,-1,-3,10,4,16,-10,-4,-1
1529311306811838,-1,0,1,-12,-6,-5,-7,-2
1529311306811838,-1,-1,-5,1,-27,-7,8,2
1529311306812827,0,1,-2,-6,0,17,13,1
1529311306812827,-2,-3,6,-2,-3,-5,-7,-3
1529311306825791,-1,-3,-16,-2,16,2,2,-2
1529311306825791,-2,0,-4,-6,6,-2,-4,1
1529311306832773,-1,1,5,6,-34,-5,-1,0
1529311306832773,1,1,9,5,21,11,4,2
1529311306848730,-3,-3,-30,1,7,4,-1,-1
1529311306848730,-1,-4,-20,-15,-11,-8,-6,-2
1529311306850724,-1,1,2,-9,4,-5,-1,-2
1529311306850724,-2,-3,-12,-12,-11,-5,-2,-2
1529311306870710,-1,-3,26,15,-6,-8,-6,-3
1529311306870710,0,1,-4,-4,11,1,1,-1
1529311306871710,0,-5,-3,4,1,-15,-7,-2
1529311306871710,-2,0,-6,-3,-10,14,2,-1
1529311306884634,0,-1,3,-4,9,8,0,-1
1529311306884634,-1,-1,1,9,-13,-24,-7,-4
1529311306892612,0,-1,-2,-4,-11,4,4,2
1529311306892612,2,1,14,7,8,9,-3,1
1529311306908569,-2,0,-6,-6,17,0,-1,0
1529311306908569,1,0,7,13,-7,3,1,2
1529311306908569,0,0,-3,15,16,10,8,2
1529311306908569,-3,2,-5,-4,15,2,-5,-2
1529311306930512,-5,-2,-2,-17,-18,-2,2,-2
1529311306930512,-4,-3,6,-8,-8,-4,-8,-4
1529311306931508,-5,-4,-18,-10,-12,-15,-3,-3
1529311306931508,-1,-3,0,12,-11,-5,0,-3
1529311306945473,2,1,4,-11,-3,-3,-6,-1
1529311306945473,-2,-3,-5,-1,6,0,1,-1
1529311306952481,0,-3,-14,-6,-11,-5,-5,1
1529311306952481,-1,-3,-6,-9,-10,-3,-3,1
1529311306968451,2,1,8,23,1,-5,3,2
1529311306968451,3,5,33,23,29,26,10,4
1529311306969473,1,1,-10,-20,1,5,-7,-1
1529311306969473,-1,1,1,-5,18,3,-1,-3
1529311306990368,-3,-6,-11,-10,-13,-9,1,-4
1529311306990368,-1,-1,-9,-5,-10,-3,-4,-1
1529311306991350,-3,-5,5,6,-9,-11,-4,-3
1529311306991350,1,0,12,-3,-1,-7,0,0
1529311307005350,-1,-6,-43,4,-11,-1,-4,1
1529311307005350,-2,-1,-16,-4,3,5,-2,-3
1529311307012320,-1,0,1,-13,-1,-4,-2,-3
1529311307012320,0,0,9,6,-5,-7,-2,0
1529311307028251,1,5,32,8,7,5,3,-1
1529311307028251,2,0,-3,-5,-3,-5,-8,0
1529311307029249,-1,-1,-14,0,2,-9,3,-3
1529311307029249,-2,-1,0,5,1,7,7,1
1529311307051189,1,-1,16,0,-2,5,-4,0
1529311307051189,-1,-1,-18,4,20,7,1,-1
1529311307051189,-1,-3,20,13,-6,-5,-28,-2
1529311307051189,0,-2,-18,-25,-8,0,29,-4
1529311307073138,-2,0,6,-3,-6,-17,-8,0
1529311307073138,0,0,-9,-2,-1,12,15,0
1529311307074128,-1,0,-2,13,6,8,0,2
1529311307074128,-3,-3,-10,7,1,-2,-10,-1
1529311307088092,-1,-1,3,-29,-13,-1,-11,-1
1529311307088092,-1,0,18,16,-2,-18,-5,-4
1529311307089090,2,0,-15,-25,2,4,12,1
1529311307089090,3,4,24,16,3,3,-3,2
1529311307111030,-5,-5,-38,-9,-7,-2,0,-4
1529311307111030,0,-1,1,3,-5,-5,-14,0
1529311307111030,2,6,23,7,13,-7,4,3
1529311307111030,1,-10,-34,-15,-13,-7,-1,-3
1529311307125046,4,0,11,0,6,-9,-11,-1
1529311307125046,-1,-2,0,2,-8,8,2,-6
1529311307131973,-4,-2,-19,-11,-8,12,6,-2
1529311307131973,-1,3,16,0,-4,8,3,1
1529311307147939,0,-2,13,7,15,-4,-3,3
1529311307147939,0,-4,-32,-7,0,1,3,-1
1529311307148929,-4,-2,4,-2,-10,-24,-20,-9
1529311307148929,-5,2,3,3,-2,1,11,0
1529311307170868,4,-1,5,1,-3,-1,-2,0
1529311307170868,-6,1,18,-9,2,-7,2,-3
1529311307171865,5,4,4,3,-2,3,-2,9
1529311307171865,-1,-3,-34,-23,-3,-7,-11,-3
1529311307184831,-9,-2,11,20,1,2,1,-5
1529311307184831,-5,-7,-21,-21,-6,-3,-2,-1
1529311307192810,-2,2,39,14,-4,3,2,-5
1529311307192810,-2,-13,-51,-6,-2,-1,-8,-1
1529311307207770,2,3,-10,-4,0,-1,5,2
1529311307207770,-1,1,11,0,-10,-5,-9,-1
1529311307208780,-4,1,2,29,14,15,17,5
1529311307208780,17,6,14,-25,10,0,-7,-2
1529311307230708,-3,-3,14,3,-3,-4,-7,-5
1529311307230708,-1,-2,-8,-13,-4,6,1,0
1529311307231706,-4,-8,-34,-4,-13,-12,-18,-2
1529311307231706,-5,2,30,18,1,-15,3,2
1529311307244692,-2,0,-16,-5,2,19,17,-2
1529311307244692,-3,3,47,11,0,-5,-4,-2
1529311307252651,7,-8,-41,-16,-10,-4,3,0
1529311307252651,-7,-3,9,25,4,-2,-8,1
1529311307268608,-3,1,-1,-23,-3,-7,-6,-2
1529311307268608,2,-1,8,-7,-3,-3,1,4
1529311307268608,-2,2,-7,0,-10,1,7,-5
1529311307268608,1,3,21,13,13,6,-3,3
1529311307290548,-3,-6,-54,19,5,5,3,-3
1529311307290548,-3,-5,-18,-16,5,9,6,-2
1529311307291546,-2,2,4,-27,-10,-14,-11,-3
1529311307291546,1,-8,17,3,-11,-4,-1,0
1529311307305512,3,10,26,8,0,4,7,4
1529311307305512,-1,-8,8,2,16,5,1,-3
1529311307312511,-5,0,9,1,-2,-10,-6,-5
1529311307312511,-3,0,3,1,1,10,7,-3
1529311307328469,1,5,23,6,0,5,5,-3
1529311307328469,0,1,-8,-2,-12,-25,-20,-4
1529311307329449,2,-3,2,3,-3,9,22,-1
1529311307329449,-4,3,10,1,8,8,0,-3
1529311307350388,0,-4,-13,-11,-3,-4,-5,0
1529311307350388,2,3,-4,1,-7,-4,6,0
1529311307351387,-3,-6,4,18,12,8,-6,0
1529311307351387,-3,-5,-13,-24,-16,-14,-12,-5
1529311307365349,0,4,-3,-4,-6,-5,-2,1
1529311307365349,-1,-5,-1,2,2,6,2,3
1529311307372330,0,-1,11,-2,3,4,5,2
1529311307372330,0,3,13,-4,7,2,2,-1
1529311307388288,4,12,63,42,10,1,0,1
1529311307388288,-4,-5,-21,-15,-7,-3,-6,-5
1529311307389284,-3,-3,4,6,-5,-6,0,0
1529311307389284,-5,-7,-10,-10,-15,-2,2,-1
1529311307412225,1,-2,10,-2,13,3,-8,2
