timestamp,x,y,z
1528439617040151,-14.25,-1.375,5.625
1528439617055112,-11.75,0.0,5.4375
1528439617076055,-8.125,0.5,4.8125
1528439617100988,-5.875,1.4375,3.375
1528439617116946,-4.3125,2.25,2.0
1528439617135894,-2.75,2.8125,0.9375
1528439617174790,0.25,3.5625,-0.4375
1528439617180774,3.9375,4.1875,-2.0625
1528439617233634,7.5,4.0,-3.375
1528439617263581,8.9375,3.75,-4.3125
1528439617300455,5.625,2.4375,-6.4375
1528439617317410,3.6875,1.1875,-7.1875
1528439617353314,4.0,-1.3125,-8.6875
1528439617376252,4.125,-2.625,-8.3125
1528439617413153,0.9375,-3.375,-5.0625
1528439617436092,0.25,-2.8125,-3.375
1528439617473004,2.4375,-2.0,-1.0625
1528439617496963,4.0,-1.5,-0.6875
1528439617502946,6.375,0.0,-0.5
1528439617540840,8.5,1.25,-0.8125
1528439617555807,9.625,1.75,-0.5
1528439617578746,9.875,2.5,0.1875
1528439617593672,8.5,2.875,1.0625
1528439617608662,7.0,3.75,1.5625
1528439617630611,5.625,4.1875,2.25
1528439617653539,3.8125,4.1875,3.6875
1528439617668470,0.25,4.3125,5.5625
1528439617690424,-3.9375,4.9375,6.75
1528439617720333,-5.0625,6.0,6.8125
1528439617735341,-2.25,6.8125,6.3125
1528439617750252,1.8125,7.5625,5.125
1528439617773243,4.375,8.0,4.0
1528439617796158,3.6875,8.25,2.875
1528439617818071,2.8125,8.5,2.1875
1528439617833078,3.5625,8.25,1.75
1528439617848022,5.125,8.0625,1.5
1528439617885892,4.875,7.5625,1.1875
1528439617907858,2.75,6.6875,1.0625
1528439617930771,0.5625,5.0625,0.375
1528439617953713,2.0625,4.0,0.1875
1528439617968742,1.9375,3.0,1.0625
1528439617990611,-1.6875,2.375,1.25
1528439618013652,-4.0625,1.75,1.5625
1528439618027829,-4.125,1.625,1.625
1528439618051252,-2.0625,1.4375,1.1875
1528439618073175,-0.125,1.5625,1.25
1528439618110976,3.9375,2.75,1.4375
1528439618133241,6.4375,2.5625,0.5
1528439618178423,7.6875,0.875,-0.9375
1528439618201354,5.1875,0.4375,-2.3125
1528439618230747,2.5625,-0.4375,-3.0
1528439618253679,3.8125,-1.125,-3.75
1528439618290562,8.625,-1.5625,-3.5
1528439618313884,6.625,-2.375,-2.625
1528439618350814,-3.4375,-2.75,0.1875
1528439618373625,-4.8125,-3.125,1.0625
1528439618410892,-3.3125,-3.0625,2.8125
1528439618433655,-3.5625,-2.625,4.1875
1528439618470555,-5.8125,-0.375,7.75
1528439618508476,-5.6875,0.5,8.75
1528439618553361,-0.6875,1.8125,8.8125
1528439618591318,2.0,1.875,4.625
1528439618613354,5.1875,2.0625,2.3125
1528439618651352,8.625,1.375,0.1875
1528439618673252,5.625,0.25,-0.3125
1528439618718505,4.625,-1.5625,-1.1875
1528439618770769,3.8125,-4.375,-1.625
1528439618792964,1.5,-4.4375,-2.625
1528439618831398,6.9375,-3.375,-4.5
1528439618853339,6.25,-3.875,-5.375
1528439618891236,0.875,-5.875,-6.125
1528439618913177,-0.5625,-5.375,-7.0625
1528439618951079,-6.8125,-6.3125,-7.25
1528439618973372,-12.625,-6.25,-5.75
1528439619010629,-18.8125,-3.5,-1.375
1528439619033616,-19.0,-2.375,-0.25
1528439619078499,-13.8125,2.125,-0.0625
1528439619093407,-9.3125,4.5625,-0.75
1528439619130307,-6.25,6.875,-2.625
1528439619153255,-5.8125,7.3125,-3.6875
1528439619191145,-2.4375,7.3125,-5.4375
1528439619213087,-1.625,6.375,-5.75
1528439619250985,-5.5,3.5625,-3.875
1528439619272926,-7.8125,2.5625,-2.1875
1528439619310826,-10.3125,-0.1875,1.5625
1528439619332821,-11.6875,-1.375,2.875
1528439619371219,-14.75,-3.875,2.9375
1528439619393198,-15.8125,-5.125,2.625
1528439619431378,-16.9375,-5.6875,0.5
1528439619460554,-16.625,-5.5,-0.875
1528439619490704,-13.625,-5.25,-4.1875
1528439619505661,-11.6875,-4.625,-5.5625
