timestamp,x,y,z
1528882406236811,52.625,2.0,31.3125
1528882406257755,44.1875,17.0625,43.0
1528882406274709,51.4375,41.125,57.5625
1528882406296651,58.3125,67.0625,80.5
1528882406317649,65.1875,85.75,120.625
1528882406334602,-67.8125,124.56299999999999,165.875
1528882406356503,-135.438,117.5,160.938
1528882406377468,-118.93799999999999,133.313,186.313
1528882406394390,-63.0625,150.5,205.188
1528882406416369,-6.125,162.563,216.438
1528882406438273,39.375,176.5,225.875
1528882406454265,48.9375,192.688,233.375
1528882406477222,29.875,200.875,245.75
1528882406498503,-11.75,200.813,262.313
1528882406522009,-26.75,203.25,278.938
1528882406536166,-11.25,201.625,284.125
1528882406559240,-2.625,191.0,276.813
1528882406581848,9.1875,186.875,270.5
1528882406596140,25.5,189.0,267.188
1528882406619746,49.875,186.563,259.75
1528882406641688,38.5,165.75,238.75
1528882406670395,10.1875,148.5,215.125
1528882406680121,6.3125,136.813,199.25
1528882406702308,17.6875,124.0,183.938
1528882406730026,24.875,104.18799999999999,157.125
1528882406739197,28.9375,88.5,131.938
1528882406761894,26.5,74.25,120.31299999999999
1528882406783202,12.5,56.5,106.18799999999999
1528882406799102,0.0625,34.8125,79.875
1528882406821923,-16.75,21.125,53.25
1528882406843133,-14.5,12.6875,40.0625
1528882406859815,-6.25,0.5,23.625
1528882406881680,-9.875,0.8125,14.9375
1528882406910711,-5.1875,6.0625,12.625
1528882406920685,1.125,1.25,9.25
1528882406947851,6.75,-4.75,-4.5
1528882406963097,10.25,-14.0,-26.125
1528882406979809,-14.5625,-13.1875,-52.0
1528882407018243,-19.75,-32.25,-76.375
1528882407023226,-45.4375,-66.1875,-107.18799999999999
1528882407039985,-56.8125,-82.25,-125.625
1528882407061860,-65.1875,-88.9375,-152.563
1528882407083135,-65.4375,-68.125,-190.625
1528882407105182,-92.25,-52.3125,-218.625
1528882407122126,-111.18799999999999,-73.3125,-179.688
1528882407143331,-62.625,-80.75,-77.75
1528882407167272,67.8125,-27.6875,12.9375
1528882407182221,95.3125,30.375,57.0
1528882407203171,63.4375,48.5,87.0625
1528882407234107,23.1875,41.625,125.68799999999999
1528882407242086,38.4375,40.0625,143.813
1528882407263329,60.5625,50.8125,165.25
1528882407287607,79.75,68.625,168.063
1528882407301608,87.375,85.4375,159.438
1528882407322972,81.875,97.625,149.375
1528882407346978,67.9375,89.1875,139.125
1528882407361937,57.0,57.0625,129.563
1528882407383671,31.875,26.75,106.68799999999999
1528882407405666,13.25,1.0625,60.5
1528882407421583,7.875,-33.0625,9.9375
1528882407444511,-6.875,-66.1875,-46.5
1528882407458473,-52.0625,-93.4375,-113.0
1528882407481423,-92.625,-104.5,-136.5
1528882407504352,-119.0,-85.625,-146.063
1528882407533309,-144.563,-49.6875,-155.625
1528882407542270,-137.438,3.75,-171.313
1528882407564193,-80.4375,-2.1875,-182.25
1528882407593168,-127.18799999999999,-40.625,-162.313
1528882407602145,-82.25,-63.75,-106.0
1528882407624032,48.4375,-30.375,-37.5625
1528882407661983,88.25,13.4375,-19.0
1528882407664933,42.25,26.75,-8.0625
1528882407691850,-14.9375,12.125,21.75
1528882407722790,-30.4375,4.0625,41.1875
1528882407724804,-11.1875,3.6875,41.875
1528882407751740,12.8125,12.625,36.0
1528882407782608,24.3125,19.9375,35.8125
1528882407785600,32.6875,18.9375,31.75
1528882407811726,27.375,11.5,27.1875
1528882407842447,11.375,2.625,18.4375
1528882407845474,1.625,-3.625,6.125
1528882407864389,1.875,-9.375,-11.0
1528882407871371,11.5,-15.375,-30.9375
1528882407892569,12.25,-21.5,-47.0
1528882407908011,9.9375,-33.625,-57.4375
1528882407930350,6.8125,-49.25,-67.125
1528882407952201,12.3125,-61.625,-80.1875
1528882407970150,11.8125,-66.0,-98.6875
1528882407990528,17.5,-72.0,-118.81299999999999
1528882408012999,15.0,-86.0,-136.75
1528882408028733,8.75,-104.56299999999999,-151.375
1528882408057851,12.1875,-117.93799999999999,-165.0
1528882408072614,17.9375,-126.18799999999999,-175.188
1528882408090821,13.6875,-134.938,-186.0
1528882408117938,-8.5625,-145.563,-200.688
1528882408132176,-27.5,-145.0,-210.75
1528882408147538,-9.9375,-137.0,-213.5
1528882408170127,25.5625,-139.063,-215.188
1528882408192974,50.5,-154.625,-217.688
1528882408207036,32.25,-165.188,-221.188
1528882408230237,-4.25,-156.938,-218.375
1528882408252915,-13.5625,-142.5,-211.875
1528882408267933,-2.125,-136.5,-205.688
1528882408290392,-8.3125,-138.75,-206.313
1528882408307510,-33.5625,-140.0,-209.938
1528882408327321,-58.375,-134.813,-202.688
1528882408350057,-60.6875,-113.875,-181.438
1528882408368445,-54.5625,-93.875,-163.438
1528882408394343,-37.875,-76.9375,-146.0
1528882408410316,-28.1875,-66.9375,-121.68799999999999
1528882408427256,-28.125,-54.6875,-97.5
1528882408447199,-29.9375,-45.125,-76.8125
1528882408470388,-24.5625,-38.375,-63.3125
1528882408487621,-17.5,-30.4375,-56.6875
1528882408507310,-19.1875,-24.3125,-51.0625
