timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528444580967756,-2,-2,-1,0,-1,-1,-2,1
1528444580967756,0,-2,0,-1,-1,1,-1,-1
1528444580968705,-1,-2,0,-1,0,0,-2,-1
1528444580968705,1,-1,-1,-1,-2,0,-1,-2
1528444580990699,0,0,-1,-2,-1,-1,-1,-2
1528444580990699,-1,0,0,-2,-2,0,-1,-2
1528444580991639,-2,-2,-2,-1,-1,1,-1,0
1528444580991639,0,0,-2,1,1,-1,0,-2
1528444581013580,-2,-2,-2,-2,-2,-2,0,-1
1528444581013580,0,0,-3,-2,0,-1,-2,-1
1528444581014584,0,-1,-1,-1,-2,-2,0,-1
1528444581014584,-3,-1,-1,-2,-1,-3,-1,-1
1528444581027572,0,0,0,0,-1,0,0,-2
1528444581027572,-2,-2,-1,-2,0,0,-1,-2
1528444581028540,-1,-1,0,-2,-2,-1,-1,-1
1528444581028540,-1,-1,-1,0,-1,0,-1,-1
1528444581050517,-2,-2,-2,-1,-1,-1,-2,0
1528444581050517,-3,-1,-2,0,0,-1,0,-2
1528444581051480,-1,-1,-1,0,0,-2,-1,-1
1528444581051480,0,-1,-1,0,0,-1,-1,-2
1528444581073458,0,-2,-1,-1,-1,-2,-1,0
1528444581073458,0,-1,-2,-1,-2,-1,-1,0
1528444581074418,-1,-2,0,0,-1,-1,-2,-1
1528444581074418,-1,-1,0,-1,1,-3,-2,-1
1528444581087382,-1,-1,-1,0,0,-2,-1,-2
1528444581087382,-1,-1,-1,-2,-1,-1,-4,0
1528444581088383,0,0,-2,-1,-1,1,-1,-2
1528444581088383,-1,-1,0,0,-1,0,-1,-1
1528444581111318,-1,-1,-1,-2,0,-1,-2,-2
1528444581111318,-1,-1,0,0,-1,-2,0,0
1528444581111318,0,-1,-3,-1,-1,0,-1,0
1528444581111318,-1,-2,-1,-2,-2,-2,-1,-1
1528444581133261,-2,0,-1,0,-1,-2,-2,-1
1528444581133261,0,0,-1,0,-1,0,1,0
1528444581134261,-1,-2,-2,-3,0,-1,-1,-1
1528444581134261,-2,1,-1,-1,-1,-2,-1,-1
1528444581147223,0,0,-1,-1,0,-2,-1,-1
1528444581147223,0,-1,0,-1,0,-2,-2,-2
1528444581148220,0,-2,-2,-1,0,-2,0,-1
1528444581148220,-1,-1,-2,-1,-2,-1,-2,-1
1528444581171159,-2,-1,-1,-1,0,0,0,-2
1528444581171159,-1,0,-1,-2,0,-1,-1,-2
1528444581172156,-2,1,-2,1,-1,-1,0,-1
1528444581172156,1,-3,-1,-2,0,-2,0,-1
1528444581193147,-2,-2,-2,-1,-2,-1,-1,-1
1528444581193147,1,-1,-2,-1,0,-2,-2,-2
1528444581194098,-2,-1,0,-1,-1,-2,-2,-2
1528444581194098,-2,-1,0,0,-2,0,-1,-1
1528444581207102,0,-2,-1,0,-2,-1,-1,-2
1528444581207102,-1,-2,-2,0,-3,-2,0,0
1528444581215043,0,0,0,-1,0,-1,-1,-2
1528444581215043,1,-2,0,-2,1,0,-1,0
1528444581231026,1,-1,0,0,-2,-2,-2,-1
1528444581231026,-1,-1,-3,-1,-2,-1,0,-1
1528444581232020,-2,-2,-1,0,-2,-2,-2,0
1528444581232020,-2,-1,-1,-2,-2,-1,-3,-1
1528444581252967,-2,0,-2,0,-2,-2,-1,0
1528444581252967,-1,0,0,-1,-3,-2,0,-2
1528444581254936,-1,0,0,1,-1,0,-2,-1
1528444581254936,-1,-1,-1,-1,-2,-2,-2,-1
1528444581266902,-1,0,-1,-3,1,0,0,0
1528444581266902,0,-2,0,-1,-1,0,-2,-2
1528444581275879,-1,-2,-1,-2,-2,-1,-1,-1
1528444581275879,-2,-1,-1,0,0,-1,0,-2
