timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528189527569095,0,-1,-1,-3,-1,0,-1,0
1528189527569095,0,-2,-1,-2,-1,0,-1,-2
1528189527572086,-1,-2,-1,-1,-1,0,-1,0
1528189527572086,-2,-1,0,-1,-1,0,0,-2
1528189527589040,-1,0,0,0,-2,-2,-1,0
1528189527589040,-1,0,1,-1,0,1,-2,0
1528189527602006,-1,-2,-1,0,-1,-2,-2,-1
1528189527602006,0,-1,-4,-3,-3,-2,-2,-1
1528189527611979,-1,-1,-1,-1,0,-1,-1,-1
1528189527611979,-1,0,-1,-1,-2,-1,-1,0
1528189527656859,-2,-1,-1,1,-1,-1,-1,-1
1528189527656859,-1,0,0,-1,-1,0,0,-1
1528189527656859,0,-1,-1,0,-1,-1,-1,0
1528189527656859,-1,-1,0,-1,0,-1,-1,-2
1528189527657856,-1,-2,-1,-2,0,0,1,-1
1528189527657856,-2,-2,-2,-1,-2,-1,0,-2
1528189527658854,-1,-1,1,-1,-2,-1,-1,1
1528189527658854,-1,-2,0,0,-2,-2,-2,-2
1528189527661846,0,0,-1,-1,-2,-2,-2,0
1528189527661846,-1,0,-2,-1,0,0,-1,0
1528189527670822,-1,-1,-2,-2,0,-1,-1,-1
1528189527670822,-1,-2,-3,-1,-2,1,-2,0
1528189527676807,-1,0,-1,-1,-1,-2,-3,0
1528189527676807,-1,0,0,-2,0,-1,-1,-2
1528189527691766,-1,-1,0,0,0,0,-1,-2
1528189527691766,-2,1,-2,0,0,-3,-1,0
1528189527699744,0,-2,-2,-3,-1,0,0,-2
1528189527699744,0,-1,0,0,-2,-1,-2,-1
1528189527723693,-2,-1,-1,-1,-1,-2,-1,-2
1528189527723693,-1,-1,-1,-1,0,0,-1,-1
1528189527723693,-3,0,0,-1,-1,-1,-2,-1
1528189527723693,0,0,-2,-1,0,-1,-2,-1
1528189527737644,0,-1,-1,-2,-1,0,-1,-1
1528189527737644,0,-1,-1,-1,0,-1,-1,-1
1528189527745622,-2,-1,-1,0,0,1,0,-1
1528189527745622,-2,-1,-1,0,-1,-2,-1,-2
1528189527760582,0,-1,-2,0,-1,-1,0,-1
1528189527760582,0,-1,-2,0,-1,1,-1,1
1528189527760582,-1,-1,-1,-1,-3,0,-1,0
1528189527760582,-1,-1,0,-1,-1,-1,-1,0
1528189527774544,0,-1,-2,-1,-3,-1,-1,-1
1528189527774544,-2,-2,0,-1,-1,-3,-1,-1
1528189527782523,-1,-1,0,0,-1,-1,-1,-1
1528189527782523,-3,-1,-2,-1,0,-2,0,0
1528189527797483,0,-1,-2,-1,0,-1,-2,-1
1528189527797483,-1,-2,-2,-2,-2,0,0,-1
1528189527798491,-3,0,0,-1,-3,0,-1,-2
1528189527798491,-2,-2,-1,-1,-1,0,-2,0
1528189527820422,-1,-1,-3,0,-1,0,0,-1
1528189527820422,-1,-1,0,-2,-2,-1,0,-1
1528189527820422,-1,-1,-2,0,0,-1,-2,-2
1528189527820422,-1,0,-1,-1,-3,0,-1,-2
1528189527843361,-2,-1,-1,-3,-2,0,0,1
1528189527843361,0,0,-1,-2,0,-2,-1,-2
1528189527844358,-1,0,-2,-2,1,-3,0,0
1528189527844358,1,-1,-2,0,-2,-1,-1,-1
1528189527857324,-1,-1,-1,-1,-1,-2,-2,-3
1528189527857324,-2,0,-2,-1,-2,-1,-2,-1
