timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528270365729832,1,1,0,1,-16,-5,1,1
1528270365729832,-2,-1,-3,1,12,9,2,-1
1528270365730830,-2,0,-1,2,7,3,1,-1
1528270365730830,-1,1,-3,-3,7,-2,-2,-1
1528270365744792,-3,-2,-1,-8,-5,-2,-3,-3
1528270365744792,0,-1,3,3,-15,-8,0,1
1528270365745790,-1,-4,-5,5,18,10,1,1
1528270365745790,1,-2,0,5,16,7,0,-2
1528270365767731,-5,-6,-9,-12,-5,-53,-23,-8
1528270365767731,0,2,-3,-12,-29,18,4,-4
1528270365768728,1,4,7,10,-26,-24,3,2
1528270365768728,2,2,3,3,22,19,7,5
1528270365789672,-1,-1,-1,-3,62,50,12,2
1528270365789672,-2,-2,2,11,-1,-12,-8,-4
1528270365790670,-2,1,-3,-8,-4,-24,-10,-5
1528270365790670,-3,-3,7,28,-25,3,1,-2
1528270365804633,1,3,12,7,10,-5,0,0
1528270365804633,-2,-4,-29,-29,27,-11,-4,-3
1528270365805635,-4,-3,-1,-18,-35,30,1,-3
1528270365805635,-2,2,-2,-2,-7,-8,-7,-2
1528270365827571,3,1,-1,14,9,31,12,5
1528270365827571,-1,-2,4,-10,1,-7,-5,-2
1528270365835550,-3,-4,1,8,-28,-47,-9,-6
1528270365835550,-2,-3,1,33,-17,-23,-3,-2
1528270365850538,2,2,-3,-32,27,37,2,1
1528270365850538,-1,-3,7,19,9,17,12,3
1528270365850538,1,0,-19,-55,-5,7,-20,-2
1528270365850538,-3,-3,6,-4,-24,-13,7,0
1528270365872451,-2,0,-6,-11,-35,-43,0,0
1528270365872451,-1,-8,-7,13,5,-2,-4,2
1528270365873449,-1,2,12,20,-7,5,-15,-4
1528270365873449,-1,0,3,-9,22,7,29,-3
1528270365887411,-1,-6,-10,30,28,10,2,-1
1528270365887411,0,3,-4,-30,-12,-7,-2,-2
1528270365888409,-1,-2,-2,9,18,14,-4,-3
1528270365888409,0,-7,-11,2,-1,-10,-15,1
1528270365910350,-2,-8,-1,-46,-55,-25,-9,-4
1528270365910350,-4,-4,13,31,4,-14,5,-2
1528270365911347,-1,-3,-8,8,11,19,16,2
1528270365911347,3,-1,-4,-14,9,-12,-23,-4
1528270365925311,-1,4,18,32,-5,-3,10,0
1528270365925311,0,0,4,66,4,23,-7,1
1528270365926309,1,0,2,-73,24,15,5,1
1528270365926309,-3,-1,0,12,17,6,-6,-4
1528270365956227,3,1,-1,20,-7,-13,-9,0
1528270365956227,-3,-1,-9,-80,-24,-6,-9,-4
1528270365956227,-2,2,-5,28,22,1,23,2
1528270365956227,1,2,-2,4,-38,-20,-12,0
1528270365962211,-2,1,-6,-53,-24,-18,-14,-6
1528270365962211,-1,1,5,9,2,7,8,1
1528270365969203,2,2,9,35,-1,-5,2,0
1528270365969203,-2,0,-5,-6,12,15,5,0
1528270365985150,-4,-3,-7,16,4,12,1,-1
1528270365985150,3,2,5,-24,7,0,-7,-3
1528270365986147,0,-6,-21,7,-6,-6,-3,-2
1528270365986147,1,0,-9,-21,8,7,-7,3
1528270366008089,-8,-4,25,-36,-17,-6,0,-5
1528270366008089,1,1,4,10,-16,-12,-4,0
1528270366008089,-3,0,24,33,2,0,9,0
1528270366008089,15,3,9,9,15,11,11,3
1528270366046984,-19,-3,-7,36,8,4,-3,3
1528270366046984,-4,-2,-6,-2,-1,0,-6,-5
1528270366047983,-3,-2,-1,-58,-13,-12,6,1
1528270366047983,2,0,4,-30,-4,-1,-10,-1
1528270366049995,4,1,6,5,0,-1,9,-2
1528270366049995,3,10,26,43,6,1,-2,2
1528270366051971,0,6,-38,2,-1,1,-7,0
1528270366051971,-11,-22,11,-46,10,-6,4,-7
1528270366067936,11,9,-9,-23,-25,2,-8,-2
1528270366067936,4,14,10,64,12,-2,4,1
1528270366067936,0,2,-3,-37,-7,1,4,-4
1528270366067936,-5,4,-28,10,14,8,3,0
1528270366081892,0,-2,-22,11,-5,-4,-3,2
1528270366081892,-2,-13,-6,-13,0,-4,-6,-1
1528270366089897,1,9,23,8,-9,-5,-14,-3
1528270366089897,-5,-5,1,-14,-9,-4,2,-3
1528270366104874,1,-8,6,19,20,8,14,5
1528270366104874,1,2,-14,-13,1,2,0,-2
1528270366105827,-5,-13,-3,-2,-10,-8,-8,-2
1528270366105827,-5,-4,-2,21,4,-2,2,-1
1528270366127784,2,-6,2,7,-1,3,-6,0
1528270366127784,-9,-10,4,-30,-21,-14,-2,-4
1528270366128766,0,6,9,17,32,11,-3,-2
1528270366128766,0,2,-20,0,-4,1,-2,-1
