timestamp,x,y,z
1529311596878613,3.25,0.9375,-1.25
1529311596894571,4.875,1.25,-2.1875
1529311596915513,6.375,1.875,-3.5
1529311596940446,7.4375,1.375,-4.4375
1529311596955405,6.5625,0.75,-4.3125
1529311596975391,3.9375,0.1875,-3.0
1529311597000288,0.5625,-0.25,-1.125
1529311597029210,-2.1875,-0.3125,0.4375
1529311597035194,-4.3125,-0.4375,1.125
1529311597088099,-6.5,-0.0625,0.9375
1529311597109992,-7.6875,0.875,0.375
1529311597154887,-4.5625,1.375,-0.6875
1529311597171829,-0.8125,1.75,-1.3125
1529311597207732,2.5,1.25,-0.9375
1529311597229891,3.0625,1.0,-0.1875
1529311597274719,4.5,0.1875,1.875
1529311597297676,3.875,0.0,2.5
1529311597327596,1.625,-0.0625,1.875
1529311597349541,0.4375,0.1875,0.75
1529311597364497,-0.0625,1.0,-0.8125
1529311597379457,1.0625,1.5,-2.0625
1529311597432316,2.625,1.4375,-3.1875
1529311597470259,1.5625,0.25,-0.3125
1529311597485191,-0.25,-0.375,0.8125
1529311597507133,-3.125,-0.5,1.8125
1529311597522133,-5.625,-0.0625,2.25
1529311597545031,-6.375,0.1875,1.875
1529311597567007,-7.125,0.4375,0.9375
1529311597581932,-7.625,0.125,0.3125
1529311597604871,-7.3125,-0.1875,0.3125
1529311597627845,-5.875,0.1875,0.3125
1529311597642769,-3.8125,0.6875,-0.1875
1529311597664711,-0.6875,1.5625,-0.75
1529311597694630,1.6875,2.75,-1.3125
1529311597709643,4.4375,2.3125,-1.5
1529311597732530,6.4375,1.0,-0.875
1529311597747519,6.3125,-0.4375,0.875
1529311597762592,4.5,-1.5,2.75
1529311597785437,1.1875,-2.0,4.0625
1529311597807380,-2.9375,-1.1875,3.6875
1529311597822555,-5.125,0.0,1.4375
1529311597844546,-5.625,0.8125,-1.5
1529311597867577,-5.375,1.25,-3.1875
1529311597882392,-3.875,1.625,-3.6875
1529311597912314,-2.625,1.3125,-3.0
1529311597935250,-3.1875,0.875,-1.0625
1529311597950255,-4.25,0.5,1.1875
1529311597965226,-3.3125,0.5,2.0
1529311597995109,1.75,0.1875,1.125
1529311598010106,7.8125,0.375,-0.625
1529311598032047,11.875,0.5625,-2.1875
1529311598046953,14.25,0.4375,-2.9375
1529311598062910,14.25,0.1875,-1.8125
1529311598084906,10.5625,0.125,0.0625
1529311598107790,6.5,-0.625,1.625
1529311598122801,2.625,-0.75,2.0
1529311598144689,-1.0625,-0.125,1.25
1529311598167688,-3.8125,0.625,-0.6875
1529311598182641,-6.5,0.5625,-2.25
1529311598204531,-7.8125,0.3125,-2.75
1529311598227472,-7.9375,0.0625,-2.0625
1529311598242430,-8.5625,0.0625,-0.25
1529311598265444,-9.375,-0.3125,2.4375
1529311598287465,-10.625,-0.25,3.8125
1529311598302425,-9.3125,-0.1875,2.9375
1529311598325366,-4.125,0.25,0.4375
1529311598347149,0.75,1.0,-2.25
1529311598362659,4.0,1.0,-3.9375
1529311598384799,6.9375,0.25,-3.875
1529311598407581,6.9375,-0.1875,-2.4375
1529311598422703,6.5,-0.625,0.125
1529311598445524,4.375,-0.75,1.6875
1529311598467455,0.5625,-0.375,1.75
1529311598482539,-0.1875,-0.3125,0.5
1529311598505476,0.4375,-0.0625,-1.125
1529311598527442,-0.1875,0.0,-1.6875
1529311598542548,-1.125,0.25,-1.5625
1529311598565482,-2.0625,0.375,-0.875
1529311598587460,-3.125,0.25,0.0
1529311598602425,-1.9375,-0.1875,0.9375
1529311598625358,0.25,-0.75,1.1875
1529311598647295,2.4375,-1.125,0.8125
1529311598662575,4.4375,-1.0625,-0.375
1529311598684734,5.8125,-1.0,-1.125
1529311598707511,5.8125,-0.75,-1.375
1529311598722474,4.875,-0.3125,-1.1875
1529311598752434,3.875,0.0625,-1.0625
1529311598775400,3.375,0.25,-1.1875
1529311598789557,3.5,0.1875,-1.25
1529311598815321,4.3125,-0.0625,-1.25
1529311598834518,5.75,-0.1875,-1.375
1529311598850512,6.3125,-0.5625,-0.875
1529311598872422,5.5,-0.5,-0.125
1529311598894752,4.125,-0.375,0.5625
1529311598909847,2.5,-0.25,0.5625
1529311598924675,1.1875,-0.1875,0.5625
1529311598947838,0.25,-0.25,0.5
1529311598970036,-0.25,-0.625,0.4375
1529311598985440,-0.4375,-0.6875,0.6875
1529311599007384,-0.625,-0.875,0.875
1529311599030507,-1.9375,-0.75,1.0625
1529311599045468,-3.0,-0.5625,1.0625
1529311599067554,-2.8125,-0.625,1.125
1529311599090352,-1.125,-0.8125,0.875
1529311599105350,0.625,-0.9375,0.875
1529311599127251,1.875,-1.1875,0.625
1529311599150345,1.8125,-1.25,0.875
1529311599165530,1.125,-1.375,1.3125
1529311599187791,1.125,-1.6875,1.8125
1529311599210573,0.25,-1.9375,2.125
1529311599224537,-2.0,-2.0,1.8125
