timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528447881859128,-1,-3,-5,-7,-17,-12,-6,-3
1528447881859128,-3,-2,-3,-3,4,2,0,-2
1528447881860127,-3,-2,-2,-2,-9,-1,-1,-1
1528447881860127,-2,-2,-1,-2,6,1,0,0
1528447881863117,0,1,3,6,2,7,4,4
1528447881863117,-1,-3,1,9,24,29,9,2
1528447881865113,1,-1,2,8,23,4,0,-1
1528447881865113,0,3,-1,-6,-13,-10,-6,-4
1528447881869103,-1,-5,-3,-3,-5,-8,0,1
1528447881869103,-4,-2,-10,-31,-56,-53,-21,-6
1528447881878077,-4,-7,-10,-30,-46,-26,-12,-7
1528447881878077,0,-2,3,25,29,27,12,1
1528447881892059,2,0,7,29,30,29,11,6
1528447881892059,7,9,13,31,64,38,15,8
1528447881901015,3,4,4,6,46,34,4,3
1528447881901015,-10,-6,-11,-24,-30,-28,-11,-5
1528447881907005,-4,-2,-7,-30,-45,-34,-13,-6
1528447881907005,-5,-6,-5,-8,-47,-27,-6,-4
1528447881929938,6,-3,-3,11,26,2,-3,-2
1528447881929938,-3,-5,-3,1,2,-3,-2,-2
1528447881930936,-6,0,-1,-12,-29,-4,-6,-7
1528447881930936,-3,0,-4,-27,-38,-58,-16,-4
1528447881952877,1,4,3,-1,3,24,11,3
1528447881952877,8,0,-2,25,15,23,9,8
1528447881952877,7,4,8,26,74,56,32,11
1528447881952877,0,-1,-1,-8,-14,6,-2,-5
1528447881967841,-3,-1,3,24,34,-1,-5,-7
1528447881967841,2,0,2,-18,-36,-22,-6,-2
1528447881967841,-5,-3,-11,-35,-74,-65,-27,-11
1528447881967841,-8,-8,-7,-4,14,-3,-7,-5
1528447881990776,-7,-6,-6,-9,-2,20,7,1
1528447881990776,6,9,0,12,8,11,9,5
1528447881991773,14,19,28,44,63,40,13,9
1528447881991773,-3,-8,-5,3,50,36,5,0
1528447882012717,-9,0,-13,-51,-124,-74,-26,-8
1528447882012717,6,1,7,31,43,5,2,-1
1528447882012717,-3,1,13,12,8,20,8,1
1528447882012717,9,1,8,44,69,52,22,10
1528447882027678,0,2,-6,-13,-7,-22,-6,-3
1528447882027678,2,-11,-13,-36,-52,-30,-14,-5
1528447882027678,-12,-4,-12,-16,-15,-26,-4,-2
1528447882027678,-4,8,5,-7,-15,2,-1,0
1528447882051613,-3,-26,-14,7,18,18,9,4
1528447882051613,1,19,15,-7,-4,-2,-5,-1
1528447882052610,-6,-5,-5,-17,-21,-18,-16,-9
1528447882052610,-4,-2,-4,-3,-18,-18,-5,-2
1528447882072557,1,10,19,35,27,17,8,2
1528447882072557,-9,-13,-10,-7,-2,-7,-3,-4
1528447882073555,0,1,-5,-6,-4,4,-1,-4
1528447882073555,5,2,5,3,-2,7,3,0
1528447882087517,3,0,3,7,-2,-8,-4,1
1528447882087517,9,10,13,19,32,35,13,6
1528447882088515,-10,-7,-2,-2,12,-5,-5,-1
1528447882088515,4,1,-11,-13,-30,-16,-9,-7
1528447882109459,-16,-11,-6,-11,-4,-12,-4,-8
1528447882109459,-4,-1,-1,-15,-15,-13,-8,-8
1528447882110471,4,-7,-5,-1,-3,2,5,0
1528447882110471,2,3,4,1,-1,-3,-1,3
1528447882132397,3,4,6,-1,8,8,1,5
1528447882132397,-4,-5,-10,-12,-6,-6,-2,4
1528447882133395,-1,-8,-11,-6,-1,-5,-3,1
1528447882133395,-2,4,13,14,9,6,1,2
1528447882148355,4,2,-5,0,-1,1,1,-2
1528447882148355,-10,-13,-6,-4,-9,-5,-2,-6
1528447882149355,-1,-14,-10,5,4,-3,-7,-8
1528447882149355,2,19,16,4,-7,-7,-5,-4
1528447882170296,6,7,0,0,-8,-1,3,2
1528447882170296,-6,-8,-5,4,5,-1,-3,-3
1528447882170296,-6,3,5,5,3,0,1,-4
1528447882170296,-5,-14,-11,-7,-12,-4,-2,-1
1528447882192237,2,4,-6,-5,-4,-4,-2,-1
1528447882192237,1,-1,1,3,9,3,-1,1
1528447882193236,2,1,-1,-2,-1,2,0,0
1528447882193236,-10,-6,-3,-4,-7,-4,-1,-2
1528447882207197,11,1,3,4,3,0,0,0
1528447882207197,-10,1,-1,-5,-3,-1,0,0
1528447882208195,5,2,-2,-2,-2,-4,-4,-2
1528447882208195,-3,-3,-6,-5,-2,2,4,0
1528447882230135,-3,5,4,1,1,-2,-5,-2
1528447882230135,8,-9,-4,-1,-3,-2,-2,-4
1528447882231134,-24,-14,-7,-3,0,0,-1,-7
1528447882231134,17,13,1,-2,-3,-3,-2,6
1528447882252077,7,12,8,3,1,-1,-6,-6
1528447882252077,-16,-17,-10,-5,-6,-8,-19,-5
