timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528875450953589,3,12,29,28,6,12,2,3
1528875450953589,-5,-13,-32,-14,2,-11,-3,-3
1528875450955584,-4,-3,-20,-15,-5,-10,-3,-3
1528875450955584,-2,-2,2,16,0,-1,-2,-3
1528875450963562,-2,1,-3,-19,-6,-3,1,3
1528875450963562,0,-3,-4,11,7,7,1,-1
1528875450973538,0,4,5,-6,6,1,3,0
1528875450973538,-3,-1,7,5,-5,-1,0,-1
1528875450986502,2,1,-8,-1,2,1,0,-1
1528875450986502,6,6,18,-3,-9,-1,2,5
1528875450994479,-2,5,20,17,14,11,2,0
1528875450994479,5,2,-31,-15,0,-7,-1,3
1528875451004453,-2,-8,19,7,-6,-9,-3,0
1528875451004453,-8,-8,-18,-4,3,-2,-1,-5
1528875451015423,6,5,3,1,-11,-3,0,4
1528875451015423,0,-4,-7,1,2,6,-2,2
1528875451023402,2,20,23,14,3,-2,-2,-1
1528875451023402,1,-6,-15,-5,4,1,-1,0
1528875451071274,3,2,21,20,5,3,5,3
1528875451071274,-1,-2,-14,-8,0,-1,1,-3
1528875451072271,1,6,40,24,4,0,-1,-2
1528875451072271,-2,-8,-25,-14,2,0,0,0
1528875451073280,1,-1,-1,1,0,0,-3,-3
1528875451073280,2,5,15,12,3,1,0,1
1528875451075264,-4,-14,-43,-15,0,-2,0,1
1528875451075264,4,13,17,7,-5,-4,-2,-3
1528875451083242,-4,-4,2,-11,-2,-1,-4,-3
1528875451083242,4,13,41,23,2,-2,-1,1
1528875451092218,-3,-3,-2,-8,-1,-1,0,-1
1528875451092218,-3,-11,-21,-6,2,7,-1,-4
1528875451098210,2,13,17,4,2,-1,0,-3
1528875451098210,-2,-4,-7,-6,-5,-13,-6,-3
1528875451114160,2,-5,3,-18,0,-1,-1,-1
1528875451114160,-3,1,1,2,-3,-1,2,-2
1528875451120144,-4,-6,-11,-6,-2,0,-1,0
1528875451120144,-4,-8,-30,-29,-5,2,2,-3
1528875451129119,-3,-3,-15,15,2,-3,-1,-4
1528875451129119,1,-2,7,5,5,2,1,1
1528875451144094,10,22,38,3,-4,2,2,5
1528875451144094,-2,-1,1,5,2,0,-1,0
