timestamp,x,y,z
1528185631337440,2.875,0.8125,-0.6875
1528185631352453,3.6875,0.375,-0.8125
1528185631408250,3.8125,0.0,0.0
1528185631410246,1.9375,-0.5625,1.125
1528185631415231,-0.875,-0.75,2.6875
1528185631436176,-4.6875,-0.375,4.1875
1528185631458117,-8.25,0.4375,5.375
1528185631482105,-9.8125,1.3125,6.3125
1528185631519954,-9.6875,2.0625,6.375
1528185631520951,-8.8125,2.3125,6.375
1528185631533941,-8.875,2.5,5.625
1528185631554859,-9.8125,3.125,5.0
1528185631576801,-8.5625,3.3125,3.6875
1528185631599740,-4.5625,3.25,1.75
1528185631614700,-0.125,2.25,-0.9375
1528185631637638,2.8125,1.0625,-2.9375
1528185631654593,2.0,-0.625,-4.375
1528185631674539,-0.5625,-2.3125,-5.5
1528185631697516,-3.125,-2.9375,-6.25
1528185631715429,-2.875,-3.0,-8.0625
1528185631734383,1.375,-3.125,-9.75
1528185631757318,7.9375,-3.5,-11.6875
1528185631775271,13.8125,-4.375,-13.4375
1528185631794219,16.4375,-5.3125,-14.5
1528185631825152,15.3125,-5.0625,-14.75
1528185631835110,14.4375,-4.375,-14.1875
1528185631856055,15.5625,-3.25,-12.875
1528185631876999,19.3125,-2.125,-10.875
1528185631894949,23.6875,-0.375,-8.0
1528185631915893,25.25,1.875,-4.8125
1528185631936838,23.5,3.8125,-0.4375
1528185631954792,19.0,5.6875,4.5625
1528185631975746,15.4375,7.5625,8.5625
1528185631997675,13.8125,8.4375,10.75
1528185632022620,13.5,8.9375,11.0625
1528185632043553,14.5,8.5625,10.5
1528185632057515,14.1875,7.5625,10.375
1528185632079457,10.875,7.3125,11.875
1528185632096411,5.5,7.125,12.5625
1528185632117356,2.3125,7.0,11.0625
1528185632135308,3.125,6.6875,9.5625
1528185632156251,5.5,6.0625,8.1875
1528185632184230,4.0,5.125,8.125
1528185632201134,1.625,4.4375,7.625
1528185632216108,-0.625,3.75,6.875
1528185632237062,-2.4375,3.0625,5.5
1528185632254988,-4.5625,2.375,4.125
1528185632275931,-6.6875,1.0625,2.875
1528185632296928,-8.375,-0.3125,1.8125
1528185632322806,-9.0625,-1.3125,-0.125
1528185632337766,-8.75,-2.4375,-1.8125
1528185632357714,-9.625,-3.0625,-2.4375
1528185632381736,-10.0,-2.875,-2.9375
1528185632396655,-10.0625,-2.875,-3.25
1528185632426096,-9.9375,-2.875,-3.3125
1528185632435123,-9.375,-2.75,-3.1875
1528185632463212,-9.3125,-2.625,-3.0
1528185632477927,-9.375,-2.625,-2.75
1528185632500173,-9.1875,-2.75,-2.75
1528185632516821,-8.875,-2.9375,-3.0625
1528185632545743,-8.5,-3.125,-3.0625
1528185632561018,-8.4375,-3.125,-2.8125
1528185632576122,-8.1875,-3.0625,-2.5625
1528185632599656,-7.0625,-2.5625,-2.5
1528185632621717,-5.6875,-1.9375,-2.5
1528185632636747,-3.5625,-1.1875,-2.375
1528185632659439,-1.0625,-0.5625,-1.9375
1528185632681149,1.0,-0.25,-1.5
1528185632697067,2.0625,0.0625,-1.25
1528185632719304,2.6875,0.25,-0.875
1528185632740950,2.625,0.625,-0.125
1528185632756166,1.8125,0.8125,0.625
1528185632793712,1.9375,1.25,1.375
1528185632801664,2.75,1.6875,1.625
1528185632824588,2.8125,1.8125,1.4375
1528185632839769,2.625,1.9375,1.6875
1528185632861859,1.125,1.6875,2.0
1528185632875975,-0.1875,1.6875,2.625
1528185632906378,-1.3125,1.75,3.0
1528185632922532,-2.5,2.1875,3.1875
1528185632943537,-3.5,2.6875,2.5625
1528185632965721,-3.3125,2.5625,2.3125
1528185632987933,-4.0,2.125,2.1875
1528185633002893,-4.375,1.6875,1.9375
1528185633020080,-5.0625,1.3125,1.375
1528185633041789,-5.5,1.1875,1.0
1528185633070951,-5.125,1.1875,0.75
1528185633079732,-4.625,1.5625,0.9375
1528185633101660,-4.875,1.5,1.0
1528185633122822,-5.375,1.625,1.6875
1528185633139527,-7.375,1.4375,2.5625
1528185633162513,-9.8125,1.25,2.9375
1528185633184713,-11.625,0.9375,3.3125
1528185633199677,-13.4375,0.6875,3.625
1528185633221815,-16.0,0.4375,3.4375
1528185633243610,-18.5625,-0.0625,2.875
1528185633265823,-20.1875,-0.4375,2.625
1528185633281786,-21.0,-1.125,1.8125
1528185633302987,-20.375,-1.5625,0.8125
1528185633319714,-19.5,-1.9375,-0.75
1528185633341624,-18.5625,-2.1875,-2.1875
1528185633362576,-19.4375,-2.75,-3.625
1528185633379521,-20.375,-3.5625,-5.625
1528185633401501,-19.4375,-4.75,-7.4375
1528185633401501,-19.4375,-4.75,-7.4375
1528185633401501,-19.4375,-4.75,-7.4375
1528185633401501,-19.4375,-4.75,-7.4375
1528185633401501,-19.4375,-4.75,-7.4375
