timestamp,x,y,z
1528443335822261,-10.9375,-1.375,41.0625
1528443335838222,-21.875,-5.5625,66.875
1528443335858161,-23.375,-14.3125,92.4375
1528443335883094,-19.0625,-18.6875,126.0
1528443335898054,-12.75,-24.0625,157.063
1528443335919996,3.0,-31.9375,184.063
1528443335973852,14.5,-37.5,209.188
1528443335975847,19.5625,-38.8125,239.0
1528443335980833,17.25,-40.625,267.125
1528443335993799,7.6875,-46.0,290.563
1528443336027709,-3.75,-51.75,309.625
1528443336038679,-19.3125,-61.0625,327.375
1528443336053640,-29.25,-70.625,343.625
1528443336078572,-33.875,-82.6875,356.0
1528443336123452,-23.875,-94.375,359.0
1528443336124450,-8.6875,-104.75,359.18800000000005
1528443336144396,0.75,-115.43799999999999,356.56300000000005
1528443336159356,5.9375,-119.43799999999999,353.5
1528443336174316,3.5,-121.06299999999999,338.31300000000005
1528443336198252,-15.75,-125.0,313.813
1528443336219196,-27.5,-126.125,288.75
1528443336235154,-1.1875,-120.75,268.313
1528443336258092,22.75,-103.75,236.0
1528443336279089,24.75,-86.3125,202.375
1528443336302973,12.125,-74.0,165.688
1528443336317984,-1.3125,-59.75,123.0
1528443336338877,2.625,-42.875,91.0625
1528443336355868,16.4375,-26.0,64.0625
1528443336379768,19.8125,-14.9375,41.375
1528443336406695,13.9375,-6.25,20.25
1528443336415672,11.9375,0.25,4.75
1528443336437612,12.3125,2.0,-1.0
1528443336458595,7.6875,0.75,-1.75
1528443336481497,-3.6875,4.0625,-4.0625
1528443336497453,-8.8125,9.1875,-5.4375
1528443336519394,-12.125,9.5625,3.1875
1528443336535352,-14.875,5.3125,6.8125
1528443336558319,-22.625,2.25,1.4375
1528443336579235,-28.875,0.6875,-2.0625
1528443336594193,-21.6875,4.6875,-0.6875
1528443336618129,-18.25,9.5,-3.375
1528443336639074,-14.75,12.25,-4.25
1528443336655046,-5.0625,16.9375,-6.0625
1528443336677972,-13.1875,8.0625,-4.625
1528443336701145,-27.625,6.1875,1.3125
1528443336715106,-5.75,11.1875,-2.25
1528443336738051,-2.5625,13.0,-1.875
1528443336760983,-11.375,15.125,-3.125
1528443336774981,-2.25,12.6875,3.25
1528443336798306,4.25,14.0625,6.625
1528443336820148,12.875,16.1875,4.3125
1528443336841096,16.8125,17.0625,2.9375
1528443336858039,14.25,13.9375,4.375
1528443336880972,14.125,9.875,4.1875
1528443336901321,4.625,12.5625,2.625
1528443336917713,1.125,18.0625,-0.0625
1528443336940118,-1.4375,19.4375,1.125
1528443336961999,-10.8125,20.875,3.9375
1528443336977967,-12.75,25.125,2.8125
1528443337000335,-10.9375,30.9375,-3.75
1528443337021636,-10.375,35.25,-14.625
1528443337037595,-7.375,35.3125,-24.25
1528443337061765,-8.0,35.875,-36.4375
1528443337081714,-6.0625,37.9375,-51.0
1528443337111778,1.3125,39.0625,-62.8125
1528443337119822,9.4375,39.375,-70.5625
1528443337149467,14.375,40.9375,-79.9375
1528443337165248,21.0625,44.8125,-91.4375
1528443337180201,23.875,50.5,-103.875
1528443337203141,25.75,52.0625,-114.18799999999999
1528443337225144,28.1875,49.0,-121.5
1528443337240094,27.4375,47.25,-130.813
1528443337262981,25.9375,47.5,-142.438
1528443337284977,21.4375,44.75,-151.25
1528443337305920,21.9375,43.1875,-153.875
1528443337322820,24.5,46.25,-161.438
1528443337345812,25.0,48.6875,-172.125
1528443337366755,15.125,45.6875,-179.5
1528443337383713,11.9375,38.1875,-173.0
1528443337405617,15.25,36.1875,-167.0
1528443337427540,10.375,41.3125,-176.438
1528443337442557,2.5625,41.9375,-188.75
1528443337465446,13.1875,39.25,-185.5
1528443337486523,38.75,36.9375,-174.688
1528443337502562,38.6875,33.4375,-178.813
1528443337525474,13.4375,30.9375,-192.313
1528443337546839,-4.125,29.5625,-181.875
1528443337562639,13.9375,29.1875,-150.0
1528443337592561,39.875,30.6875,-140.25
1528443337614551,39.6875,33.25,-153.875
1528443337622631,27.8125,30.1875,-163.188
1528443337645473,9.4375,25.3125,-153.938
1528443337666878,-9.0625,18.375,-141.438
1528443337682905,-26.375,17.9375,-145.063
1528443337705844,-29.75,23.25,-153.188
1528443337727038,-19.5625,27.5625,-146.125
1528443337743057,2.0,26.6875,-140.125
1528443337765066,14.8125,26.25,-146.188
1528443337786340,16.4375,27.875,-157.0
1528443337803334,8.1875,30.125,-161.125
1528443337825295,-4.0,31.75,-156.188
1528443337846242,-11.8125,34.0625,-149.813
1528443337863441,-9.1875,36.125,-144.313
1528443337885365,-1.25,36.25,-135.625
1528443337906473,7.9375,33.25,-121.875
1528443337930587,13.0625,26.875,-104.75
1528443337945549,12.5,18.75,-83.875
1528443337966650,6.0,10.9375,-62.375
1528443337982449,-1.0625,3.625,-43.3125
1528443338005403,-2.625,-0.6875,-30.5
1528443338028538,2.5625,-0.375,-22.5
1528443338042408,9.125,2.75,-22.0
