timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529295338817023,-6,3,7,2,-18,-5,7,-2
1529295338817023,-1,0,5,0,-5,-15,-4,-1
1529295338828990,-4,-1,-1,-5,-9,4,3,-5
1529295338828990,-26,-2,24,15,10,0,-3,-8
1529295338835974,43,-3,-42,-12,6,-3,-4,9
1529295338835974,-11,-6,-33,-18,-10,2,-1,-1
1529295338853923,15,-6,-4,-2,-10,-8,-7,-4
1529295338853923,2,-4,-5,-3,5,0,-3,-2
1529295338861904,-16,8,26,7,-7,-1,-2,-7
1529295338861904,14,0,11,6,4,-2,0,5
1529295338873871,4,-6,-2,3,7,4,3,4
1529295338873871,3,3,-9,-5,9,-6,-4,0
1529295338888831,-14,0,5,8,-8,-11,-6,-5
1529295338888831,10,4,0,-12,-10,6,4,1
1529295338896809,-10,-6,-23,-9,7,-1,0,-1
1529295338896809,-5,-2,18,3,-12,3,-1,-2
1529295338918751,-8,8,-5,-19,14,0,-2,-2
1529295338918751,6,3,10,12,-4,-6,-3,2
1529295338926729,-3,1,23,-1,-22,-2,-1,0
1529295338926729,-10,-9,-7,6,32,7,4,-8
1529295338941717,5,0,-12,-7,-11,-5,-2,-1
1529295338941717,1,-4,2,-4,-12,-7,-3,0
1529295338948725,-5,4,-3,4,1,3,2,-3
1529295338948725,1,-1,14,16,-4,-6,-1,2
1529295338957647,-10,5,-6,0,7,-2,-5,-5
1529295338957647,1,-4,-24,-8,-28,-7,-3,0
1529295338986571,3,4,12,3,36,11,1,0
1529295338986571,-1,0,8,10,0,0,-2,-2
1529295338993588,-4,-6,-19,-27,-17,-5,-1,-3
1529295338993588,1,1,-9,-11,-18,-12,-5,-2
1529295339001536,-4,-5,-6,-4,-19,-3,-2,-3
1529295339001536,1,-2,-17,-5,13,6,1,0
1529295339008511,2,1,9,44,36,7,0,1
1529295339008511,-3,-1,-23,-35,-13,-6,-5,-4
1529295339016491,-1,-3,5,-1,-15,-8,-1,-1
1529295339016491,-1,0,-29,-15,-13,3,2,1
1529295339031470,1,3,-6,4,7,7,2,1
1529295339031470,-3,-4,17,0,0,-7,-3,-3
1529295339046450,0,3,-4,44,-1,-1,0,-2
1529295339046450,-3,-4,30,-52,-16,-5,0,-1
1529295339054388,2,0,-11,15,-17,-4,-2,2
1529295339054388,-1,0,-6,-3,10,2,2,-6
1529295339069377,-3,-5,15,-13,-6,-7,-5,-3
1529295339069377,-1,0,16,33,10,-5,-4,-3
1529295339076330,-3,-1,-1,-17,1,0,-1,-2
1529295339076330,1,-1,-8,-4,-12,-3,-2,3
1529295339091342,-1,-3,-27,-4,4,-3,-4,-1
1529295339091342,-1,-5,-14,18,-2,6,2,0
1529295339099270,2,0,20,19,4,1,0,-1
1529295339099270,-3,-2,-23,-46,-9,-8,-6,-2
1529295339114272,1,-1,3,21,32,12,12,1
1529295339114272,-3,0,6,-17,-26,-8,-7,-2
1529295339129230,0,-1,2,-16,-7,-4,-6,0
1529295339129230,1,-4,21,23,24,8,7,1
1529295339136170,-3,-2,-31,-10,2,0,1,-2
1529295339136170,-4,-6,1,1,0,0,-4,-2
1529295339151131,0,0,9,-41,-16,0,-3,-1
1529295339151131,-3,-2,3,13,-6,-9,-3,0
1529295339166089,-3,-5,10,14,10,1,0,-2
1529295339166089,-1,0,2,9,-14,-6,-1,3
1529295339181077,3,8,-2,3,6,1,1,0
1529295339181077,-2,-6,-27,-35,-11,-4,-3,-1
1529295339196063,-3,8,31,-32,-12,-5,-4,-6
1529295339196063,1,-1,-22,34,19,2,-1,0
1529295339204041,-1,-5,1,-22,-21,-9,-5,-2
1529295339204041,0,1,3,40,0,0,2,0
1529295339218988,-1,-4,17,-2,9,15,8,4
1529295339218988,4,2,-10,8,19,8,3,3
1529295339233909,-7,-10,-32,17,-17,-12,-7,-4
1529295339233909,0,0,-14,-61,-9,-10,-8,-3
1529295339248868,-5,-5,18,12,-5,-6,-6,-3
1529295339248868,6,0,-1,32,8,7,-5,7
1529295339256847,-9,3,6,-22,-25,-9,0,-7
1529295339256847,3,2,-64,9,-1,0,-6,3
1529295339271846,-3,-10,-6,-12,6,1,1,0
1529295339271846,-3,-1,11,52,1,-2,0,-2
1529295339278790,5,1,0,-6,4,-1,0,0
1529295339278790,-3,-4,71,29,7,7,0,-4
1529295339295745,1,9,-60,-43,-6,0,-2,0
1529295339295745,-2,-5,15,4,1,-3,0,-5
1529295339301728,5,-5,-29,-39,-4,2,2,3
1529295339301728,-8,2,30,29,4,-3,-3,-3
1529295339308709,4,5,41,34,5,3,4,-1
1529295339308709,-5,7,26,8,-12,-5,-5,-6
1529295339316687,1,-6,-2,10,0,2,1,2
1529295339316687,3,-2,22,17,12,-5,-8,2
1529295339331648,-5,-9,-58,37,-15,-10,-7,-7
1529295339331648,-3,0,13,7,1,11,14,3
1529295339338665,1,-8,-11,-28,-7,-2,-1,1
1529295339338665,13,13,20,64,18,5,-1,3
1529295339353628,-6,37,4,-16,-10,-6,-9,-25
1529295339353628,-2,-45,-16,-6,9,0,1,17
1529295339361568,-3,19,18,28,-12,-4,-5,0
1529295339361568,0,-15,42,4,33,15,5,2
1529295339368549,3,-3,-52,-35,-12,-4,1,2
1529295339368549,-2,17,60,68,2,-1,-6,-11
1529295339376583,-1,-1,9,-51,-5,-35,-13,-2
1529295339376583,-3,-14,-22,-12,-17,16,-10,-7
1529295339391488,2,-10,-5,-14,1,-2,-5,1
1529295339391488,-10,15,53,0,-11,-13,-12,-12
1529295339398469,6,-23,-64,36,9,22,18,19
1529295339398469,-3,8,-20,-63,-16,-15,-7,-7
1529295339414425,-3,-23,-23,0,1,5,7,-6
1529295339414425,-8,-23,-8,-24,2,-1,-3,9
1529295339421407,2,13,20,18,11,-1,-10,-4
1529295339421407,-3,-9,-25,-6,-12,-17,-3,2
1529295339429498,4,-9,50,24,-2,5,-2,5
1529295339429498,6,14,-39,-76,-12,-2,4,-4
1529295339444349,-4,-6,1,-26,8,3,0,-6
1529295339444349,-3,-8,-6,50,1,2,2,2
1529295339459309,-11,-12,55,45,4,-15,-3,0
1529295339459309,-4,-4,-67,-26,-6,10,-28,-7
1529295339466297,8,27,78,-1,8,10,22,3
1529295339466297,-3,-13,-121,-80,-17,-8,-3,-10
1529295339481250,8,15,84,1,-2,1,-2,8
1529295339481250,2,0,-44,-87,-10,-22,-13,-3
1529295339489229,-16,-15,-28,14,-5,4,-6,-10
1529295339489229,9,12,17,2,5,2,3,4
1529295339504195,3,4,34,21,1,4,9,-5
1529295339504195,9,1,-63,-1,0,2,12,16
1529295339519337,5,3,-32,-101,2,1,-1,3
1529295339519337,-14,11,55,17,-2,-5,-8,-10
1529295339526359,-4,-10,-32,-30,-5,9,8,0
1529295339526359,4,-18,30,17,7,-3,-2,3
1529295339541320,-8,11,4,-15,-8,-2,-6,-2
1529295339541320,14,2,20,20,0,-1,6,-2
1529295339549465,0,-8,-18,18,1,3,5,4
1529295339549465,-1,8,3,-24,1,2,11,0
1529295339556588,-8,-8,-2,30,2,-4,-9,-1
1529295339556588,-2,3,1,22,-1,-1,-5,-4
1529295339571406,7,-5,2,8,-4,-4,-1,-1
1529295339571406,4,5,-32,3,-7,1,5,-1
1529295339579384,-7,-20,-1,-74,2,2,-2,0
1529295339579384,-5,-5,-3,60,0,-2,1,-1
1529295339594344,-4,-6,29,34,-7,-5,-5,0
1529295339594344,-4,-7,28,44,15,6,5,-4
1529295339601379,3,7,4,-3,-4,-4,-5,-2
1529295339601379,-4,-11,-19,10,4,-4,-1,-1
1529295339609358,-5,4,-67,-82,-16,6,8,1
1529295339609358,1,0,33,-2,0,-10,-11,-3
1529295339616292,4,14,38,26,4,19,23,3
1529295339616292,-2,5,80,27,-2,-5,-14,0
1529295339631410,-4,-7,-57,-25,1,1,10,-2
1529295339631410,-7,-13,26,27,3,1,5,-1
1529295339639354,4,-3,-48,-38,3,-12,-14,-12
1529295339639354,5,4,-14,-64,-9,2,11,13
1529295339654185,-6,-5,17,49,11,-6,-10,2
1529295339654185,9,11,-4,-44,1,7,-3,-2
1529295339661169,-13,-1,45,56,2,4,12,-3
1529295339661169,-4,-6,-95,-65,-15,-12,-9,-10
1529295339669147,-8,-3,20,20,1,4,3,0
1529295339669147,8,-4,-45,-19,0,6,6,0
1529295339676270,-11,6,24,21,0,9,3,2
1529295339676270,-3,12,5,-30,-7,-4,-1,-7
1529295339691089,9,-3,6,21,8,-3,-8,3
1529295339691089,-14,-15,-51,8,-6,0,-5,-8
1529295339699065,6,17,13,-19,0,-9,-3,-1
1529295339699065,-4,-8,-5,-44,-5,7,8,1
1529295339721006,-3,0,44,47,-1,-7,-8,-3
1529295339721006,-3,4,-55,-7,-2,3,-1,-9
1529295339729019,14,-2,-1,-2,1,-10,-8,16
1529295339729019,-17,-2,-13,6,-4,-3,2,-5
1529295339736963,12,9,-4,-36,-2,6,11,5
1529295339736963,-7,4,23,-5,-7,-10,-12,-4
1529295339743944,-4,0,4,11,0,0,4,-4
1529295339743944,0,-6,-11,15,6,0,2,-4
1529295339758957,15,3,3,10,-4,9,-1,9
1529295339758957,-44,-5,8,-20,-3,-10,1,-6
1529295339766884,5,-3,-4,4,-1,-5,-13,-2
1529295339766884,8,-2,9,10,-1,6,6,0
1529295339773918,-9,-8,-39,-41,-8,-4,-4,-10
1529295339773918,8,-4,19,-34,3,3,2,-1
1529295339781844,0,-5,-1,0,-5,-10,-8,15
1529295339781844,-21,-13,1,-16,2,-3,-8,-9
1529295339788878,12,1,-20,17,-3,2,4,6
1529295339788878,4,1,3,54,-1,-1,-7,-1
1529295339796805,-2,-4,-39,-23,-2,6,1,-11
1529295339796805,18,5,-3,15,7,7,19,6
1529295339811826,-21,0,15,-50,-10,-14,1,-5
1529295339811826,-13,-12,18,-20,-4,3,2,-5
1529295339818797,22,5,50,42,-6,-6,-12,1
1529295339818797,-1,4,-5,24,0,0,-5,-1
1529295339833760,1,1,21,21,8,2,-5,-7
1529295339833760,5,-22,-66,16,8,-3,4,-3
1529295339841738,20,13,34,8,-1,-3,1,10
1529295339841738,-12,8,35,23,3,2,-7,0
1529295339848665,1,13,-62,-66,-10,-3,0,12
1529295339848665,11,12,26,49,6,7,8,12
1529295339856699,2,-4,4,-45,1,-4,-21,-21
1529295339856699,2,-10,-63,-15,-11,-1,13,9
1529295339871632,-1,-19,31,19,10,-4,-17,-2
1529295339871632,-42,0,-27,-2,6,19,27,-4
1529295339878621,11,4,35,43,7,4,11,9
1529295339878621,-4,-12,-78,-110,-23,-4,-5,2
1529295339894563,-2,9,24,6,6,-3,-10,-7
1529295339894563,11,11,8,7,-12,-14,-7,-1
1529295339901579,-30,-25,5,35,5,7,0,-7
1529295339901579,9,8,11,-33,-5,-10,-22,-10
1529295339908559,-45,-18,-7,15,2,13,20,-12
1529295339908559,61,17,22,24,2,-3,4,23
