timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528446694873151,-1,0,0,-1,0,-1,-1,-3
1528446694873151,1,0,0,-1,0,0,-1,1
1528446694880134,-1,1,-1,0,-1,-1,-1,-1
1528446694880134,-1,1,3,0,-1,-2,-4,-2
1528446694888139,0,1,1,2,3,5,6,3
1528446694888139,3,2,-7,-5,-5,-6,0,0
1528446694903073,1,1,1,2,4,5,1,0
1528446694903073,-1,-2,-1,6,0,-1,-1,-1
1528446694912047,7,5,5,0,2,-2,-3,-1
1528446694912047,-7,-5,-2,0,-2,-3,-2,-5
1528446694932991,-2,-2,-4,4,-4,-3,3,3
1528446694932991,-3,-2,9,3,1,-3,-1,-1
1528446694940979,-2,-3,-4,-6,0,14,6,2
1528446694940979,0,-2,0,-8,-1,-4,-7,-7
1528446694955930,2,-2,-5,2,-2,-2,2,2
1528446694955930,2,4,2,-9,9,16,9,5
1528446694966901,0,3,0,13,-9,-23,-14,-2
1528446694966901,-5,-5,-7,2,5,1,-2,-4
1528446694970891,-3,-1,4,-9,0,10,3,-3
1528446694970891,-2,-5,-7,10,3,-5,-2,-3
1528446694977873,3,2,5,-5,1,2,3,5
1528446694977873,3,10,14,11,-2,-5,0,3
1528446694992833,0,0,-1,0,-2,-7,-3,3
1528446694992833,-2,-3,-5,-12,-5,0,1,-5
1528446695000819,-3,0,2,5,-1,-5,-6,-3
1528446695000819,7,-4,-11,8,3,3,-1,-4
1528446695017765,-14,-6,-7,-16,-5,3,1,2
1528446695017765,1,4,13,4,-4,-3,2,0
1528446695024747,-11,-12,-7,-3,0,7,4,-5
1528446695024747,6,1,0,-12,-5,0,0,3
1528446695030731,-1,-1,0,-2,9,3,-1,-3
1528446695030731,3,6,4,26,0,-10,-4,-1
1528446695037712,0,3,4,-5,2,3,5,6
1528446695037712,-3,-7,-9,-35,-7,1,1,1
1528446695052671,0,-1,2,30,6,-7,-5,-5
1528446695052671,-3,-2,-8,-6,-10,-4,-4,-3
1528446695060665,3,2,8,-12,-1,-9,-4,-2
1528446695060665,-3,0,-5,25,14,16,6,2
1528446695075611,-4,-3,-14,-35,-7,-9,-9,-5
1528446695075611,1,0,-7,5,8,-14,-8,0
1528446695083641,-6,-8,5,-3,-9,24,5,-2
1528446695083641,-4,-2,0,-11,-19,-2,5,3
1528446695090590,6,4,14,8,-1,0,-3,-1
1528446695090590,2,-3,-14,-22,-6,-3,1,-2
1528446695098549,-4,-5,-9,4,-3,-14,-6,-4
1528446695098549,0,-2,6,-5,-6,-25,-5,0
1528446695113536,1,0,-2,-1,5,29,12,5
1528446695113536,1,3,-5,-14,-8,2,-5,-5
1528446695121541,-7,0,4,25,18,-3,-3,1
1528446695121541,1,4,1,-5,1,20,10,-3
1528446695135504,0,-7,-16,-5,-14,-24,-8,-3
1528446695135504,1,3,9,-7,21,8,-5,-1
1528446695143484,-5,-13,-26,-29,-30,-19,-2,0
1528446695143484,-6,-4,7,22,1,14,0,-3
1528446695150411,4,6,8,3,-1,-12,-2,0
1528446695150411,4,4,7,7,-3,3,-3,0
1528446695158441,1,-1,-14,-3,-3,-13,-5,-1
1528446695158441,-7,-3,-2,-18,8,-7,-3,-5
1528446695174347,1,4,10,14,-3,-6,3,0
1528446695174347,0,-4,-3,2,5,21,11,6
1528446695195291,-8,-7,-11,-6,-8,-15,-14,-9
1528446695195291,0,1,3,-5,-13,-12,-2,0
1528446695203269,4,7,16,0,6,1,-1,5
1528446695203269,-2,-12,-34,-17,-10,-6,-1,-4
1528446695210250,7,3,0,7,19,36,13,8
1528446695210250,2,3,6,-14,-15,-23,-6,4
1528446695218229,-6,-4,-9,-10,-8,-1,6,0
1528446695218229,-1,-4,-1,-12,-7,-9,-6,-8
1528446695233228,0,1,8,4,-2,-8,4,8
1528446695233228,4,2,7,1,-2,12,8,4
1528446695248198,5,2,-4,6,2,-16,-7,0
1528446695248198,6,9,18,12,21,35,13,3
1528446695263110,-1,-3,-14,-13,-13,-27,-27,-11
1528446695263110,3,-3,-10,7,5,18,20,10
1528446695270092,-7,1,24,-7,-18,-33,-20,-12
1528446695270092,-4,-14,-32,-3,3,9,5,-1
1528446695278087,9,6,8,5,10,27,17,8
1528446695278087,-18,-13,3,0,-10,-16,-11,-13
1528446695286050,14,8,4,20,20,22,13,10
1528446695286050,-14,-4,-1,-15,-1,0,-9,-9
1528446695301008,-3,1,7,-8,-7,4,1,-8
1528446695301008,2,-8,-2,0,12,19,14,10
1528446695316009,-5,-3,-13,3,1,-1,2,-3
1528446695316009,6,9,4,-1,-2,-2,0,4
1528446695322988,-4,-7,-3,-2,2,0,10,5
1528446695322988,0,-2,-9,-4,-11,-18,-21,-10
1528446695330966,9,14,11,-2,-2,-7,-3,1
1528446695330966,-11,-12,-2,1,-17,-21,-15,-10
1528446695337947,-1,2,1,0,8,16,3,2
1528446695337947,-4,2,3,6,-2,0,4,0
1528446695352870,-5,-4,-1,-2,-2,-8,-7,-8
1528446695352870,13,3,3,-1,3,12,8,9
1528446695360849,-8,-6,-9,-2,-3,-7,-3,-5
1528446695360849,3,3,3,-2,-6,-22,-17,-5
1528446695375848,9,4,5,14,13,38,28,11
1528446695375848,-5,-1,-9,-7,3,-6,-15,-6
1528446695382823,1,3,7,-5,-3,-9,4,5
1528446695382823,0,-4,-3,5,7,-1,0,2
1528446695390812,-2,1,-4,-15,-17,-10,-5,-5
1528446695390812,-6,-1,15,15,6,3,1,1
1528446695397805,5,-3,-20,-10,-10,-22,-15,-4
1528446695397805,0,1,0,7,7,3,6,4
1528446695412767,-5,-8,-4,-7,-2,9,-1,-8
1528446695412767,-5,6,-5,-4,-6,-9,-10,-4
1528446695420742,7,3,8,0,-7,4,3,10
1528446695420742,8,5,6,17,16,20,10,11
1528446695435648,-8,-7,-7,-3,-3,-11,-2,-5
1528446695435648,3,0,-8,-2,-5,-7,0,6
1528446695442668,-4,-7,-7,0,5,12,4,-6
1528446695442668,1,-2,-3,-4,-14,-10,-3,0
1528446695450608,-6,-6,-14,-4,6,7,0,-2
1528446695450608,0,-1,-3,0,-5,-9,-8,-13
1528446695457590,-1,3,18,1,-4,-7,-9,-4
1528446695457590,-3,-5,-10,0,10,17,7,-1
1528446695473548,-5,2,4,-2,-1,-7,-8,-4
1528446695473548,0,-3,2,-3,-7,-7,-3,-1
1528446695480531,-2,-7,-18,2,2,9,3,-4
1528446695480531,2,5,6,5,6,5,3,5
1528446695495488,-5,-4,2,4,-5,-12,-9,-4
1528446695495488,5,0,-5,5,6,13,7,-1
1528446695503467,-9,7,22,-13,-9,-13,-11,-2
1528446695503467,1,-4,-20,2,-6,-2,1,-4
1528446695525410,-1,-4,-19,-3,0,-4,-4,2
1528446695525410,-1,0,10,0,-3,1,1,1
1528446695533388,-3,-6,0,5,1,2,-1,-1
1528446695533388,-1,3,-2,4,0,-4,-3,0
1528446695548401,0,0,0,-9,-8,-8,0,-1
1528446695548401,2,2,6,19,12,17,7,-2
1528446695555330,8,7,-6,3,-4,-6,-1,0
1528446695555330,-10,-2,17,-15,-5,-3,-7,-7
1528446695570288,3,2,5,5,13,16,13,12
1528446695570288,3,2,-6,2,-6,-3,3,0
1528446695578267,-3,3,10,-6,-3,-1,2,4
1528446695578267,-3,0,-1,-4,-1,2,1,-4
1528446695585249,-4,-8,-6,-2,0,-5,-9,-4
1528446695585249,8,13,-5,-5,-7,2,-1,-8
1528446695593277,-8,-9,10,0,-3,-5,-6,4
1528446695593277,-2,-1,1,6,-2,-10,-4,-4
1528446695600229,0,-1,-10,-9,8,14,9,-1
1528446695600229,-3,-3,10,4,-8,-11,-8,-4
1528446695615170,0,-3,-11,-6,-7,-14,-4,-2
1528446695615170,4,3,-6,-18,-6,13,11,8
1528446695623150,-4,-4,-9,5,-11,-8,-4,-5
1528446695623150,-3,-4,3,-3,7,5,0,1
1528446695630130,5,6,4,2,1,-1,-3,1
1528446695630130,-1,-2,4,-7,13,2,3,4
1528446695645088,-3,-2,-6,-8,-8,-14,-11,-9
1528446695645088,2,0,3,1,-8,-1,5,5
1528446695653068,5,2,-2,3,2,4,2,4
1528446695653068,4,4,15,2,-8,5,4,2
1528446695668028,4,3,-3,0,8,3,-3,6
1528446695668028,-1,1,10,2,16,15,7,3
1528446695676007,-1,-4,-5,-18,1,1,-5,-6
1528446695676007,-3,-2,-5,3,-6,-12,-5,-1
1528446695691004,0,4,-2,-1,-6,7,9,1
1528446695691004,-5,-7,-8,-5,-5,-9,-9,-2
1528446695697973,-2,4,-1,-10,-7,0,1,-2
1528446695697973,-1,-2,3,11,6,0,-3,-2
1528446695720887,4,4,1,10,15,16,6,1
1528446695720887,-1,-4,-7,-9,-1,-6,-4,1
1528446695735847,-5,-5,-7,-8,-16,-4,-2,-5
1528446695735847,-2,-2,-8,11,2,-5,-3,0
1528446695742828,0,2,7,-7,-7,-4,-4,-5
1528446695742828,-1,-2,2,-1,0,1,2,7
1528446695757787,-5,-7,1,7,11,14,5,1
1528446695757787,4,2,-17,-3,-2,5,1,0
1528446695772747,-3,4,8,1,-4,0,-1,0
1528446695772747,-3,-4,-13,-6,-5,-6,-3,-4
1528446695787761,4,9,7,3,-2,4,6,4
1528446695787761,-4,-4,-2,-6,-3,5,-1,-2
1528446695795690,1,2,-4,7,8,-3,-2,-3
1528446695795690,-1,0,4,5,10,8,5,1
1528446695810647,0,2,4,1,6,-5,-5,-2
1528446695810647,-3,-4,-3,-1,-15,-6,-1,-1
1528446695817653,2,2,-1,-6,-2,2,4,1
1528446695817653,-1,2,1,-5,-9,1,-2,-7
1528446695832641,-2,-8,-2,7,6,7,6,5
1528446695832641,6,2,0,-12,-6,-5,0,2
1528446695848544,-6,-1,-1,-7,-3,1,-2,-6
1528446695848544,-19,-7,2,3,11,-1,-4,-15
1528446695855578,5,13,8,6,3,1,1,3
1528446695855578,-8,1,5,2,1,2,1,1
1528446695870541,5,2,0,-1,-8,-6,-2,-3
1528446695870541,2,-6,-11,-15,-17,-6,-2,1
1528446695878508,-6,-5,2,-9,-37,-10,-5,-9
1528446695878508,-14,4,3,9,40,10,0,-4
1528446695893479,12,-3,-5,-4,13,-6,-12,-1
1528446695893479,-23,29,3,-4,-25,-2,-1,-21
1528446695908384,-6,-39,-5,7,-8,4,4,-7
1528446695908384,25,-2,-11,-1,-19,0,1,-8
1528446695915366,-35,-48,8,23,45,5,6,37
1528446695915366,54,90,20,38,43,3,0,10
1528446695930374,5,-19,-8,-37,-41,-5,5,16
1528446695930374,-15,9,4,-1,2,8,3,-3
1528446695938305,17,-1,-9,-28,-87,-14,-5,-8
1528446695938305,-31,-33,-8,44,97,16,-2,-12
1528446695953308,-22,8,-9,-17,-36,-11,-8,-27
1528446695953308,13,-17,6,15,-9,-1,9,17
1528446695968432,8,10,-9,-7,-1,-1,1,0
1528446695968432,-6,-4,-8,7,-6,-9,-4,-1
1528446695976233,12,11,5,6,13,12,6,12
1528446695976233,-4,-15,4,-5,-32,-6,-2,-6
1528446695991212,-8,-9,-6,-7,18,5,-6,-9
1528446695991212,-2,5,8,3,5,-2,0,9
1528446695998385,1,13,1,4,13,-6,-6,-6
1528446695998385,3,-17,-9,-37,-55,-7,-1,4
1528446696013640,4,11,13,15,29,10,4,-4
1528446696013640,-2,-16,-18,-26,-18,-21,-7,-1
1528446696028491,-8,8,9,-14,-35,0,3,-9
1528446696028491,28,4,0,2,1,-2,1,15
1528446696035912,1,2,-3,8,22,8,8,-2
1528446696035912,-4,-12,-8,-22,-37,-22,-11,-4
1528446696051456,5,8,-2,18,14,-4,-1,7
1528446696051456,-18,-5,-4,-9,-3,6,1,-8
1528446696058743,-10,3,3,9,25,8,2,-2
1528446696058743,15,-3,-6,-10,-23,-4,-3,5
1528446696073623,-9,-1,-5,-5,-12,-1,-1,-13
1528446696073623,-8,-4,3,0,7,7,1,9
1528446696088217,22,2,6,0,3,11,7,18
1528446696088217,3,-1,-7,4,6,-5,-4,0
1528446696096443,-4,5,-1,-10,-10,-5,-1,0
1528446696096443,8,1,4,1,9,11,4,3
1528446696110585,7,3,17,-3,-12,-14,-5,0
1528446696110585,-7,-14,-35,-7,13,8,-1,-7
1528446696126401,1,2,-3,8,2,-8,-6,1
1528446696126401,-7,-2,-3,-7,-4,5,0,-3
1528446696133213,3,2,3,2,7,4,3,-2
1528446696133213,-14,-2,12,-3,-2,7,4,-10
1528446696148173,36,9,7,12,28,7,4,15
1528446696148173,-5,-6,-11,-10,-24,-21,-11,-1
1528446696155155,5,-2,-3,-1,0,1,-5,8
1528446696155155,-7,1,7,-1,0,5,6,-6
1528446696170115,-13,-6,-5,-7,-8,3,-1,-19
1528446696170115,5,2,7,6,11,1,3,9
1528446696178407,25,0,-8,1,0,-5,-3,8
1528446696178407,-19,2,5,0,-1,-2,-4,-13
1528446696193630,-14,-14,-20,-8,-3,-4,-2,-7
1528446696193630,-10,-3,-5,-2,-1,2,-3,-2
1528446696208840,-13,2,3,-3,-6,-3,1,-10
1528446696208840,27,-1,1,2,-11,-8,-3,9
1528446696216013,-6,1,-8,-3,-7,-8,-6,-5
1528446696216013,14,1,8,5,18,19,16,16
1528446696231202,-15,0,1,1,2,-6,-5,-5
1528446696231202,-16,-8,-8,-1,1,-3,-4,-5
1528446696237832,-5,-3,-1,1,12,2,-6,-6
1528446696237832,7,5,12,-5,-15,-15,-6,3
1528446696252829,15,2,2,-7,-12,-7,-4,13
1528446696252829,-9,-4,-3,2,7,2,0,-12
1528446696267750,13,2,-4,-9,-7,-2,-1,19
1528446696267750,-7,1,3,7,12,5,3,-14
1528446696275991,-3,-1,-13,10,-2,5,1,-15
1528446696275991,16,-4,-1,-4,-2,-4,2,25
1528446696298900,-9,3,13,0,-15,-2,-6,-11
1528446696298900,-6,-1,-7,0,12,7,10,1
1528446696305908,1,3,7,5,-11,-12,-4,2
1528446696305908,4,3,2,6,36,44,20,1
1528446696321197,-5,1,3,4,12,7,1,0
1528446696321197,-6,1,1,7,-4,-12,-4,-2
1528446696336375,17,0,2,3,17,6,6,14
1528446696336375,-14,-1,-5,-13,-19,-6,-4,-17
1528446696343162,-13,-3,2,5,-3,-12,-4,-5
1528446696343162,14,3,1,13,-2,-10,-12,3
1528446696358122,9,-3,-14,-1,0,4,-1,0
1528446696358122,-4,3,7,3,-4,-11,-7,-5
1528446696373334,-4,1,-4,-12,-8,0,-3,-11
1528446696373334,31,11,9,7,-3,-4,0,10
1528446696380361,15,-3,-3,-17,-16,-2,5,20
1528446696380361,-3,0,8,12,11,10,-9,-10
1528446696395322,9,3,3,12,-1,3,16,13
1528446696395322,-24,-3,-3,-4,9,5,-1,-6
1528446696403300,-5,0,2,0,6,2,3,-2
1528446696403300,3,-2,-6,-14,-24,-7,4,-5
1528446696410576,-4,-1,-8,11,12,6,7,-2
1528446696410576,-9,-6,-3,-5,-5,-15,-14,-9
1528446696426285,1,-5,-8,-16,-11,-3,-1,3
1528446696426285,-8,-3,1,10,7,7,4,-6
1528446696433695,-5,6,15,18,11,3,1,-2
1528446696433695,0,-5,-7,-15,-10,-3,1,3
1528446696448794,4,2,-1,-13,-9,-5,0,1
1528446696448794,-7,-5,-8,-13,-13,-8,-8,-14
1528446696455989,-5,-1,2,2,2,3,-2,-2
1528446696455989,8,1,-1,9,2,-2,1,9
1528446696471256,-10,-4,-1,-8,2,1,2,-8
1528446696471256,0,-1,1,12,5,4,3,0
1528446696486205,3,-7,-15,-44,-30,-14,-11,-1
1528446696486205,-7,-2,-1,-2,-4,3,1,6
1528446696493202,3,2,3,7,4,1,-3,1
1528446696493202,2,2,6,28,20,5,3,3
1528446696508489,1,2,-1,-11,-2,-4,3,2
1528446696508489,-1,0,0,-15,-2,10,4,2
1528446696516291,-3,-5,-10,-22,-18,-4,-7,-4
1528446696516291,-5,-1,5,24,8,-5,-4,-2
1528446696531296,-4,-3,-5,-33,-26,-13,-19,-13
1528446696531296,-5,-4,-5,-8,-10,-1,4,1
1528446696545119,4,4,9,38,24,7,1,0
1528446696545119,-13,-5,4,51,27,1,-2,-9
1528446696553362,-11,3,-3,-3,7,5,3,-12
1528446696553362,6,-11,-22,-70,-54,-25,-13,12
1528446696568301,-5,4,22,14,6,4,2,1
1528446696568301,-3,-1,-7,0,2,-5,-10,-3
1528446696576298,-1,1,15,7,3,0,2,-1
1528446696576298,-2,2,1,5,7,2,-3,-6
1528446696591068,22,21,11,20,11,7,8,-8
1528446696591068,-1,13,4,1,-4,-3,-2,-3
1528446696606378,-14,-29,-8,-42,-30,-3,0,12
1528446696606378,-11,-6,5,31,21,-4,-12,-10
1528446696613275,-10,-18,-21,-47,-34,-11,-2,-3
1528446696613275,5,5,-3,-8,-7,-6,-10,-20
1528446696636216,12,15,0,18,15,7,2,3
1528446696636216,-2,0,-4,2,-2,-3,4,-1
1528446696643188,17,2,1,14,17,15,18,34
1528446696643188,-12,-6,2,10,8,1,-7,-9
1528446696658152,3,5,3,17,4,2,2,10
1528446696658152,-4,-7,-16,-18,2,14,17,-1
1528446696673427,2,-1,-6,6,3,-2,-1,11
1528446696673427,2,7,8,-3,-3,1,-3,-15
1528446696681189,12,-5,-9,17,20,5,3,17
1528446696681189,-30,-6,0,-26,-22,-9,-8,-26
1528446696696214,-4,-13,0,0,-9,-9,-16,-16
1528446696696214,4,0,10,33,31,13,16,27
1528446696711069,-22,-4,-17,3,13,-1,-13,-22
1528446696711069,8,-2,-3,-26,-26,-7,-1,6
1528446696718042,-11,1,5,10,15,8,-1,-9
1528446696718042,8,2,1,5,4,0,-4,-11
1528446696733009,-12,-1,2,-4,-3,8,6,-5
1528446696733009,5,-3,-4,-6,-6,4,5,5
