timestamp,x,y,z
1529286162436323,-44.5625,22.0,22.6875
1529286162459261,-62.6875,32.375,48.5
1529286162473222,-88.8125,43.4375,75.6875
1529286162499152,-137.938,51.4375,96.8125
1529286162519099,-156.188,60.25,123.875
1529286162534061,-148.938,67.4375,156.438
1529286162550018,-132.563,73.6875,188.938
1529286162564013,-120.18799999999999,73.625,215.25
1529286162600926,-94.3125,70.125,235.25
1529286162615885,-73.0,61.1875,256.125
1529286162630848,-62.5625,48.6875,274.563
1529286162660722,-44.5,36.625,294.875
1529286162683703,-24.4375,28.1875,308.813
1529286162698663,-4.875,19.3125,318.125
1529286162713578,7.375,6.875,329.18800000000005
1529286162736518,24.0625,-4.4375,330.125
1529286162751478,38.25,-12.625,324.125
1529286162781398,52.875,-17.375,317.563
1529286162811343,63.9375,-23.0625,304.063
1529286162826278,63.25,-26.9375,284.438
1529286162848247,61.125,-30.875,264.313
1529286162886152,40.6875,-41.3125,219.688
1529286162909056,47.375,-42.375,196.188
1529286162923054,33.75,-43.5,171.313
1529286162945959,9.125,-48.6875,150.688
1529286162960918,6.25,-56.9375,137.125
1529286162975879,10.875,-62.5,119.625
1529286162998817,-9.875,-72.1875,101.125
1529286163013803,-25.375,-85.1875,89.9375
1529286163036375,-34.75,-92.25,80.5
1529286163066123,-45.5625,-88.0625,61.1875
1529286163081081,-53.375,-70.875,42.8125
1529286163119023,-2.375,7.125,2.875
1529286163133941,16.4375,43.1875,-10.0
1529286163155881,28.875,61.1875,-19.75
1529286163185801,32.5,63.75,-27.8125
1529286163200761,33.125,55.0625,-30.5
1529286163230681,31.6875,44.0625,-32.625
1529286163245641,15.4375,31.4375,-30.625
1529286163260601,-12.125,17.1875,-21.75
1529286163283540,-8.0625,0.8125,-3.0625
1529286163298499,15.9375,-15.5,10.4375
1529286163313459,12.9375,-35.3125,18.0625
1529286163336398,-14.3125,-56.0625,25.625
1529286163366318,-38.5625,-67.3125,30.0625
1529286163381324,-50.3125,-63.25,27.1875
1529286163403222,-40.625,-39.9375,17.3125
1529286163418180,-8.75,-5.25,-7.75
1529286163433140,1.5,26.5,-35.9375
1529286163456082,-12.4375,44.9375,-63.3125
1529286163478863,-16.375,53.0625,-87.5
1529286163501626,-14.375,55.3125,-109.56299999999999
1529286163524228,-24.4375,53.5625,-131.688
1529286163553832,-44.1875,54.9375,-158.438
1529286163575602,-48.8125,60.8125,-170.75
1529286163599192,-47.5,65.6875,-178.25
1529286163621513,-30.25,70.9375,-183.563
1529286163643296,-12.625,75.8125,-192.688
1529286163658425,-2.1875,74.4375,-201.25
1529286163681410,-7.125,63.8125,-202.938
1529286163711327,14.25,47.0625,-204.563
1529286163734299,36.0625,41.3125,-213.125
1529286163778954,14.125,-4.1875,-227.563
1529286163801330,8.3125,-27.4375,-217.438
1529286163831437,21.1875,-11.5,-220.563
1529286163854031,80.25,-18.125,-227.625
1529286163891317,137.75,-69.0,-222.0
1529286163914366,97.0,-71.0625,-229.375
1529286163951270,50.9375,-56.9375,-207.063
1529286163973203,55.625,-66.8125,-188.625
1529286164011075,-30.875,-90.1875,-190.313
1529286164034034,-46.75,-85.5625,-189.125
1529286164071251,-30.875,-66.6875,-171.875
1529286164093425,-13.8125,-53.1875,-153.25
1529286164131282,50.1875,-38.5,-101.25
1529286164153586,89.3125,-41.9375,-71.375
1529286164191273,98.4375,-47.375,-19.875
1529286164213280,65.125,-45.25,1.25
