timestamp,x,y,z
1529309465019161,-9.8125,3.4375,8.875
1529309465039105,-17.5,3.25,14.6875
1529309465054067,-30.25,2.25,26.0
1529309465078001,-49.625,4.9375,36.5625
1529309465098993,-71.25,1.625,49.25
1529309465156793,-90.6875,2.5,68.625
1529309465157788,-97.875,2.4375,96.0
1529309465160782,-85.9375,3.9375,119.06299999999999
1529309465178732,-48.5,5.5625,141.063
1529309465197693,-1.0,9.5625,168.375
1529309465220621,33.5,13.375,194.75
1529309465235582,53.3125,19.3125,223.938
1529309465273478,75.75,26.375,255.938
1529309465279468,72.6875,34.1875,278.875
1529309465294423,67.625,37.375,294.813
1529309465317362,52.3125,41.0,312.813
1529309465339304,46.625,35.6875,325.625
1529309465355261,69.0,23.5,324.75
1529309465376205,86.3125,15.75,308.875
1529309465399179,109.875,17.125,281.125
1529309465415124,134.688,20.3125,249.563
1529309465436045,147.875,18.875,217.063
1529309465459014,156.0,20.6875,191.125
1529309465473982,157.625,19.5625,173.625
1529309465495885,136.813,12.6875,147.438
1529309465519034,108.06299999999999,6.8125,117.5
1529309465533995,86.125,1.5625,98.875
1529309465555937,67.8125,-3.5625,85.0
1529309465578891,70.125,-5.6875,65.25
1529309465593871,70.8125,-8.5625,44.625
1529309465616774,57.8125,-7.125,28.5625
1529309465638716,56.25,0.0625,21.875
1529309465653702,44.5,-1.25,22.5625
1529309465676615,21.6875,-11.3125,15.625
1529309465698555,12.25,-8.375,7.6875
1529309465713535,11.375,-0.625,15.5
1529309465736454,4.375,10.5625,22.125
1529309465758433,-11.25,20.6875,3.8125
1529309465776348,-20.125,18.75,-10.0625
1529309465796298,-0.75,12.4375,0.375
1529309465819358,20.5,1.0,17.6875
1529309465834227,9.875,0.0625,6.5625
1529309465856133,-8.375,-3.6875,-10.6875
1529309465879072,-2.6875,-6.5,-10.9375
1529309465901219,11.0625,-2.125,-2.75
1529309465916211,10.5625,-2.0625,0.5625
1529309465931185,3.0,-1.625,-0.6875
1529309465954078,-0.3125,1.0,-3.4375
1529309465976177,-1.5,2.8125,1.5
1529309465992974,1.125,5.0,5.0
1529309466014118,-10.375,9.5625,3.3125
1529309466036060,-13.4375,14.9375,9.375
1529309466053014,-22.4375,18.75,16.75
1529309466081000,-37.4375,24.75,21.9375
1529309466098920,-48.8125,35.625,31.0
1529309466112864,-61.875,45.375,43.0
1529309466133852,-77.8125,52.375,53.75
1529309466156809,-98.125,59.875,63.9375
1529309466172714,-114.625,68.9375,75.4375
1529309466193697,-116.31299999999999,73.5625,83.625
1529309466216632,-101.06299999999999,80.25,91.0625
1529309466232557,-91.6875,86.5625,89.8125
1529309466255530,-83.3125,98.3125,93.8125
1529309466276471,-61.0,105.25,94.6875
1529309466294368,-37.25,105.125,86.6875
1529309466316309,-21.0625,106.68799999999999,81.125
1529309466336256,-13.625,111.56299999999999,71.5
1529309466360192,-10.3125,113.625,73.9375
1529309466377147,2.5,122.06299999999999,75.25
1529309466396126,17.875,128.375,66.3125
1529309466414296,17.4375,133.313,56.75
1529309466437270,32.75,135.063,59.3125
1529309466456313,52.6875,132.813,49.75
1529309466474125,44.0625,126.625,41.625
1529309466497080,40.1875,127.06299999999999,30.4375
1529309466517167,53.75,120.56299999999999,25.75
1529309466533003,52.5625,101.06299999999999,16.9375
1529309466555927,36.5625,81.9375,14.6875
1529309466577020,29.875,70.375,12.625
1529309466594060,32.6875,59.5,11.125
1529309466615932,24.5625,46.3125,10.5625
1529309466637019,10.0,33.25,3.4375
1529309466653213,-0.25,17.5,0.125
1529309466676172,-2.625,5.5625,4.0
1529309466697117,-5.1875,1.625,6.25
1529309466713073,-2.625,1.5,2.3125
1529309466736190,-3.5,-2.625,-2.1875
1529309466757275,-3.9375,-9.6875,-4.5
1529309466773247,-8.6875,-10.0625,-5.5625
1529309466796184,-3.5,-5.875,-6.5625
1529309466817309,5.0,-3.1875,-8.3125
1529309466833263,7.875,-4.75,-11.1875
1529309466856238,6.3125,-5.9375,-13.125
1529309466877328,7.1875,-5.8125,-12.25
1529309466893285,14.4375,-4.375,-13.9375
1529309466916223,20.3125,-9.375,-17.25
1529309466937308,20.375,-20.1875,-20.75
1529309466953260,19.875,-31.625,-27.0625
1529309466976421,26.75,-42.4375,-37.9375
1529309466998395,37.25,-53.5,-50.125
1529309467013395,37.375,-63.5625,-60.5625
1529309467036534,42.5625,-72.875,-77.75
1529309467058623,45.5,-84.875,-99.3125
1529309467073600,45.75,-93.375,-118.75
1529309467095521,50.0625,-96.75,-130.313
1529309467118459,47.6875,-104.625,-143.25
1529309467139539,45.75,-115.81299999999999,-159.938
1529309467156541,46.25,-130.813,-178.438
1529309467178300,39.375,-148.563,-195.938
1529309467199787,30.0,-167.0,-200.25
1529309467216596,23.5625,-175.125,-211.5
1529309467238745,7.0,-165.375,-223.313
1529309467259847,1.1875,-152.25,-234.438
1529309467275666,5.25,-149.563,-239.25
1529309467298585,16.5,-156.188,-243.688
1529309467319528,20.75,-153.75,-249.438
1529309467335543,23.625,-144.938,-252.313
1529309467358455,28.125,-132.75,-249.0
1529309467379369,30.6875,-127.25,-256.438
1529309467396339,35.0,-124.06299999999999,-269.5
1529309467418269,28.9375,-120.75,-263.875
1529309467439254,15.3125,-107.06299999999999,-248.25
1529309467456163,21.0,-92.75,-245.25
1529309467478477,6.4375,-88.375,-241.563
1529309467499410,-43.3125,-81.4375,-238.625
1529309467516396,-94.8125,-64.125,-252.75
1529309467538306,-107.56299999999999,-51.0625,-267.563
1529309467559395,-98.8125,-42.75,-253.938
1529309467576476,-100.5,-37.3125,-229.438
1529309467598269,-99.8125,-27.6875,-200.813
1529309467619245,-85.375,-16.8125,-152.938
1529309467636160,-74.3125,-16.875,-99.1875
1529309467658130,-76.1875,-20.8125,-47.5
1529309467679043,-88.25,-30.0625,-4.625
1529309467695001,-94.5625,-24.8125,19.625
1529309467718133,-65.4375,-18.75,27.5
