timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529288005503658,7,14,5,-1,10,4,-1,1
1529288005503658,-4,1,0,-2,3,-2,-6,-2
1529288005504654,0,7,-1,0,3,-2,-7,1
1529288005504654,-2,6,-10,-2,-1,-4,-2,2
1529288005504654,-4,-4,-6,-6,-7,-1,2,4
1529288005504654,2,5,1,-2,0,0,-1,0
1529288005513632,-3,-8,1,3,-1,0,-1,-7
1529288005513632,-2,-8,-2,0,-3,-3,-6,-6
1529288005515626,-4,-14,-3,1,0,-2,0,-3
1529288005515626,19,32,14,-3,0,3,6,5
1529288005527594,3,3,7,10,4,2,4,-2
1529288005527594,0,-9,-5,1,5,4,0,-4
1529288005530585,6,12,9,2,-1,-1,-1,-2
1529288005530585,-6,-18,-16,-6,-4,-3,-3,-2
1529288005562500,-1,7,3,-7,-5,-1,-1,5
1529288005562500,-12,-1,-3,-7,-4,-4,2,-1
1529288005564495,-13,-14,-12,3,-2,-4,-4,-1
1529288005564495,2,5,5,4,1,-3,2,-2
1529288005568486,6,-1,-5,-2,-1,0,3,0
1529288005568486,7,7,5,2,0,0,2,1
1529288005578456,-5,-7,-8,-7,-7,-1,-5,-2
1529288005578456,0,8,4,8,1,6,0,1
1529288005584441,-7,-6,-3,-5,-5,0,-4,-3
1529288005584441,-2,6,8,0,1,0,-1,-5
1529288005630318,0,2,-6,-5,-4,-4,3,2
1529288005630318,6,12,9,8,4,-2,1,0
1529288005637299,0,4,-2,-8,-2,-8,3,-1
1529288005637299,-4,-16,-6,1,2,-6,-4,-1
1529288005637299,2,-1,3,-10,0,-4,-4,-1
1529288005637299,-1,-6,5,15,9,5,-1,-3
1529288005638296,19,18,17,7,10,8,2,5
1529288005638296,1,-3,0,-1,2,1,-2,-1
1529288005643284,-1,-16,-16,-4,-4,0,0,-1
1529288005643284,6,5,1,-1,-5,-2,2,5
1529288005650265,-1,8,-5,0,-5,1,-1,0
1529288005650265,-1,15,4,-3,-7,-2,2,2
1529288005658244,-6,0,5,-6,-2,-2,-6,-4
1529288005658244,-4,-10,-8,-8,-8,-4,-11,-4
1529288005673206,-4,-3,-4,-1,2,0,-4,-3
1529288005673206,6,3,1,13,6,5,3,6
1529288005682180,6,7,10,8,5,5,8,10
1529288005682180,-5,-9,-4,-6,2,2,7,8
1529288005688163,-4,-10,-9,-12,-9,0,-4,4
1529288005688163,8,13,4,-2,-4,1,-2,0
1529288005704121,-3,-17,-9,-3,-6,-8,-4,-6
1529288005704121,0,8,0,-9,-6,-7,-2,-9
1529288005710106,-3,-15,-1,5,-2,-3,0,-2
1529288005710106,0,6,1,-1,3,6,3,2
1529288005718083,-5,1,0,10,2,3,-1,-2
1529288005718083,-9,-17,-27,-19,-2,-2,-1,-6
1529288005733044,-2,-5,14,15,7,-5,-2,-8
1529288005733044,7,7,1,-5,-2,-3,3,-5
1529288005742020,2,22,20,12,2,3,2,-1
1529288005742020,-7,-21,-14,-12,-5,1,-5,-1
1529288005755982,-5,-2,-2,-6,-1,0,-1,1
1529288005755982,7,2,-3,7,0,-3,-1,3
1529288005763961,3,3,7,-4,2,2,4,2
1529288005763961,0,-1,-4,-5,-3,3,0,-3
1529288005770942,-3,-3,-1,1,0,3,-5,0
1529288005770942,-5,-14,-5,-1,-3,-4,-8,-5
1529288005777923,5,7,0,-9,-6,-3,-4,1
1529288005777923,4,13,7,4,-2,-2,-2,3
1529288005792883,-6,-10,-9,-14,-11,-8,-4,-3
1529288005792883,-5,-4,-8,-6,1,-3,2,-3
1529288005801859,12,16,5,14,7,-1,2,-3
1529288005801859,2,3,5,4,7,-2,6,3
1529288005807844,1,2,-3,-2,3,0,4,1
1529288005807844,-21,-34,-12,-13,-4,0,-2,-2
1529288005823800,7,6,0,-1,-1,6,3,3
1529288005823800,0,5,11,12,4,4,-2,-1
1529288005830782,6,17,1,0,3,2,2,4
1529288005830782,-5,1,-3,-4,-9,-9,-8,-4
1529288005837763,-13,-29,-15,-12,-4,-6,-7,-4
1529288005837763,13,24,9,14,7,3,4,3
1529288005852723,-4,-9,-7,1,-5,-4,-2,-6
1529288005852723,-1,-8,1,0,3,-1,1,0
1529288005861700,2,2,1,-6,-6,-1,-1,-1
1529288005861700,-4,-5,-8,-5,1,2,1,1
1529288005867683,7,1,0,5,2,2,4,3
1529288005867683,9,22,11,2,1,-3,-3,3
1529288005883674,-8,-10,-5,-3,-3,-7,-5,-1
1529288005883674,3,6,9,12,7,-2,-3,-5
1529288005890623,-5,-10,-8,-14,-11,-7,-5,2
1529288005890623,8,10,6,12,12,9,7,0
1529288005897604,6,2,-5,-1,0,7,4,1
1529288005897604,1,-8,4,-6,-9,-4,-3,-2
1529288005912564,-1,-3,-4,-5,0,-2,-3,-2
1529288005912564,-5,-8,2,0,2,-4,0,-3
1529288005921540,-4,2,-3,-1,1,0,1,-1
1529288005921540,-3,0,-4,2,-4,2,1,-3
1529288005928561,-4,-2,-5,-3,-8,-2,1,-5
1529288005928561,-4,-5,-11,0,2,2,2,0
1529288005944513,-1,5,-1,3,3,0,0,2
1529288005944513,4,7,7,-5,-5,-4,-2,6
1529288005952489,6,22,16,10,6,7,5,8
1529288005952489,-4,-5,-1,-9,-9,2,1,0
1529288005958470,2,-2,2,12,7,2,1,-1
1529288005958470,-1,-10,-3,1,0,-5,-2,-2
1529288005973402,2,-3,-1,-1,-4,-1,0,-2
1529288005973402,-1,2,4,1,-2,0,-6,0
1529288005981419,-7,-7,-5,-16,-17,-10,-8,-2
1529288005981419,-2,6,6,3,-4,-1,-2,0
1529288006004319,-4,1,1,4,10,2,0,-3
1529288006004319,-4,1,-4,2,7,1,-2,-5
1529288006005316,-6,-16,-6,-9,4,0,-1,-4
1529288006005316,4,1,0,6,9,3,3,2
1529288006010330,5,-1,2,1,5,0,5,4
1529288006010330,6,10,7,1,-3,-1,4,8
1529288006018282,-6,2,-3,-1,-3,1,0,-3
1529288006018282,-2,-5,-10,-9,-7,4,-1,-4
1529288006033276,-9,-19,-9,-5,-2,3,-3,-6
1529288006033276,2,4,-4,-4,-4,-5,-4,-2
1529288006041221,8,12,5,25,16,0,3,1
1529288006041221,-4,0,5,-11,-13,-3,-3,-2
1529288006055182,1,3,1,8,-1,0,-7,1
1529288006055182,-8,-20,-13,-16,-12,-4,-6,-3
1529288006064159,1,10,5,10,15,3,0,4
1529288006064159,0,2,-2,-11,1,-7,-1,3
1529288006070142,0,-1,13,11,17,1,2,-2
1529288006070142,-2,-4,2,4,4,-2,1,-6
1529288006078123,1,-2,-2,2,-3,-1,3,-4
1529288006078123,-2,-1,-6,-3,-3,-3,-1,3
1529288006093117,-4,-4,-13,-7,-14,-4,-7,1
1529288006093117,4,2,-7,1,-5,5,2,5
1529288006101062,-9,-11,-1,-5,-3,2,1,-7
1529288006101062,-7,-4,7,10,14,2,4,-3
1529288006116022,-1,-3,-2,-27,-23,-4,-2,-2
1529288006116022,6,16,10,0,0,5,8,1
1529288006124001,2,-4,-3,-2,0,4,2,1
1529288006124001,-4,-6,-9,-11,-11,-9,-10,-7
