timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528181830659273,-1,-9,8,13,-11,5,-1,-2
1528181830659273,1,1,19,-2,-11,-3,0,0
1528181830660269,-1,-3,-60,-29,11,3,2,-1
1528181830660269,-2,-4,2,-9,-41,-5,-3,-1
1528181830682211,1,3,14,11,46,1,3,3
1528181830682211,-3,-7,-47,-3,2,6,-3,-3
1528181830683208,-1,6,23,8,0,0,-7,-3
1528181830683208,-2,-6,1,7,-19,-11,0,-1
1528181830697170,1,2,-22,-31,-18,-4,-1,2
1528181830697170,-1,-5,25,20,17,0,-2,0
1528181830698168,0,9,4,-5,-12,1,0,0
1528181830698168,2,8,-8,-7,-6,12,-2,1
1528181830719112,-8,-8,-58,-26,-17,-12,0,-5
1528181830719112,3,7,34,16,55,9,5,2
1528181830720109,2,8,-1,23,11,14,4,1
1528181830720109,1,3,10,6,3,0,2,0
1528181830742051,0,-12,-47,2,-3,-5,-4,-2
1528181830742051,-3,1,-2,-22,-20,-12,-4,0
1528181830743049,-2,7,36,9,-15,-5,-10,-8
1528181830743049,-2,-1,78,-19,-43,-15,3,-2
1528181830757010,-2,-3,-54,-8,30,-2,-4,0
1528181830757010,-1,-5,38,7,-28,-9,-4,-1
1528181830758008,-2,-15,-12,-32,2,6,-3,-1
1528181830758008,2,7,22,-10,31,11,7,1
1528181830779949,4,3,-28,20,20,17,6,3
1528181830779949,-5,-27,71,22,-5,-3,-1,-2
1528181830780946,-2,-4,-29,-26,-23,12,-11,-2
1528181830780946,-4,-11,-47,-4,-3,-54,-5,-3
1528181830801935,-2,3,-5,1,-64,-1,-3,-3
1528181830801935,4,10,12,13,63,-9,3,4
1528181830802889,3,12,25,34,45,52,18,3
1528181830802889,0,-2,-73,-19,9,40,0,1
1528181830816904,-1,-7,4,-12,2,-21,-5,-1
1528181830816904,-7,-16,25,8,-57,-30,-11,-7
1528181830817849,-5,-11,-30,-19,-19,-17,-7,-4
1528181830817849,-3,-1,-41,-3,-44,-4,-6,-3
1528181830839817,4,17,127,62,85,2,7,4
1528181830839817,-7,-18,-127,-96,-71,-4,-6,-4
1528181830840787,1,11,77,-2,9,-25,-1,0
1528181830840787,3,-11,6,20,5,11,2,2
1528181830861731,-4,5,-2,-49,-24,-2,-8,-8
1528181830861731,-4,-5,-36,-15,-10,10,-1,-3
1528181830862728,2,11,-49,26,4,-19,4,1
1528181830862728,2,8,116,45,98,13,5,3
1528181830876691,-7,-13,-55,-26,-12,27,0,-3
1528181830876691,6,23,-4,39,7,5,4,2
1528181830877688,-3,-19,53,10,-3,-5,-1,1
1528181830877688,1,3,9,-8,-46,-18,-7,-2
1528181830899630,4,26,44,0,-25,-14,-5,-1
1528181830899630,-2,-14,-37,2,13,-2,-2,-4
1528181830900628,-1,5,22,-36,-11,-12,-6,-1
1528181830900628,-5,-11,-121,-32,17,-8,-4,-5
1528181830922600,2,2,78,20,-27,-2,0,0
1528181830922600,-3,1,102,42,43,18,2,-1
1528181830922600,-3,-23,-89,-42,13,38,8,1
1528181830922600,1,-8,-31,15,-2,-6,0,3
1528181830937528,-1,11,28,13,-11,-15,-8,-3
1528181830937528,-2,0,68,-11,20,5,10,1
1528181830937528,0,-2,-18,21,14,-13,-6,-3
1528181830937528,-5,5,-12,-37,-22,-12,-18,-7
1528181830959512,0,-12,15,28,-15,-3,7,1
1528181830959512,9,24,-32,-10,-1,0,-4,2
1528181830960477,-14,-8,53,28,16,1,4,-2
1528181830960477,-2,-15,44,5,-11,9,-1,-1
1528181830982409,-9,-24,-37,-37,1,-9,-3,-2
1528181830982409,0,2,40,16,-9,2,-4,0
1528181830983405,-1,24,9,-2,-13,-17,-1,5
1528181830983405,8,13,-1,-2,1,3,-3,0
1528181830997369,7,-9,-27,33,25,15,8,3
1528181830997369,0,27,-10,4,-7,6,4,1
1528181830998365,-8,-55,-24,-38,-17,-14,0,-5
1528181830998365,-3,8,50,30,8,3,-8,2
1528181831021309,8,6,-3,20,37,25,12,4
1528181831021309,-3,-6,-19,-5,-24,-6,-6,-3
1528181831022303,7,21,72,42,2,-6,5,2
1528181831022303,0,4,-60,-80,-9,-1,2,-2
1528181831042248,-10,4,-20,-38,-12,-7,-6,-6
1528181831042248,4,-4,-76,-20,-5,-1,1,0
1528181831043245,0,50,6,21,-1,-3,-4,-3
1528181831043245,-7,-47,13,-7,1,4,5,-3
1528181831056258,-6,16,38,20,0,-1,-6,4
1528181831056258,14,16,-5,-8,2,0,3,0
1528181831065187,-20,-34,-27,-9,-6,-7,-18,0
1528181831065187,3,-6,19,18,3,3,8,-10
1528181831080147,1,-26,51,4,1,-2,-2,-6
1528181831080147,-17,-41,90,15,-8,-6,2,-3
1528181831080147,5,19,1,5,-1,-11,-5,4
1528181831080147,2,-9,21,15,2,11,8,0
1528181831102139,33,8,5,-7,6,39,57,22
1528181831102139,-18,-9,-75,-2,-4,-22,-25,-14
1528181831103103,11,-5,-34,-6,1,26,21,17
1528181831103103,-12,24,19,-6,0,-3,-6,-19
1528181831118084,-10,6,-18,-1,-5,-9,-14,-12
1528181831118084,16,19,-45,-12,1,5,9,13
1528181831125076,-8,-35,-25,-33,-14,-17,-10,-16
1528181831125076,1,1,-4,8,-1,-7,-5,11
1528181831140039,-18,32,10,27,10,0,-7,-3
1528181831140039,-14,-58,-21,-18,-10,-7,-9,-8
1528181831140039,-8,-12,-43,-9,2,-5,-18,-7
1528181831140039,3,30,33,13,-2,6,12,6
1528181831161957,3,-38,-50,-14,-4,-18,-16,-1
1528181831161957,3,7,25,-10,-6,-3,-8,0
1528181831162942,4,34,38,9,4,1,-6,-1
1528181831162942,-8,-30,79,47,7,-4,15,-1
1528181831176889,2,43,-30,-44,-7,33,25,3
1528181831176889,1,-60,-14,5,-1,4,7,3
1528181831184902,5,-22,24,7,3,-2,-14,-2
1528181831184902,-4,31,-3,-1,0,-3,5,3
1528181831199844,-3,-28,4,1,-3,-26,-20,-3
1528181831199844,-11,24,-15,-5,1,7,3,-7
1528181831200826,17,33,35,2,-8,-4,3,4
1528181831200826,-11,-70,-54,21,9,-7,-16,2
1528181831221771,1,19,-28,-40,-3,-6,-6,0
1528181831221771,4,50,-10,-2,4,10,2,-2
1528181831222766,-14,-42,27,31,9,1,3,-8
1528181831222766,5,33,-29,-16,-13,0,-2,2
1528181831236728,1,-21,21,8,-1,-6,-8,-6
1528181831236728,0,-6,72,43,-1,-2,0,2
1528181831244707,2,48,-21,-18,-17,-6,6,-2
1528181831244707,6,11,-42,2,13,10,-2,-2
1528181831259667,-4,2,88,39,1,-5,-9,-6
1528181831259667,-4,-45,-114,-49,-4,-5,-6,0
1528181831260664,3,92,33,26,-6,-5,3,-5
1528181831260664,-2,-35,46,-37,2,3,-3,-2
1528181831290584,-7,-12,-28,-7,-20,0,0,5
1528181831290584,6,19,-39,-3,48,15,9,5
1528181831291584,4,-11,-2,7,-7,4,-5,-5
1528181831291584,-5,-12,-84,-37,-17,-9,-6,-2
1528181831296616,-5,-28,27,19,18,-5,-6,-3
1528181831296616,1,11,64,26,15,2,-7,-2
1528181831304690,-2,-15,-10,-6,-11,-5,12,0
1528181831304690,-3,5,-3,-11,17,3,-2,3
1528181831319667,0,-6,-110,-5,-4,7,5,-5
1528181831319667,0,15,44,-23,-30,-12,1,2
1528181831320508,-4,-83,-39,-12,15,5,-3,-3
1528181831320508,10,43,31,15,-6,-4,-1,5
1528181831341645,-10,12,16,0,13,-17,-13,-4
1528181831341645,-12,-6,-37,14,-19,-1,6,-4
1528181831342642,0,12,-38,-46,11,8,-3,-1
1528181831342642,-9,21,47,13,-37,-13,-6,-3
1528181831356623,8,-35,50,2,-9,-2,-4,1
1528181831356623,4,-5,-35,-30,-21,-17,-8,-3
