timestamp,x,y,z
1528181835933714,0.375,-0.125,-0.5625
1528181835940695,0.25,-0.0625,-0.5625
1528181835962705,0.1875,0.125,-0.25
1528181835986573,0.1875,-0.125,-0.125
1528181836007517,0.1875,-0.1875,-0.125
1528181836023475,0.0,0.0,-0.0625
1528181836046413,-0.375,0.25,-0.1875
1528181836068352,-0.125,0.4375,-0.4375
1528181836083356,0.875,0.6875,-0.9375
1528181836106290,1.3125,0.8125,-1.3125
1528181836128195,1.3125,1.0625,-1.5
1528181836143154,1.5,1.4375,-1.5625
1528181836166091,2.125,1.4375,-1.75
1528181836189069,3.25,2.1875,-2.375
1528181836209975,4.375,2.8125,-2.6875
1528181836225931,5.625,3.375,-2.875
1528181836248886,5.25,3.375,-1.9375
1528181836269815,4.8125,3.375,-1.4375
1528181836285773,6.125,3.125,-0.875
1528181836308712,6.875,2.75,-0.4375
1528181836330653,5.4375,2.8125,0.8125
1528181836353592,4.8125,2.8125,0.5
1528181836368552,6.375,2.6875,0.9375
1528181836407448,8.5625,2.125,0.3125
1528181836412435,9.0,1.75,0.625
1528181836428392,8.1875,1.6875,0.5625
1528181836449334,7.75,1.75,1.4375
1528181836467289,6.6875,2.3125,1.8125
1528181836488230,6.0625,2.625,2.1875
1528181836510184,6.9375,3.0,2.75
1528181836526129,7.9375,2.9375,2.0625
1528181836549070,7.5,2.5,1.625
1528181836570012,4.5,2.3125,2.0
1528181836585970,1.75,2.0,2.0625
1528181836609137,0.3125,1.4375,0.375
1528181836630033,0.0625,1.3125,-1.0
1528181836645993,-1.5625,0.75,-2.0
1528181836668929,-4.5625,0.5625,-2.5625
1528181836689873,-2.5,1.4375,-3.8125
1528181836705975,3.4375,3.1875,-5.5625
1528181836728771,11.5,4.625,-9.25
1528181836750711,18.8125,4.6875,-13.0
1528181836765670,23.4375,3.0625,-15.0
1528181836788814,20.125,0.75,-11.75
1528181836809902,10.4375,-1.375,-2.3125
1528181836825723,1.1875,-0.5625,7.5
1528181836848654,-0.8125,0.875,13.625
1528181836869740,1.5,1.5625,13.8125
1528181836885562,2.875,1.25,13.1875
1528181836914614,0.0625,1.125,11.25
1528181836931433,-2.125,0.75,9.1875
1528181836953374,-1.875,0.0,5.3125
1528181836974318,-1.4375,-1.375,3.25
1528181836991286,-5.3125,-2.5625,2.125
1528181837013214,-7.3125,-2.8125,1.875
1528181837035293,-7.0,-3.125,1.25
1528181837051474,-8.25,-3.25,0.625
1528181837073416,-11.6875,-3.625,0.0625
1528181837079400,-14.125,-4.25,-1.875
1528181837101478,-13.5625,-4.3125,-4.0625
1528181837116444,-13.0,-4.375,-6.5
1528181837139633,-13.5625,-4.0625,-8.625
1528181837161799,-12.375,-3.0,-10.375
1528181837176871,-8.8125,-2.25,-11.75
1528181837199672,-4.875,-0.75,-12.75
1528181837221750,0.125,0.375,-14.25
1528181837236913,5.0,1.0625,-14.1875
1528181837259728,6.3125,0.0,-12.25
1528181837281788,2.875,-1.0,-7.3125
1528181837296955,-2.8125,-1.125,-0.25
1528181837318922,-5.4375,-1.0625,6.3125
1528181837341829,-3.3125,-0.0625,9.5
1528181837356634,3.0625,0.875,10.75
1528181837379603,4.5625,1.0,9.25
1528181837401654,3.75,0.8125,7.4375
1528181837416629,0.875,-0.0625,5.625
1528181837439546,-1.0,-1.1875,3.875
1528181837463503,0.5,-1.4375,2.3125
1528181837478594,2.0,-1.3125,1.8125
1528181837499455,-0.4375,-1.0,1.4375
1528181837521418,-3.8125,-0.625,1.375
1528181837538390,-4.125,-0.4375,0.5625
1528181837559307,-3.75,-0.375,-0.125
1528181837581237,-5.1875,-0.4375,-1.375
1528181837598193,-6.375,-0.75,-2.1875
1528181837619191,-7.875,-1.375,-2.3125
1528181837641132,-8.9375,-1.8125,-2.5
1528181837657062,-8.75,-1.625,-2.1875
1528181837679033,-7.125,-1.5,-2.0625
1528181837701972,-5.625,-0.9375,-1.5
1528181837716936,-5.4375,-0.0625,-0.3125
1528181837738867,-3.75,1.1875,-0.4375
1528181837761762,0.875,2.1875,-1.125
1528181837785691,5.5625,2.125,-1.5
1528181837798713,4.75,0.6875,-0.25
1528181837821642,-1.0625,-0.25,3.125
1528181837837759,-4.5625,-0.625,6.1875
1528181837858840,-5.4375,-0.6875,8.4375
1528181837878626,-4.9375,-0.5625,9.8125
1528181837900120,-3.75,-0.3125,9.1875
1528181837919200,-2.0625,-0.5625,6.25
1528181837937149,-0.375,-0.875,2.625
1528181837960091,-1.25,-1.75,-0.3125
1528181837979072,-4.8125,-2.1875,-2.125
1528181837996991,-7.1875,-1.9375,-3.0625
1528181838020011,-6.75,-1.3125,-3.75
1528181838039891,-5.8125,-0.5625,-4.25
1528181838054551,-5.875,-0.1875,-5.4375
1528181838076443,-6.4375,-0.1875,-6.75
1528181838099511,-7.9375,-0.625,-7.625
1528181838117331,-9.1875,-1.0,-8.625
1528181838136445,-9.375,-1.75,-9.3125
1528181838159629,-9.0,-2.5625,-9.875
1528181838174434,-8.9375,-2.625,-9.1875
1528181838196511,-8.125,-2.0,-8.5
1528181838219652,-5.625,-1.0625,-6.8125
1528181838234589,-2.5625,0.75,-4.1875
1528181838256424,1.0,3.25,-1.1875
1528181838279645,6.4375,4.0625,-0.1875
1528181838294531,10.0625,3.0625,2.0625
1528181838316647,7.3125,1.5625,5.3125
1528181838338810,1.875,0.3125,8.5
1528181838353728,-1.6875,-1.1875,12.0
1528181838376663,-3.0,-1.8125,14.875
1528181838399604,-1.5625,-2.0,15.9375
1528181838414561,1.0625,-2.375,14.875
1528181838439495,3.375,-2.3125,12.4375
1528181838459441,3.875,-2.0,8.3125
1528181838475406,3.75,-1.75,4.0625
1528181838496477,4.125,-1.3125,0.4375
1528181838519402,4.625,-1.4375,-2.5
1528181838535427,4.625,-1.4375,-4.5625
1528181838556398,3.75,-1.125,-5.6875
1528181838579645,2.0625,-0.625,-6.75
1528181838595461,-0.4375,-0.4375,-7.25
