timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529286641741093,0,2,-6,-2,2,-4,-5,-5
1529286641741093,0,3,16,0,-5,-5,-2,-1
1529286641742090,1,5,-2,2,-9,2,1,0
1529286641742090,1,2,2,4,18,6,3,0
1529286641755055,-1,1,0,-2,-2,3,1,1
1529286641755055,3,4,3,6,-11,6,2,0
1529286641761039,-5,-9,-16,-17,-28,-13,-4,-2
1529286641761039,-7,-14,-15,-6,5,4,4,-4
1529286641770015,-1,3,6,2,-10,-7,-3,-2
1529286641770015,-2,-9,-11,-5,0,-3,0,0
1529286641783978,-3,-5,0,-7,-13,-4,-3,0
1529286641783978,-4,3,-4,-5,7,-3,-6,-4
1529286641792954,2,7,12,2,-31,-8,-7,-1
1529286641792954,4,7,3,4,44,15,10,5
1529286641798979,-2,-3,1,-2,-15,-3,0,-1
1529286641798979,3,-5,-1,4,12,2,-4,2
1529286641814943,8,10,7,2,6,0,6,6
1529286641814943,-5,-10,-12,-1,-10,-2,-9,-5
1529286641821898,0,-9,0,0,-2,1,7,2
1529286641821898,-4,5,0,-6,-15,-12,-7,-5
1529286641830888,1,8,2,1,24,7,-2,0
1529286641830888,3,5,7,1,-23,-5,-4,-1
1529286641843853,3,5,2,0,16,10,5,3
1529286641843853,-6,-9,-17,-8,-19,-12,-8,-5
1529286641852794,3,4,20,13,16,8,6,4
1529286641852794,-6,-11,-7,0,-7,-6,-2,-6
1529286641858806,-2,-3,-11,-7,-12,-2,-6,-2
1529286641858806,-1,-1,3,4,7,8,10,5
1529286641875735,-9,-3,-13,-14,-13,-9,-8,-7
1529286641875735,6,3,14,12,2,-7,-1,3
1529286641881717,4,9,7,-2,-4,-4,-4,-2
1529286641881717,-4,-2,-4,-1,13,0,-3,-3
1529286641896677,-2,-19,-5,1,-5,5,7,3
1529286641896677,-5,9,1,-5,13,4,-1,-3
1529286641903704,5,1,-2,-3,-25,-3,7,5
1529286641903704,3,7,15,13,37,13,0,0
1529286641912635,0,-2,-8,0,-4,0,-1,-3
1529286641912635,-10,-16,-16,-21,-16,1,2,-1
1529286641918621,3,2,11,10,13,2,-4,1
1529286641918621,-5,-4,-5,-2,-9,-6,-2,-10
1529286641935574,4,-2,-5,-4,-4,-2,-1,0
1529286641935574,0,4,9,8,6,-3,-2,-1
1529286641941557,-5,1,1,-6,6,6,0,-2
1529286641941557,5,-5,-3,-6,-6,-1,2,6
