timestamp,x,y,z
1529286761113335,-4.5625,1.1875,-6.3125
1529286761155223,-1.625,7.75,-10.8125
1529286761164199,29.1875,14.8125,-19.0
1529286761177165,46.0625,27.375,-34.875
1529286761192124,73.5625,43.4375,-53.6875
1529286761214065,81.125,62.1875,-73.1875
1529286761229026,88.375,79.625,-89.5625
1529286761252962,86.125,90.3125,-109.56299999999999
1529286761274903,69.9375,103.125,-128.875
1529286761288866,37.75,116.125,-153.438
1529286761311804,-18.3125,125.93799999999999,-174.125
1529286761335742,-71.25,135.563,-192.25
1529286761348705,-96.9375,145.813,-211.438
1529286761371644,-117.125,155.563,-231.125
1529286761394625,-132.375,163.063,-249.313
1529286761408593,-129.625,166.625,-264.25
1529286761432481,-130.25,165.75,-281.625
1529286761454423,-130.938,161.0,-294.125
1529286761469382,-141.313,153.625,-294.125
1529286761492323,-170.5,145.5,-285.0
1529286761514263,-189.188,140.313,-265.125
1529286761529258,-181.5,135.25,-238.813
1529286761552200,-170.625,129.375,-217.438
1529286761574102,-144.688,119.18799999999999,-199.188
1529286761589098,-104.43799999999999,106.0,-183.5
1529286761619980,-70.75,91.3125,-169.375
1529286761634941,-71.4375,76.6875,-158.563
1529286761648904,-73.4375,65.25,-147.25
1529286761671879,-55.8125,53.625,-131.125
1529286761694780,-45.0,42.8125,-115.81299999999999
1529286761710773,-40.6875,30.75,-109.0
1529286761731681,-32.125,20.8125,-99.5
1529286761754661,-27.5625,14.125,-84.5
1529286761770611,-23.0,10.1875,-70.25
1529286761791523,-11.625,6.9375,-62.875
1529286761814461,0.6875,2.1875,-58.125
1529286761830417,8.25,-4.9375,-51.1875
1529286761852405,13.875,-6.875,-41.25
1529286761874301,22.6875,-6.0625,-33.1875
1529286761897425,1.125,4.5,-27.125
1529286761912384,-7.9375,13.625,-9.75
1529286761934209,-5.125,20.4375,13.8125
1529286761950167,1.8125,18.75,26.625
1529286761972650,13.625,7.375,20.125
1529286761994674,13.375,-2.8125,9.5625
1529286762010857,2.4375,-6.9375,8.5
1529286762032186,-1.375,-7.0625,10.125
1529286762055302,-9.3125,-7.9375,10.75
1529286762070223,-12.5,-9.5625,9.25
1529286762091867,-6.0625,-9.125,11.125
1529286762115186,-10.125,-6.625,12.1875
1529286762130987,-8.625,-5.9375,7.8125
1529286762152375,0.9375,-6.9375,1.625
1529286762176477,4.125,-7.1875,-2.875
1529286762198634,-1.0625,-6.8125,-4.6875
1529286762212802,2.0625,-5.3125,-7.875
1529286762235767,2.375,-6.625,-13.375
1529286762250699,2.0,-7.375,-17.125
1529286762273061,7.5,-7.125,-16.4375
1529286762295999,5.75,-5.1875,-14.3125
1529286762311027,1.5,-5.8125,-13.0625
1529286762340034,6.375,-6.3125,-7.75
1529286762356028,4.875,-0.1875,2.1875
1529286762370195,-0.3125,3.875,14.25
1529286762392715,7.5625,4.0625,22.5625
1529286762423458,15.9375,-1.375,31.875
1529286762437652,4.625,-4.0,38.5
1529286762453817,5.5625,-7.125,47.4375
1529286762476659,14.0625,-9.6875,62.4375
1529286762497136,22.6875,-16.5625,75.0
1529286762512912,34.5,-27.5625,84.5
1529286762536039,47.9375,-38.125,97.0625
1529286762556982,53.6875,-46.1875,111.625
1529286762572940,61.75,-55.0625,122.18799999999999
1529286762595880,71.125,-68.125,128.375
1529286762616822,85.125,-81.8125,134.5
1529286762632781,94.8125,-91.875,140.813
1529286762655719,101.5,-101.18799999999999,152.25
1529286762676664,106.06299999999999,-108.81299999999999,164.188
1529286762692619,115.18799999999999,-115.31299999999999,179.063
1529286762715558,126.125,-121.31299999999999,192.0
1529286762737499,124.06299999999999,-129.563,193.125
1529286762752459,108.43799999999999,-136.938,191.688
1529286762776395,103.81299999999999,-141.125,198.5
1529286762797385,114.625,-143.25,202.0
1529286762813298,119.43799999999999,-143.313,195.25
1529286762836237,107.93799999999999,-143.063,190.313
1529286762857181,102.75,-139.75,192.938
1529286762873139,94.25,-130.875,190.25
1529286762896517,87.375,-123.875,178.688
1529286762917725,77.625,-119.56299999999999,167.438
1529286762932552,75.25,-118.06299999999999,164.063
1529286762956597,72.625,-113.93799999999999,157.188
1529286762977593,68.4375,-106.25,140.688
1529286762992562,72.0,-99.1875,126.18799999999999
1529286763015496,68.1875,-93.9375,116.375
1529286763037613,57.75,-88.875,115.18799999999999
1529286763052668,44.0,-82.0,110.93799999999999
1529286763075566,32.0,-75.0,102.375
1529286763097831,26.375,-68.0625,96.0
1529286763113525,25.5,-62.4375,90.9375
1529286763135633,27.625,-56.8125,84.5
1529286763157808,26.625,-51.0,75.4375
1529286763172768,17.1875,-45.375,65.4375
1529286763195711,2.75,-40.25,54.125
1529286763218646,-10.5625,-34.9375,41.0625
