timestamp,x,y,z
1528450293102956,-12.125,22.6875,12.0625
1528450293123954,-41.9375,40.625,51.75
1528450293139871,-14.8125,39.5625,107.125
1528450293162796,47.8125,42.4375,144.313
1528450293183741,80.4375,71.9375,162.938
1528450293200730,50.3125,89.5,190.188
1528450293222637,19.4375,102.43799999999999,225.938
1528450293243581,17.9375,130.313,261.313
1528450293260535,25.1875,151.625,289.75
1528450293282477,16.9375,157.5,317.875
1528450293303447,8.1875,138.563,339.625
1528450293320375,17.375,113.18799999999999,360.93800000000005
1528450293333349,17.8125,100.125,366.625
1528450293348300,6.625,81.5625,372.18800000000005
1528450293370242,16.875,65.5,364.81300000000005
1528450293393181,19.9375,41.875,347.375
1528450293408140,24.875,12.75,326.0
1528450293430083,26.5,-9.4375,300.625
1528450293453069,7.625,-36.0,261.938
1528450293467979,-14.8125,-67.5625,223.938
1528450293490965,-26.1875,-89.875,180.25
1528450293512887,-25.375,-87.5625,128.438
1528450293527872,-27.0625,-77.8125,76.9375
1528450293550812,-15.8125,-71.625,56.125
1528450293572701,-14.0,-63.625,28.0
1528450293587669,-28.1875,-54.3125,5.875
1528450293610614,-42.5,-38.8125,9.6875
1528450293633590,0.0625,-7.9375,-0.1875
1528450293648552,11.3125,2.9375,1.8125
1528450293670439,5.8125,11.875,6.3125
1528450293693437,20.375,30.75,8.1875
1528450293708393,31.875,51.625,0.625
1528450293730292,25.5,65.125,-9.375
1528450293753479,15.375,70.125,-21.6875
1528450293768431,10.5,66.5,-25.375
1528450293790792,-6.75,46.5,-12.25
1528450293812685,-22.5625,17.8125,8.875
1528450293828408,-23.6875,-6.6875,18.875
1528450293851165,-18.0,-20.5,21.0625
1528450293873178,-20.8125,-39.8125,26.75
1528450293888388,-38.875,-60.625,29.0
1528450293910329,-28.1875,-58.125,25.5
1528450293933528,-7.75,-35.5625,9.5
1528450293949541,4.5,23.5625,-6.3125
1528450293970783,32.875,66.4375,-20.1875
1528450294002193,74.3125,73.75,-18.875
1528450294008171,41.5625,64.9375,-5.75
1528450294030694,23.25,60.4375,-0.625
1528450294053403,25.6875,45.5,0.1875
1528450294068131,18.375,16.9375,2.75
1528450294090886,8.1875,2.625,0.3125
1528450294112877,-10.875,12.5,-15.75
1528450294127822,3.625,36.125,-42.0625
1528450294150973,28.5,66.75,-58.125
1528450294182014,-0.9375,52.8125,-85.875
1528450294189899,13.3125,48.375,-106.25
1528450294218443,38.3125,70.0625,-125.18799999999999
1528450294233845,70.0,125.56299999999999,-132.313
1528450294249473,111.875,171.813,-140.563
1528450294271056,145.5,152.75,-132.125
1528450294293033,162.5,97.25,-107.125
1528450294310947,182.188,65.9375,-107.18799999999999
1528450294331159,208.313,78.5625,-104.06299999999999
1528450294353840,244.75,94.875,-105.68799999999999
1528450294369790,259.875,97.4375,-93.8125
1528450294390738,221.688,129.125,-100.43799999999999
1528450294413951,154.625,164.438,-106.43799999999999
1528450294430087,144.5,168.25,-76.9375
1528450294451354,102.31299999999999,151.125,-58.5
1528450294473196,65.125,138.5,-49.125
1528450294497175,62.875,127.625,-30.9375
1528450294511137,69.0625,108.68799999999999,-21.125
1528450294533866,73.6875,88.5625,-21.0625
1528450294557132,35.1875,68.0,-16.125
1528450294571093,26.9375,54.3125,-8.9375
1528450294593297,40.875,39.3125,-0.625
1528450294611035,35.0,26.9375,-0.875
1528450294631438,27.625,18.375,2.9375
1528450294649338,21.75,13.125,5.3125
1528450294671253,12.25,5.375,2.6875
1528450294690447,1.3125,1.0625,1.375
1528450294708423,4.9375,-2.1875,-3.9375
1528450294731092,2.875,-6.875,-4.75
1528450294751085,-2.4375,-8.9375,-9.6875
1528450294775973,7.375,-17.9375,-15.8125
1528450294789944,7.4375,-46.5,-30.6875
1528450294810931,-2.0,-79.875,-51.5
1528450294826841,-4.25,-117.875,-71.0
1528450294849828,-13.5625,-156.5,-90.8125
1528450294871716,-21.125,-192.125,-114.18799999999999
1528450294886685,-28.4375,-224.75,-134.125
1528450294910612,-20.3125,-242.875,-145.625
1528450294931592,-22.5,-260.875,-158.0
1528450294947556,-11.625,-281.625,-171.25
1528450294970451,-12.875,-303.313,-171.688
1528450294992392,-39.375,-317.625,-179.0
1528450295007405,-45.1875,-312.75,-191.875
1528450295030293,-37.4375,-308.875,-194.938
1528450295052291,-41.375,-291.813,-180.313
1528450295074178,-26.875,-262.75,-168.25
1528450295090142,18.5625,-230.438,-163.813
1528450295113085,37.75,-196.875,-156.188
1528450295134016,4.4375,-178.563,-132.125
1528450295149984,-31.0625,-159.063,-108.06299999999999
1528450295171929,-19.75,-137.063,-97.3125
1528450295186938,29.9375,-120.56299999999999,-83.625
1528450295211009,51.0625,-105.75,-67.3125
1528450295231755,31.3125,-85.0625,-50.9375
1528450295247715,-6.8125,-68.0625,-37.75
1528450295270659,-16.875,-59.125,-27.875
