timestamp,x,y,z
1528186420014087,-5.3125,-2.8125,6.4375
1528186420024064,-17.3125,-1.0,10.375
1528186420044141,-22.75,-0.75,13.6875
1528186420057980,-22.25,-2.6875,15.5
1528186420079911,-21.375,-2.9375,15.625
1528186420102900,-24.5625,-0.4375,15.0625
1528186420117859,-27.4375,1.5625,12.75
1528186420140777,-26.6875,1.5,10.25
1528186420155746,-27.75,1.5625,7.9375
1528186420177690,-29.75,1.25,4.1875
1528186420200589,-32.625,2.625,-0.0625
1528186420215549,-38.9375,1.125,-4.375
1528186420237502,-42.1875,1.1875,-10.375
1528186420261426,-32.625,-1.875,-16.6875
1528186420275426,-16.0625,-5.1875,-21.3125
1528186420297330,0.75,-6.4375,-26.5
1528186420320268,16.0625,-9.0,-29.875
1528186420338222,27.3125,-10.75,-32.375
1528186420365148,34.125,-13.25,-34.5
1528186420389104,38.1875,-15.25,-35.125
1528186420403047,39.875,-16.5625,-33.625
1528186420418055,36.0,-16.9375,-31.0625
1528186420439950,26.625,-16.3125,-27.625
1528186420462887,12.6875,-14.6875,-22.125
1528186420485834,0.0625,-12.9375,-15.625
1528186420499789,-6.0625,-8.875,-8.9375
1528186420514778,-0.8125,-3.9375,-3.625
1528186420537717,11.1875,1.0,-0.4375
1528186420572593,21.5,5.4375,5.1875
1528186420576583,29.875,9.1875,9.5
1528186420598068,35.6875,12.9375,15.6875
1528186420620756,31.625,19.5625,21.6875
1528186420635714,18.875,25.125,25.1875
1528186420657708,3.125,29.3125,28.0625
1528186420689571,-12.5625,29.5625,33.125
1528186420695609,-17.9375,30.375,32.1875
1528186420717495,-16.0625,28.25,33.375
1528186420743427,-14.8125,25.25,28.625
1528186420762376,-14.6875,21.3125,24.125
1528186420778334,-8.6875,17.125,19.375
1528186420800329,-5.25,11.75,14.125
1528186420816286,-1.625,6.625,7.8125
1528186420839170,4.8125,2.0,2.4375
1528186420860174,11.4375,-2.1875,-3.4375
1528186420877125,16.75,-5.75,-8.8125
1528186420898012,19.875,-8.75,-12.0625
1528186420919954,19.25,-10.9375,-13.4375
1528186420936909,16.125,-12.0,-13.5625
1528186420966158,12.25,-12.375,-13.3125
1528186420980101,8.5,-12.625,-12.6875
1528186420998068,4.8125,-12.625,-10.875
1528186421020991,1.3125,-12.5625,-8.4375
1528186421044050,-2.5,-12.8125,-5.6875
1528186421057906,-7.4375,-12.25,-3.625
1528186421080151,-11.0625,-12.125,-1.9375
1528186421101414,-20.875,-9.0625,2.75
1528186421117421,-17.375,-9.8125,1.1875
1528186421140029,-11.9375,-8.5625,0.875
1528186421161306,-6.875,-5.5625,0.0625
1528186421177958,-9.0,-3.4375,-0.8125
1528186421200024,-11.375,-1.625,-1.1875
1528186421220841,-13.875,1.0,-0.625
1528186421238052,-18.4375,3.6875,0.4375
1528186421259737,-22.625,6.1875,1.8125
1528186421281822,-20.0625,5.6875,1.0
1528186421297636,-9.625,6.0,1.0625
1528186421320595,-3.6875,5.0625,-1.1875
1528186421341917,0.5625,4.1875,-2.75
1528186421357481,-0.5,3.3125,-3.125
1528186421379990,-4.875,2.25,-3.375
1528186421401175,-7.8125,2.0625,-3.1875
1528186421417885,-7.375,1.875,-3.6875
1528186421447804,-2.8125,1.5,-4.5
1528186421461030,4.125,1.25,-4.25
1528186421476727,10.3125,0.6875,-3.3125
