timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529564316805730,0,0,-1,-1,-1,-1,1,-3
1529564316805730,0,-1,1,-1,1,1,0,-2
1529564316814707,-1,0,-3,-1,0,0,-1,-1
1529564316814707,-2,-2,0,-2,-1,-1,0,0
1529564316828671,-1,0,-1,0,-1,1,1,1
1529564316828671,0,-1,-1,-1,0,0,0,-1
1529564316837646,-3,1,-1,0,-2,-1,0,1
1529564316837646,-1,1,0,-2,-1,-2,-1,-1
1529564316843631,-1,0,-1,-1,-1,-1,0,-2
1529564316843631,-1,-2,-2,0,-3,-2,1,0
1529564316858590,1,-1,0,1,0,-2,0,0
1529564316858590,0,0,-2,-2,-2,1,0,0
1529564316865572,-1,-1,0,0,0,-1,-1,-1
1529564316865572,0,0,-1,-1,-1,-1,-2,-1
1529564316875547,-3,1,0,0,0,-1,-2,-1
1529564316875547,-1,-1,-2,1,-3,-1,-1,-1
1529564316888545,1,-1,-2,-1,-1,-3,-2,-1
1529564316888545,-1,0,0,1,0,-1,-1,-1
1529564316897486,-1,-1,-1,0,-2,0,-2,0
1529564316897486,1,-1,-1,-1,0,-1,-2,-2
1529564316903505,-2,-1,0,0,0,0,-1,-2
1529564316903505,-2,0,-1,-1,-1,-3,-2,-1
1529564316918432,0,-3,-2,0,-1,-1,-2,-2
1529564316918432,-1,0,-1,-1,-1,-1,0,1
1529564316926441,-1,-1,0,-1,0,-2,0,-2
1529564316926441,0,1,1,0,-1,-2,-1,0
1529564316935436,-1,-2,-1,0,-1,1,1,0
1529564316935436,-1,-1,-2,-1,-2,-2,-2,0
1529564316948350,-2,-1,-1,-1,-1,0,0,0
1529564316948350,-1,0,-1,-2,1,1,1,-1
1529564316957329,0,-2,0,-2,-1,0,0,0
1529564316957329,0,1,0,1,0,0,0,0
1529564316963311,1,0,0,0,-1,0,-2,2
1529564316963311,-1,-2,0,-1,-1,-1,1,-1
1529564316978271,-1,0,-1,-1,-1,-1,-2,-1
1529564316978271,0,-2,1,-2,0,-1,-2,-1
1529564316986251,0,-1,-1,-1,-3,-3,0,-1
1529564316986251,-1,-1,-1,0,1,0,1,-2
1529564316995225,1,-1,1,0,0,0,-1,1
1529564316995225,-1,-2,-1,0,1,-2,1,-1
1529564317008192,-1,0,1,-1,1,0,-2,1
1529564317008192,0,-1,0,0,-2,-1,-1,0
1529564317017189,1,1,-1,-1,0,-1,0,-1
1529564317017189,1,0,0,0,-2,-1,-1,-1
1529564317023173,0,0,-2,-1,-1,0,0,0
1529564317023173,-1,0,0,0,-2,-2,0,-1
1529564317038134,0,0,0,-1,0,-1,1,-2
1529564317038134,-1,0,-1,-1,0,1,-2,0
1529564317046111,-1,0,-2,-3,0,0,0,-2
1529564317046111,1,0,-1,0,-2,-2,0,0
1529564317055089,0,0,-1,-1,-2,-2,0,-1
1529564317055089,-2,-2,0,-1,0,-1,1,-2
1529564317069050,-1,-1,1,1,-1,0,-1,0
1529564317069050,0,-1,-1,0,1,0,-2,1
1529564317078026,0,-1,0,-1,0,0,-2,-1
1529564317078026,-1,-1,-2,0,0,-1,-1,0
1529564317084056,-1,0,0,1,0,1,0,0
1529564317084056,-1,0,-2,-1,-3,-2,-1,-2
1529564317099005,-1,-1,0,2,0,-1,0,1
1529564317099005,-1,1,-3,-1,0,1,-1,-1
1529564317105986,-1,-1,-1,-2,-1,-1,0,-3
1529564317105986,1,0,-1,0,0,0,-1,-2
1529564317114929,-2,0,-1,-2,-1,1,-2,0
1529564317114929,-1,1,-1,-2,0,-1,0,-2
1529564317128911,1,-1,-1,0,0,-1,0,-1
1529564317128911,-2,1,-1,-1,0,-2,1,-1
1529564317137866,-1,-2,-2,-1,0,-1,-1,-3
1529564317137866,0,-1,-1,1,-1,0,0,0
1529564317143882,0,0,-1,0,0,0,0,0
1529564317143882,0,-1,0,-2,-1,-1,-1,-1
1529564317158860,-1,0,2,-1,0,-2,0,0
1529564317158860,-1,0,-1,-2,-1,0,1,-2
1529564317165837,0,2,-2,-1,0,-1,0,-1
1529564317165837,0,-1,0,0,0,1,-1,2
1529564317174796,0,0,-1,0,0,-1,0,0
1529564317174796,-1,-2,-4,1,0,1,-1,-1
1529564317188732,-3,-1,-1,0,-2,-3,-1,0
1529564317188732,-1,0,0,-2,-1,-1,1,-2
1529564317197706,0,-2,0,-1,-1,0,-1,-1
1529564317197706,0,-1,0,0,-1,0,-1,1
1529564317203692,0,-2,-1,-1,1,-1,-2,-1
1529564317203692,-1,-1,-2,0,0,-1,1,-2
1529564317218700,-1,-1,-1,-1,-1,-1,-1,-2
1529564317218700,-1,-2,1,-1,-1,-1,-2,0
1529564317226629,1,-1,0,-1,-2,0,0,0
1529564317226629,-3,-1,0,-1,-1,-3,1,0
1529564317235605,0,0,0,2,0,-1,0,-1
1529564317235605,-1,-1,0,-1,-3,-3,0,-1
1529564317248572,0,0,0,-2,-1,0,-1,-2
1529564317248572,1,-1,1,-2,0,-2,-2,-1
1529564317257547,-1,0,-2,-1,-1,-2,-2,-1
1529564317257547,0,1,1,0,-1,0,-1,-1
1529564317263529,-1,-1,1,-2,-1,0,-3,0
1529564317263529,-1,1,-2,0,0,-2,0,-1
1529564317278520,0,1,-2,-2,-2,-1,-1,0
1529564317278520,0,-1,-2,0,1,-1,-2,0
1529564317286499,0,0,-2,0,0,-1,0,0
1529564317286499,0,0,-2,-1,1,1,-1,-1
1529564317295465,-1,-1,-1,-2,1,0,-1,-2
1529564317295465,0,-1,-1,-1,0,0,1,0
1529564317308412,-1,-1,0,0,0,-1,0,-1
1529564317308412,0,-1,-1,-1,0,0,0,1
1529564317317387,-1,-1,-1,-2,-4,-2,1,0
1529564317317387,-2,0,-1,0,0,-3,-2,-1
1529564317323372,0,-2,0,0,1,0,0,-1
1529564317323372,-1,0,0,0,-2,-1,-2,0
1529564317338331,1,0,0,-1,0,2,0,-1
1529564317338331,-2,-2,-2,-1,-1,-1,-1,-2
1529564317346482,-1,0,0,1,0,0,1,1
1529564317346482,0,-1,-2,0,0,0,-1,-1
1529564317355284,-1,0,1,-1,-1,-1,2,0
1529564317355284,-1,-1,0,0,1,2,1,0
1529564317368251,-1,-1,0,-2,-2,-1,0,-1
1529564317368251,0,1,1,0,0,1,-1,-1
1529564317384254,-2,-1,-2,0,-1,0,-1,0
1529564317384254,1,-1,0,0,1,0,1,1
1529564317385206,-2,-2,-1,-1,-3,0,-2,-1
1529564317385206,0,-1,0,1,1,-1,-1,-1
1529564317398450,0,0,-1,1,0,-1,-1,-1
1529564317398450,-2,1,0,0,-1,-1,-1,-2
1529564317406690,1,1,-2,-1,0,1,1,0
1529564317406690,0,-2,0,-1,-1,-2,-1,-1
1529564317415361,0,0,-1,1,1,1,0,1
1529564317415361,0,-1,0,-2,-2,1,0,-3
1529564317428355,0,1,0,-1,-1,-2,-1,-1
1529564317428355,-1,1,-2,-1,1,2,1,0
1529564317437304,0,-1,-1,0,-1,1,-1,0
1529564317437304,1,-1,0,-2,0,-1,-2,-1
1529564317443287,-2,0,-1,1,1,0,0,-1
1529564317443287,-1,0,0,0,-3,-2,-1,-1
