timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528880209255122,-1,2,24,58,-1,-3,-4,-4
1528880209255122,-5,-4,-59,-45,-15,-3,-3,-6
1528880209263109,-5,-15,-15,-21,11,1,0,4
1528880209263109,4,-2,-17,-5,6,3,0,0
1528880209278068,-2,13,7,3,7,2,0,-2
1528880209278068,1,-11,32,44,1,-5,-3,-2
1528880209285016,2,23,24,27,2,5,4,4
1528880209285016,-6,-30,-76,-41,5,4,-2,-7
1528880209293990,-2,6,21,8,-4,-7,-1,3
1528880209293990,-4,-12,-65,-60,-23,-10,-5,-4
1528880209299979,6,27,127,97,4,5,3,3
1528880209299979,8,14,-45,21,32,16,9,5
1528880209314935,-6,-16,3,-8,-2,4,-3,-6
1528880209314935,0,-2,-27,-7,13,3,-1,0
1528880209322913,-3,-16,-48,-64,-30,-13,-6,-7
1528880209322913,-5,1,37,19,-16,-4,-3,-4
1528880209338870,3,-1,-38,15,21,12,1,3
1528880209338870,2,10,42,1,-21,-23,-2,-2
1528880209344908,-3,-13,-39,-16,8,15,0,1
1528880209344908,-2,-1,15,-13,-23,-29,-4,-1
1528880209353897,-6,-2,-10,-14,-20,21,0,0
1528880209353897,12,19,34,51,41,20,8,2
1528880209359868,-4,-1,0,-7,27,5,2,-1
1528880209359868,-1,-3,2,-3,-3,6,-2,-2
1528880209374775,0,0,-10,2,-11,-4,4,-1
1528880209374775,-3,-5,4,-5,8,-5,-3,2
1528880209382782,2,0,-15,-2,-6,13,2,3
1528880209382782,0,-1,17,-12,-11,15,1,-3
1528880209397751,-3,1,-21,-7,-29,-31,-3,-1
1528880209397751,2,6,16,8,17,22,3,1
1528880209405692,-4,-5,-2,-2,8,-18,-5,-6
1528880209405692,0,-1,5,4,11,24,2,2
1528880209414668,1,-3,-12,-5,-3,-3,-3,4
1528880209414668,-2,2,-1,-4,-8,-4,0,0
1528880209420652,-2,-5,-11,-15,-8,-8,-2,-3
1528880209420652,-2,2,15,2,-16,-4,-1,-4
1528880209435613,3,7,7,24,11,-6,-2,1
1528880209435613,0,-1,9,7,-11,0,1,-1
1528880209442646,-1,-1,-2,-3,1,-5,-2,0
1528880209442646,-7,-3,-9,-11,8,-2,0,-2
1528880209457555,8,-6,-14,-10,-3,-2,0,0
1528880209457555,-1,5,2,-6,1,1,-2,-2
1528880209465532,-1,-2,-1,1,-4,-2,-1,-2
1528880209465532,-2,-3,3,5,-2,-12,-3,0
1528880209474508,-5,-4,-7,-3,23,6,-1,-3
1528880209474508,-3,-7,-5,-10,-47,-21,-7,-4
1528880209488471,5,8,7,2,-2,0,0,0
1528880209488471,-3,-4,9,6,7,-1,-2,-1
1528880209495454,0,3,-5,4,7,3,2,1
1528880209495454,-4,-8,-7,-4,16,10,5,2
1528880209511414,-7,-15,-4,-3,-4,-5,-3,-3
1528880209511414,4,18,1,-5,-2,-7,-4,-2
1528880209517394,-4,-5,-4,-3,0,0,1,1
1528880209517394,-1,4,7,3,2,4,2,2
1528880209525372,3,-1,0,2,-5,-5,-1,-2
1528880209525372,-2,-7,1,-2,-8,-1,-1,-1
1528880209541407,-2,-1,-10,-6,3,0,4,7
1528880209541407,-5,-7,-4,-4,1,-10,-5,-4
1528880209548363,1,11,3,10,24,8,1,3
1528880209548363,7,7,14,12,-31,-9,-1,1
1528880209555344,-3,-3,-3,-1,4,1,0,-1
1528880209555344,1,-3,-3,-8,-13,0,-2,-1
1528880209562274,-8,-19,-6,-8,-10,-4,-2,-1
1528880209562274,3,14,-3,2,16,7,4,4
1528880209577234,1,6,0,-4,-2,-7,-7,-8
1528880209577234,15,-3,3,1,0,-2,-1,6
1528880209594189,1,6,2,3,-3,2,-1,-4
1528880209594189,-6,-8,1,4,7,-1,2,1
1528880209595186,-6,-9,-5,-4,-16,2,0,-2
1528880209595186,0,3,2,-3,9,-13,-4,-2
1528880209608151,0,4,0,0,16,9,1,4
1528880209608151,-5,-15,0,1,-5,6,0,-3
1528880209615131,5,9,-4,-1,-24,-27,-8,-1
1528880209615131,-4,6,1,7,20,20,3,-1
1528880209623111,0,3,6,4,8,1,1,2
1528880209623111,-2,-2,-5,-10,-19,-4,1,0
1528880209638070,-5,-6,-4,1,20,27,-1,-1
1528880209638070,-2,5,5,10,-15,-15,-4,0
1528880209645090,2,2,4,2,-5,-9,-2,-1
1528880209645090,0,-4,-5,-1,10,0,-2,-3
1528880209654029,-6,-11,-4,-9,5,0,-1,-1
1528880209654029,2,13,1,-2,1,5,6,3
1528880209667992,-4,-27,1,3,1,3,-2,-7
1528880209667992,19,38,6,1,-4,0,-1,-5
1528880209682950,4,17,5,4,-2,-22,5,5
1528880209682950,-12,-11,-3,-1,-3,41,1,-2
1528880209683949,0,4,-7,-7,-2,5,5,1
1528880209683949,-7,-20,-1,0,13,2,-3,3
1528880209697911,0,-3,3,6,-1,14,6,-1
1528880209697911,-1,-1,-5,-10,4,-17,-2,-3
1528880209704896,-2,4,-1,-6,-29,-14,8,1
1528880209704896,-7,-10,-5,0,21,-6,-14,-5
1528880209713916,0,-9,2,8,24,5,2,2
1528880209713916,-1,-15,-2,-2,-21,-8,-10,1
1528880209728828,-8,16,-2,-6,-5,-17,-3,-6
1528880209728828,13,11,-6,-3,4,3,-1,-1
1528880209734812,4,-18,-1,2,17,23,4,1
1528880209734812,-3,-11,-3,1,11,-13,0,-1
1528880209742790,-22,-17,-3,-10,-22,-23,-17,-7
1528880209742790,-9,-9,-2,7,-5,-4,7,3
1528880209757750,-3,6,-5,-10,-13,-17,0,-3
1528880209757750,-1,-5,1,9,5,34,7,2
1528880209764732,22,5,-5,-13,-8,-14,-12,-4
1528880209764732,-13,0,2,7,-4,-19,-3,-4
1528880209773708,2,0,0,1,39,36,10,7
1528880209773708,7,-1,0,16,-12,-33,-11,-7
1528880209788668,-17,3,-2,1,-15,7,2,1
1528880209788668,22,11,2,0,6,-12,3,-5
1528880209795649,-16,5,-6,-24,1,18,-5,-4
1528880209795649,-5,-2,-1,14,35,7,12,2
1528880209802631,-7,-19,6,6,2,21,-2,5
1528880209802631,21,32,6,-1,-30,30,4,-1
1528880209826567,-12,-17,-3,0,-48,-62,-7,-6
1528880209826567,5,24,-4,-23,-1,-6,-5,-3
1528880209827565,12,8,3,10,14,13,5,2
1528880209827565,4,-4,6,8,56,16,4,3
1528880209834545,-6,-12,4,12,-35,2,-9,2
1528880209834545,1,14,-4,-12,-20,-20,-9,-5
1528880209848652,5,-8,-7,0,14,-13,5,11
1528880209848652,-13,-8,0,-6,23,18,2,-11
1528880209855628,9,9,3,12,1,-11,-2,-3
1528880209855628,-7,-18,-4,-7,7,-2,-14,-5
1528880209862610,-2,6,-4,-19,18,16,15,3
1528880209862610,-5,-8,2,30,3,20,-2,5
1528880209877587,7,3,-3,-25,-5,-9,-2,3
1528880209877587,-7,-11,-3,-18,-49,-27,-1,-2
1528880209885692,10,15,1,-1,18,15,0,0
1528880209885692,-5,2,-3,-4,14,-12,1,5
1528880209900574,-2,-6,0,7,-9,6,-1,-5
1528880209900574,-2,-4,4,3,5,0,4,6
1528880209908684,16,31,-4,-1,-5,-11,-6,-1
1528880209908684,1,0,1,-8,-12,9,4,2
1528880209923660,-2,4,2,4,-2,-17,-3,1
1528880209923660,6,-6,0,-1,17,18,3,-2
1528880209924648,11,-12,2,10,-9,-6,1,5
1528880209924648,-15,-9,-7,-14,-28,-11,-3,-4
1528880209937650,6,10,0,-10,6,0,-3,-3
1528880209937650,-5,2,1,13,10,12,2,-2
1528880209945632,-2,-5,5,11,-11,2,2,0
1528880209945632,-1,0,-3,-11,10,-11,-5,1
1528880209960732,0,-6,-4,-3,-16,-14,-2,-4
1528880209960732,-5,-12,-2,-2,15,4,3,5
1528880209968705,2,12,6,8,8,10,-7,-9
1528880209968705,-4,-7,2,-3,-13,10,3,-7
1528880209983528,-6,-18,-6,-1,1,-15,-1,5
1528880209983528,9,23,4,4,10,16,0,-1
1528880209984526,-2,4,-3,1,-12,-10,0,0
1528880209984526,-4,-14,0,0,-3,-1,0,2
1528880209997520,3,2,-3,-1,7,7,2,-1
1528880209997520,2,-2,-1,-3,-8,4,1,-2
1528880210005469,-4,-2,2,2,10,14,0,-1
1528880210005469,-2,-7,-9,-10,-17,-20,-4,2
1528880210020777,8,4,1,4,0,2,-2,0
1528880210020777,-11,-17,0,-1,-8,-5,5,2
1528880210028609,-1,11,0,1,-2,-8,-4,-4
1528880210028609,-1,2,4,-2,-7,4,1,3
1528880210043723,6,6,1,3,17,3,-1,-2
1528880210043723,6,6,-2,-3,2,-14,-2,2
1528880210044722,-7,-20,-2,0,4,-4,-7,-3
1528880210044722,-2,-9,-7,-1,-5,-6,0,2
1528880210057824,-1,8,0,-3,2,17,2,-3
1528880210057824,0,-6,-1,-2,-15,-8,4,-2
1528880210065776,0,0,-2,-5,-11,-4,-1,-1
1528880210065776,-2,0,-1,-6,1,-8,-5,0
1528880210080794,-1,-5,0,4,11,2,0,-3
1528880210080794,4,11,0,2,1,6,1,1
1528880210088770,-4,-1,6,7,0,-7,0,1
1528880210088770,0,-2,6,2,4,-6,1,1
1528880210103891,-7,-7,-5,-4,-7,2,-3,-1
1528880210103891,-4,4,-3,-1,-4,-6,-6,-6
1528880210104782,-5,-13,-10,-9,-2,-1,1,2
1528880210104782,1,-3,-1,3,-5,-5,2,2
1528880210117695,-4,3,5,9,1,5,0,-1
1528880210117695,-6,-2,1,-5,7,2,0,1
1528880210125674,8,5,2,-1,10,-6,-2,0
1528880210125674,1,0,-1,1,-27,-6,-3,-3
1528880210140207,4,0,3,1,5,-1,-2,0
1528880210140207,0,2,-3,1,8,-3,-2,1
1528880210148185,-6,-6,-1,-1,-10,-1,3,-2
1528880210148185,-3,0,2,-1,5,-1,-2,-3
1528880210163979,4,4,-2,-4,0,-5,-2,-2
1528880210163979,-1,2,2,1,-3,13,0,1
1528880210163979,-1,0,1,3,0,-10,-3,0
1528880210163979,-1,-6,-5,-4,-2,1,-1,-1
1528880210178171,0,6,0,1,10,-1,2,2
1528880210178171,-3,-3,-1,1,11,13,4,0
1528880210184987,-3,-8,-1,-2,-2,9,3,-3
1528880210184987,1,9,3,6,-9,-19,-5,-1
1528880210199955,3,-5,-1,-6,-5,8,-1,2
1528880210199955,0,-2,-3,-6,-7,-4,0,-1
1528880210207963,-4,-7,-6,3,11,-7,-3,-1
1528880210207963,3,7,1,3,-21,-5,-5,0
1528880210225004,-6,-8,6,8,10,-3,3,0
1528880210225004,6,8,2,-2,-1,10,6,-3
1528880210225880,-3,3,0,-4,-3,-13,2,4
1528880210225880,0,-5,-8,-12,6,2,-6,-1
1528880210237974,1,5,-1,1,5,3,-3,-2
1528880210237974,-2,-9,-2,1,-20,-5,-5,-2
1528880210244951,-1,2,2,-5,-9,4,-2,-4
1528880210244951,-6,-6,-6,-1,5,2,4,1
1528880210260823,-11,-22,-10,-6,-1,9,2,2
1528880210260823,22,24,4,3,5,-11,-2,-5
1528880210268919,2,5,-3,2,-1,5,0,2
1528880210268919,10,9,12,0,-14,7,4,5
1528880210283724,-12,-10,0,1,-3,3,1,-9
1528880210283724,1,-1,-5,0,13,6,2,3
1528880210284762,-6,-8,-4,-5,-3,-8,-6,-4
1528880210284762,-3,-3,-8,-7,7,2,-2,-2
1528880210297845,1,4,-3,-6,21,-6,-4,1
1528880210297845,-14,-17,2,8,-24,-29,-6,1
1528880210305666,2,-1,1,-1,-9,8,1,-2
1528880210305666,-2,4,-4,-2,-6,-35,-4,-4
1528880210320628,5,24,1,-10,-15,-10,-13,0
1528880210320628,4,10,5,-1,-2,33,10,7
1528880210328604,5,-3,-5,1,34,-45,2,3
1528880210328604,2,-11,4,23,6,47,3,-3
1528880210343719,-15,-4,-13,-24,18,3,10,1
1528880210343719,-5,-17,-2,-1,-17,5,-11,-4
1528880210344720,3,15,5,2,-7,-8,6,4
1528880210344720,-8,-18,1,-1,-6,-12,0,1
1528880210357683,12,28,7,16,-22,-10,1,-2
1528880210357683,-1,1,-3,4,9,10,7,3
1528880210365662,-9,-13,-9,-17,5,18,-1,-8
1528880210365662,-12,-28,-6,-1,23,9,1,2
1528880210380621,33,48,17,9,10,3,4,9
1528880210380621,-11,-3,-3,-9,-20,-19,-5,-8
1528880210388600,7,9,1,6,14,16,1,2
1528880210388600,3,-17,-5,-12,31,9,7,1
1528880210403560,-27,-19,-1,17,-49,20,-1,-1
1528880210403560,8,2,-2,-22,-9,-15,-2,-2
1528880210404401,-10,-9,2,7,12,10,-2,-2
1528880210404401,3,10,-2,-15,-11,12,-12,-3
1528880210417368,4,-9,-7,-4,45,-13,-2,0
1528880210417368,4,6,6,26,-35,3,-7,-4
1528880210425483,-12,-15,-5,-13,-13,-52,-13,-7
1528880210425483,8,16,1,-8,-7,23,13,4
1528880210440443,9,1,-1,-4,-25,1,-10,-3
1528880210440443,-34,-67,-7,-1,23,-10,-8,-6
1528880210448285,59,53,18,9,6,36,13,14
1528880210448285,-8,-3,-1,12,22,-9,3,3
1528880210462385,3,-12,-4,-4,-5,4,2,-10
1528880210462385,-9,-18,2,0,13,1,6,-1
1528880210471379,-6,-3,2,5,-21,8,1,0
1528880210471379,5,5,-3,-4,-7,-21,-7,-1
1528880210478288,-19,-20,-7,-8,5,-4,-4,0
1528880210478288,11,14,-2,-2,4,-16,0,1
1528880210485341,6,4,8,8,-5,3,-5,-2
1528880210485341,-6,11,-2,0,-15,-16,-6,-2
