timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528444035350436,-2,0,-2,0,-1,0,1,0
1528444035350436,0,0,0,0,1,0,-2,-1
1528444035365423,-2,0,1,0,1,-1,-1,0
1528444035365423,-1,-1,-4,-1,-1,-1,0,-1
1528444035373394,-1,0,1,1,1,0,0,-1
1528444035373394,0,0,-1,-1,0,-1,-1,0
1528444035388334,1,0,0,-1,-1,0,-1,-1
1528444035388334,0,-4,-1,0,-1,-1,0,-2
1528444035395374,-1,0,-3,-2,-1,-1,0,0
1528444035395374,0,-1,-2,0,-1,-3,0,0
1528444035410330,-1,-1,-1,1,0,1,-1,0
1528444035410330,1,-3,0,-2,-1,-2,0,1
1528444035418308,1,0,0,0,-1,-2,0,0
1528444035418308,-1,-1,0,0,0,0,1,-1
1528444035433214,-1,0,0,-1,-2,-1,1,0
1528444035433214,-2,-2,-1,-2,1,1,-2,0
1528444035448175,-2,-4,-4,0,-1,-1,-1,-2
1528444035448175,-1,1,1,1,-1,1,-1,-1
1528444035456153,0,1,-1,-1,-1,0,1,-1
1528444035456153,3,1,2,0,0,-1,-3,0
1528444035471115,-2,-2,2,-2,0,0,-2,-1
1528444035471115,-2,-2,-1,-2,0,-1,0,0
1528444035478094,-1,-1,-2,0,0,0,-1,-2
1528444035478094,-1,0,0,0,-2,-2,-1,0
1528444035493056,0,-1,-1,0,-2,1,-2,-2
1528444035493056,-2,-4,-3,0,-1,-1,-1,-1
1528444035508015,-1,0,-1,-1,0,0,-1,0
1528444035508015,-1,0,-1,0,-2,-1,-2,-1
1528444035515994,0,1,1,-1,0,0,-2,0
1528444035515994,-2,0,-1,1,-1,-1,0,0
1528444035530952,-1,0,0,0,-2,0,0,-1
1528444035530952,1,-2,-1,-1,-1,0,1,-1
1528444035537961,0,-2,0,-1,1,1,-1,-1
1528444035537961,-1,-1,0,-1,-3,2,-2,0
1528444035560875,1,-2,1,-1,-1,-1,0,1
1528444035560875,-1,-1,-1,0,2,-1,-1,-2
1528444035575884,0,-1,0,-2,-2,0,-1,0
1528444035575884,-1,0,-1,-1,-1,1,-1,0
1528444035582848,-2,0,-3,-1,-2,-3,-1,-1
1528444035582848,0,1,0,-1,0,-2,1,-2
1528444035597802,1,0,-1,0,0,0,-1,0
1528444035597802,0,-4,-3,-2,-2,-3,-2,0
1528444035613772,1,-1,0,-1,1,-1,-2,0
1528444035613772,-1,-1,-1,0,-1,-2,-2,0
1528444035620715,-1,-4,-2,-1,-1,-2,1,-1
1528444035620715,0,-2,-1,-1,-1,1,1,-1
1528444035627694,0,1,-1,-1,0,-1,1,-1
1528444035627694,1,1,0,-2,0,0,-2,0
1528444035635675,0,-1,-2,-3,-3,-1,-2,-1
1528444035635675,0,-3,-2,-2,0,1,0,0
1528444035658624,2,-4,-4,-2,0,0,-2,0
1528444035658624,0,1,1,0,-2,-1,0,0
1528444035665594,0,3,1,-1,1,0,-1,-1
1528444035665594,1,-2,1,0,0,-3,0,0
1528444035680589,-2,-2,1,0,0,-1,0,-1
1528444035680589,0,-2,-1,-2,0,1,0,-1
1528444035688542,-2,-3,-1,-1,0,0,-1,0
1528444035688542,-1,0,0,-1,0,0,0,-2
1528444035695564,-1,-1,-3,-1,-3,-2,-1,-1
1528444035695564,0,0,0,0,-2,-2,0,-1
1528444035710509,-1,-1,0,0,0,-1,0,-1
1528444035710509,0,0,-1,0,-1,0,-1,0
1528444035718490,2,0,1,0,0,-1,0,-1
1528444035718490,-2,-2,0,0,0,1,-1,-2
1528444035733613,-1,1,0,-2,-1,-1,-1,-1
1528444035733613,0,0,-1,-1,0,0,1,0
1528444035740644,-1,-1,-1,0,1,0,-1,-2
1528444035740644,1,0,0,0,0,0,-1,-1
1528444035748593,-3,-2,0,-1,-2,0,-1,0
1528444035748593,3,3,-1,0,1,0,0,0
1528444035755554,-1,-5,-2,-1,0,-2,-1,-1
1528444035755554,-2,4,0,-1,-1,0,-1,-1
1528444035770876,1,0,0,0,-1,0,-2,-1
1528444035770876,-2,0,-1,0,-1,-1,-1,0
1528444035777944,0,0,-1,0,-1,-1,0,1
1528444035777944,-1,-1,-1,-1,0,-1,-1,0
1528444035792884,-1,0,1,-1,1,0,-1,0
1528444035792884,-1,-2,1,-1,-2,1,0,-1
