timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529313535374686,1,0,19,3,-1,-1,2,-1
1529313535374686,0,2,23,1,-1,-2,-1,-3
1529313535375684,-5,-2,-54,-12,-15,-7,-8,-5
1529313535375684,-2,-2,-5,-4,-3,-4,-11,-7
1529313535376682,1,-8,29,9,6,-1,6,5
1529313535376682,2,-3,43,2,12,9,0,1
1529313535379673,-2,0,77,5,-2,-4,5,1
1529313535379673,-2,4,45,-6,-5,-2,-4,1
1529313535385659,-4,4,19,2,0,9,2,-1
1529313535385659,-3,-4,18,-2,2,3,0,0
1529313535396628,1,2,17,-6,12,9,0,3
1529313535396628,-1,-1,1,-12,-12,-10,-5,-2
1529313535400618,-1,1,13,-2,-7,-10,-5,-3
1529313535400618,-2,1,-10,2,0,-1,0,-2
1529313535417573,-2,-2,-16,-5,-7,2,-2,-3
1529313535417573,-4,-3,-12,-6,-20,-7,-8,-4
1529313535424571,1,1,-6,5,12,15,2,-2
1529313535424571,1,6,10,4,23,5,13,6
1529313535439513,-1,-3,7,18,18,8,1,0
1529313535439513,-3,-6,9,-41,-34,-31,-18,-6
1529313535447492,-4,-5,-12,-10,-14,-12,-2,-3
1529313535447492,0,0,-18,1,-7,2,-2,-1
1529313535460460,2,5,12,26,39,28,20,3
1529313535460460,5,4,-3,11,36,15,11,6
1529313535504342,-3,-7,-9,-30,-19,-20,-11,-6
1529313535504342,-1,-1,7,24,2,5,-2,-2
1529313535507334,-2,2,-12,-31,-19,4,1,-2
1529313535507334,-1,4,-2,-15,-7,-7,-4,0
1529313535508330,0,-1,0,-5,-3,0,-1,-2
1529313535508330,1,1,8,6,1,-5,-2,-1
1529313535509328,-2,-1,10,17,9,0,2,-1
1529313535509328,0,-9,13,2,-4,-5,-6,-4
1529313535514314,-3,-5,9,16,28,17,10,4
1529313535514314,-1,-3,16,7,-2,-12,-1,2
1529313535522293,-2,-5,-7,-25,-15,-7,-8,-4
1529313535522293,-3,-2,-25,-13,-4,4,4,1
1529313535528276,-1,3,-12,1,5,15,-2,1
1529313535528276,-4,-6,-18,-16,-30,-39,-16,-8
1529313535543238,2,12,-5,16,23,26,17,3
1529313535543238,1,4,-4,12,17,9,2,-1
1529313535551216,4,4,-4,1,-7,-2,-2,-1
1529313535551216,-1,-6,-22,-29,-16,5,2,-2
1529313535575151,-2,0,-2,14,-9,-19,-9,-2
1529313535575151,-2,3,0,3,-4,3,7,1
1529313535575151,-4,-2,-10,11,14,-1,4,-1
1529313535575151,0,3,9,1,12,10,-1,0
1529313535589115,1,-9,12,8,-12,-13,-11,-2
1529313535589115,-1,-3,-14,-11,5,7,0,-2
1529313535590112,-2,-10,-6,-18,-30,-15,-11,-5
1529313535590112,0,5,-4,10,17,5,9,3
1529313535612053,-1,-3,-8,13,10,7,0,-1
1529313535612053,0,-4,-10,40,17,9,1,1
1529313535612053,1,1,-22,0,-23,-21,-16,-5
1529313535612053,-7,-11,-45,-40,-2,23,2,-9
1529313535634995,3,7,-3,46,25,-2,9,7
1529313535634995,-2,-15,-28,-18,-22,-11,-1,0
1529313535635989,4,0,9,18,2,3,-1,0
1529313535635989,-5,-2,-7,-64,-19,-9,-8,-5
1529313535648958,-5,-5,-15,-21,-22,-8,-1,-2
1529313535648958,-1,4,13,7,12,-1,-3,-2
1529313535649954,-1,-2,3,12,3,-1,2,0
1529313535649954,9,3,14,26,16,4,2,6
1529313535671893,-8,-10,14,-59,-21,-7,-8,-9
