timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528879091746330,-1,8,0,-1,-3,-2,-2,-2
1528879091746330,-2,-2,-1,0,-4,-1,-1,2
1528879091760663,-3,0,0,-8,-5,-4,-1,-4
1528879091760663,-3,-3,0,-9,-11,-4,-2,-1
1528879091768586,1,-4,1,8,8,-4,-1,1
1528879091768586,-2,3,-2,0,9,10,-1,-4
1528879091783567,1,3,-3,13,5,6,5,0
1528879091783567,1,7,12,2,1,-2,6,13
1528879091785227,-5,-12,-14,-15,-8,-4,-25,-24
1528879091785227,-1,-2,-1,-7,-8,-9,-3,-2
1528879091806746,0,0,0,6,0,3,2,7
1528879091806746,-1,2,0,1,1,-1,-3,-14
1528879091807514,0,0,6,4,2,2,2,3
1528879091807514,-2,-3,-3,-3,3,-1,-1,2
1528879091820481,-2,-3,-4,-5,1,-2,-1,-4
1528879091820481,-1,1,1,-1,-2,-3,-3,2
1528879091828683,-1,3,-2,-11,-8,-3,2,2
1528879091828683,-1,-4,-3,4,0,2,-1,-4
1528879091844404,-1,-1,0,4,4,-1,1,3
1528879091844404,-1,1,-3,-3,-3,-2,-5,0
1528879091845403,0,0,5,-8,-7,-4,2,1
1528879091845403,-2,-4,-15,4,1,3,0,2
1528879091866601,2,2,6,8,3,-1,2,0
1528879091866601,-1,0,-4,-2,0,0,-2,-1
1528879091867595,-4,-2,-2,-4,-2,-1,1,-1
1528879091867595,1,-1,3,-6,-8,-9,-2,1
1528879091879873,0,2,-2,-3,-1,-2,-2,0
1528879091879873,-4,-10,-1,6,3,2,2,0
1528879091888933,2,5,1,6,1,2,1,-3
1528879091888933,-1,-3,1,2,7,-2,-5,-2
1528879091903153,0,0,2,0,0,1,0,0
1528879091903153,0,2,-9,-2,-7,-3,8,11
1528879091910133,-2,-1,1,-6,-7,-1,-5,-5
1528879091910133,-2,-5,-14,-13,-6,-3,-1,-2
1528879091926860,2,-3,-1,-10,-6,-6,-6,-3
1528879091926860,0,3,3,2,4,3,3,0
1528879091927826,-5,-9,-2,14,11,5,6,-1
1528879091927826,2,3,5,0,-4,-2,-3,-1
1528879091940342,-4,-7,-5,-14,-12,-5,1,-1
1528879091940342,1,0,-2,10,2,-2,-7,-3
1528879091949078,-1,6,4,11,9,3,1,3
1528879091949078,1,-4,2,4,6,3,1,-1
1528879091963090,-2,-5,3,-13,-15,-6,0,5
1528879091963090,-3,-2,-19,-17,-8,-7,-10,-15
1528879091970069,0,-5,3,-1,-2,-1,0,0
1528879091970069,0,3,-2,9,1,-1,4,3
1528879091985979,-3,-3,3,1,1,1,-4,-5
1528879091985979,2,4,2,-13,-8,-4,-2,4
1528879091988008,0,4,-3,-3,-1,0,1,2
1528879091988008,0,-5,-1,3,1,2,8,1
1528879091999942,-4,0,-3,5,11,4,-20,-19
1528879091999942,1,-2,1,0,0,-3,0,-1
1528879092008918,2,-1,1,3,1,0,2,9
1528879092008918,-2,1,2,-7,-11,-5,-7,-15
1528879092022880,-2,1,-5,-1,5,7,5,3
1528879092022880,0,-3,12,9,10,-2,-1,0
1528879092029861,-3,-2,-19,-9,-8,-1,-2,-2
1528879092029861,-1,-2,3,-1,-5,-5,-3,5
1528879092045875,1,-3,-6,3,3,-4,0,2
1528879092045875,-6,-1,1,-10,-13,0,-3,-6
1528879092047825,0,-4,-5,-5,0,3,2,1
1528879092047825,-4,-7,0,-4,-6,-5,-4,-2
1528879092067813,0,1,4,7,10,0,2,-3
1528879092067813,2,0,-5,12,3,2,2,2
1528879092068759,3,4,15,9,10,2,0,-2
1528879092068759,-2,1,-18,-13,-5,0,0,1
1528879092082739,0,-1,6,-6,-13,-10,-4,2
1528879092082739,-7,-4,-2,-5,3,9,1,-4
1528879092090756,0,-3,-8,-2,0,-6,-2,-3
1528879092090756,-2,1,11,8,7,4,-1,2
1528879092105714,0,0,-8,-1,-9,-10,3,-1
1528879092105714,0,-6,-2,-2,-2,-2,-5,0
1528879092106676,-6,-2,4,-10,-2,3,-2,-4
1528879092106676,1,2,-4,11,5,4,1,0
1528879092127655,1,2,-9,-1,3,1,12,8
1528879092127655,-3,4,-4,-8,-7,-5,-15,-15
1528879092128598,2,1,14,-5,-8,-4,0,-1
1528879092128598,-1,-4,-16,-1,5,0,-3,-1
1528879092142613,1,0,2,12,0,1,5,6
1528879092142613,3,1,-1,-2,0,1,1,3
1528879092150592,-1,-4,-11,-6,-1,-3,-2,1
1528879092150592,1,2,8,-7,-9,-4,0,-4
1528879092165556,-4,-8,-5,1,2,7,-1,-4
1528879092165556,3,3,7,12,9,2,3,2
1528879092166497,-3,-1,3,10,9,1,-2,-5
1528879092166497,-2,-1,-3,1,5,5,0,4
1528879092187496,-2,-1,3,-10,-11,-8,-7,-5
1528879092187496,-2,-2,0,-6,0,0,2,-1
1528879092188439,0,-3,-2,-5,-9,-3,1,1
1528879092188439,1,-3,-1,-10,-11,-4,0,0
1528879092202453,-1,-1,-8,-6,-1,2,0,-1
1528879092202453,3,2,11,18,9,4,0,0
1528879092210432,-2,-14,-12,-4,-8,-9,-3,0
1528879092210432,-3,0,7,-4,-3,-1,-1,-2
1528879092225340,0,5,2,2,0,1,2,5
1528879092225340,-3,2,-3,-4,-2,-6,-2,-7
1528879092226337,2,8,-1,-1,2,2,7,6
1528879092226337,-4,-2,-3,-5,-7,-7,-24,-26
1528879092248279,-1,-4,5,2,1,-1,-1,-1
1528879092248279,0,4,-12,3,6,2,3,3
1528879092248279,-2,1,1,6,4,2,-1,-4
1528879092248279,-2,-7,-2,-3,-7,-5,3,8
1528879092262241,1,7,3,-9,-6,3,0,-1
1528879092262241,-3,-12,-3,-2,-8,-14,-4,2
1528879092270260,-2,0,-3,5,4,6,-1,-8
1528879092270260,0,-3,-7,1,3,6,4,8
1528879092285754,-2,-5,0,-6,-5,-10,-7,-6
1528879092285754,-3,-8,-2,-3,2,6,7,7
