timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529287584718046,-1,0,-2,-1,-3,-5,-2,-3
1529287584718046,-2,-13,-7,-3,-4,-1,-3,-2
1529287584723032,1,-5,-3,-8,-8,-6,-2,-3
1529287584723032,-9,-6,-2,-8,-4,-5,-3,-6
1529287584725026,-11,1,4,-6,-6,-4,-4,-6
1529287584725026,-2,1,2,-2,0,-2,-2,-3
1529287584726024,5,4,6,4,1,4,7,4
1529287584726024,-2,2,1,2,-2,-2,-2,0
1529287584735997,-5,-14,-10,0,-1,0,3,-3
1529287584735997,-13,-5,2,-4,-2,-5,-3,-7
1529287584747965,-1,-13,-9,-3,0,-2,-4,-2
1529287584747965,10,26,8,2,-3,-1,0,7
1529287584750956,-13,-29,-14,-6,-5,1,-5,4
1529287584750956,12,31,12,4,7,8,3,11
1529287584765916,2,-16,0,1,3,-1,1,2
1529287584765916,6,11,-2,1,0,2,3,6
1529287584775889,6,-3,2,3,-3,-1,-2,-8
1529287584775889,-5,-24,-6,-3,-2,-6,1,-6
1529287584789852,-2,15,5,-4,-4,0,-5,-1
1529287584789852,-5,-27,-18,-14,-1,-2,-5,-9
1529287584798828,11,11,14,7,5,3,3,7
1529287584798828,12,17,1,1,-2,-4,-2,1
1529287584804812,-7,3,5,2,-3,-6,-1,-3
1529287584804812,-10,-16,-5,-6,-4,-4,4,-3
1529287584851688,18,18,3,1,3,4,6,13
1529287584851688,14,17,15,5,0,7,0,0
1529287584852685,-4,-7,-6,-3,-5,-1,-6,-9
1529287584852685,-3,-2,4,8,2,1,-1,-7
1529287584853682,-2,10,0,4,6,-1,-1,-8
1529287584853682,-18,-17,-18,-13,-3,-8,-5,-11
1529287584857671,-19,-34,-13,-11,-3,-4,-5,-7
1529287584857671,15,41,22,6,4,9,5,6
1529287584864652,-4,-11,-13,5,4,5,4,6
1529287584864652,7,7,2,7,4,3,1,7
1529287584870637,8,22,13,4,3,3,-2,1
1529287584870637,-6,-8,-11,-12,-6,-7,-5,-5
1529287584879612,-14,-20,-1,3,1,-2,-2,-7
1529287584879612,-1,6,-1,0,0,0,1,-1
1529287584893575,-9,-14,0,0,-3,-3,2,2
1529287584893575,21,28,16,8,1,6,2,13
1529287584902551,-11,-2,-6,-9,-8,-3,-8,-9
1529287584902551,-22,-58,-27,-7,-6,-7,-2,-8
1529287584909532,36,50,16,9,7,6,10,8
1529287584909532,-6,-12,-10,-5,-3,-2,-1,-1
1529287584924492,-1,-15,-2,1,3,-2,-3,-2
1529287584924492,-3,0,4,1,1,-1,-6,-4
1529287584930477,-8,-22,-15,-5,-4,-4,-3,-6
1529287584930477,13,1,7,5,9,5,6,4
1529287584939451,3,9,4,-8,-3,3,1,2
1529287584939451,-24,-20,-10,-16,-8,-7,-4,-13
1529287584953414,-7,0,6,9,4,2,2,2
1529287584953414,0,4,-9,1,-1,1,4,10
1529287584963389,-2,-2,0,0,-4,-1,0,3
1529287584963389,21,35,10,8,5,5,1,9
1529287584968376,-12,-19,-16,-7,-5,-6,-9,-8
1529287584968376,-14,-27,-10,-6,-3,-3,-9,-12
1529287584983337,6,8,3,-7,-1,-4,-5,-2
1529287584983337,4,6,-4,1,-2,-3,-3,-5
1529287584990316,4,2,1,6,1,-1,-3,-2
1529287584990316,-1,-1,6,14,5,0,0,-1
1529287584999292,5,8,4,8,0,2,5,4
1529287584999292,1,6,-1,-9,3,5,8,6
1529287585013255,-2,-1,4,-8,-4,-4,2,4
1529287585013255,2,0,4,-7,0,-3,3,0
1529287585022232,-8,-14,-2,-5,-4,-3,-1,-2
1529287585022232,1,-1,2,6,-8,-9,-2,0
1529287585028216,4,8,-2,5,5,6,5,1
1529287585028216,-13,-14,-14,-7,-12,-9,-1,-8
