timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528881019088070,2,-1,0,-21,4,4,3,1
1528881019088070,2,2,10,40,3,9,4,2
1528881019095364,0,0,-1,1,24,16,3,0
1528881019095364,-3,-1,-2,-1,-31,-16,-5,-2
1528881019103573,1,0,-1,0,5,7,2,1
1528881019103573,-3,-6,-8,-24,16,-23,-7,-3
1528881019118400,0,0,0,-1,0,-12,-6,-2
1528881019118400,1,-2,-1,-4,-1,0,-1,1
1528881019133499,1,6,7,13,23,-9,-20,-33
1528881019133499,-5,-6,-9,-19,-12,-19,-14,13
1528881019148223,0,3,9,23,3,-2,-3,0
1528881019148223,-1,1,-4,-2,-18,-15,-5,-1
1528881019155470,1,-1,-2,-17,7,-2,4,6
1528881019155470,-3,-3,-6,-7,-12,18,3,-7
1528881019170177,-2,-4,-10,-20,-7,-12,0,3
1528881019170177,2,1,-2,-9,15,28,8,1
1528881019185628,-1,-3,2,-10,-50,-20,-2,-1
1528881019185628,2,2,1,-3,106,34,6,0
1528881019193146,-2,-4,2,28,-23,-9,1,4
1528881019193146,2,1,-1,-18,-1,5,4,0
1528881019208107,-5,-7,-11,-1,-6,0,-3,-6
1528881019208107,4,4,2,-3,-11,5,-2,1
1528881019216002,1,1,3,11,9,9,3,5
1528881019216002,1,1,4,-2,-21,-12,-2,-1
1528881019230284,-3,-3,-4,-8,8,3,0,2
1528881019230284,-1,1,-1,1,-20,-15,-4,-4
1528881019245810,0,2,2,-5,14,9,3,3
1528881019245810,-2,-1,-4,-4,-28,-8,-2,2
1528881019252791,3,4,4,10,9,7,1,0
1528881019252791,-2,0,-1,1,2,-13,0,0
1528881019268273,-6,-4,-6,-17,0,-17,-7,-6
1528881019268273,3,4,9,11,2,15,-2,4
1528881019274819,3,3,2,1,7,4,1,4
1528881019274819,6,4,3,4,27,19,4,4
1528881019290790,-2,-2,0,0,6,8,4,1
1528881019290790,-4,-3,-6,1,-5,-2,-1,-4
1528881019312729,2,3,10,10,6,5,4,1
1528881019312729,0,0,-1,-7,-34,-3,-2,1
1528881019320707,1,3,4,4,12,9,3,3
1528881019320707,-3,-4,-4,0,7,6,-1,-2
1528881019335656,2,1,-5,-1,15,7,7,4
1528881019335656,-2,0,2,-1,-19,-13,1,-1
1528881019343342,-4,-3,-2,-5,0,-12,-10,0
1528881019343342,1,0,-2,-3,-50,-14,-20,-6
1528881019358508,1,-2,-7,-17,-9,1,8,0
1528881019358508,-3,-2,3,16,16,17,10,3
1528881019373124,6,15,13,11,24,-2,4,-1
1528881019373124,4,2,0,-20,-14,21,47,10
1528881019387816,4,4,8,37,-3,-6,-15,3
1528881019387816,0,-3,-4,-13,8,-3,-50,-6
1528881019396082,-15,-9,-17,-12,22,-33,-28,-26
1528881019396082,-1,0,1,5,13,-4,-1,0
1528881019411045,-6,-10,-2,24,-13,-1,-36,-6
1528881019411045,-18,-17,-24,-34,-35,-47,-19,-40
1528881019425007,3,4,2,-3,18,17,2,-5
1528881019425007,35,26,5,-27,24,39,76,41
1528881019432987,28,5,7,-3,-12,-8,-12,21
1528881019432987,-88,-23,11,77,15,1,-92,-39
1528881019447985,-31,-22,-14,-17,-11,2,-19,-28
1528881019447985,11,-2,3,2,19,14,36,-11
1528881019454927,25,9,-4,-10,-23,-40,-13,13
1528881019454927,33,9,3,-32,1,8,32,29
1528881019469946,5,2,-18,-24,-36,-13,18,-5
1528881019469946,42,8,1,-16,8,-1,34,17
1528881019484895,6,10,16,41,2,-23,-37,14
1528881019484895,-11,-26,-11,-9,-37,-22,-23,-15
1528881019492879,-50,-2,20,27,10,25,6,-13
1528881019492879,-3,4,-12,-22,1,-45,8,-4
