timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529295135575620,2,-2,-4,-13,-4,-7,-2,-1
1529295135575620,-16,-5,-3,1,-14,-10,-7,-7
1529295135583597,2,-14,0,-18,-27,-9,-7,-1
1529295135583597,1,4,3,12,14,3,3,0
1529295135598558,-7,-14,-3,11,19,6,-2,-8
1529295135598558,0,14,4,0,-4,4,0,4
1529295135607534,-5,-7,-4,4,15,7,4,3
1529295135607534,-9,-6,-3,-8,-12,-14,-6,-9
1529295135628534,-15,2,-2,1,1,11,19,1
1529295135628534,-13,-2,2,3,10,10,-7,-25
1529295135636511,9,-4,1,2,8,-1,14,42
1529295135636511,-3,-2,-5,-5,0,-3,-15,-34
1529295135643475,-7,3,1,-1,-3,-7,-7,-5
1529295135643475,10,8,-2,-5,-10,-6,0,-2
1529295135658411,2,-6,-6,-12,-12,-8,-6,-10
1529295135658411,-33,-17,-4,-7,-12,-7,0,4
1529295135666376,12,5,3,13,15,3,-2,3
1529295135666376,-7,1,-2,-2,-3,-1,-3,-1
1529295135681347,-11,-13,-11,-14,-6,-1,-3,-6
1529295135681347,-3,2,0,13,1,0,6,12
1529295135696297,9,0,-15,-17,-2,-1,-2,-4
1529295135696297,-16,10,5,6,-2,-2,-3,-3
1529295135703278,17,-1,-4,-10,-14,-2,0,4
1529295135703278,-4,-10,9,35,24,2,-1,3
1529295135718238,-17,-13,-14,-14,-7,0,-5,-9
1529295135718238,23,13,3,19,8,1,1,4
1529295135726217,0,-2,-5,6,-3,-4,-2,2
1529295135726217,-10,1,4,-3,-2,-4,-1,2
1529295135741177,3,-2,3,-2,-12,-1,-3,-8
1529295135741177,-13,-6,-4,-19,-6,0,3,6
1529295135756137,-5,12,7,6,-1,-3,-8,-8
1529295135756137,19,9,3,-11,-12,-1,2,3
1529295135763119,-17,-16,-2,-2,0,1,-1,0
1529295135763119,7,2,-10,-28,-7,-2,-3,-2
1529295135778079,-15,-10,5,11,1,-3,-4,-7
1529295135778079,9,-4,3,6,3,-1,1,2
1529295135786057,-11,-5,3,12,8,-2,-7,-15
1529295135786057,19,6,3,-9,-6,-7,-2,18
1529295135801017,-10,-1,-15,-7,0,13,7,4
1529295135801017,-1,3,4,6,4,-3,0,-1
1529295135808996,14,6,3,1,-1,-3,-1,1
1529295135808996,-11,-8,-6,-16,-18,-4,-6,-11
1529295135823955,-3,10,12,23,20,8,0,-2
1529295135823955,-2,-5,-8,-4,9,4,2,4
1529295135838916,2,2,-2,-25,-8,2,2,0
1529295135838916,2,-3,3,16,0,-1,-10,-4
1529295135845897,-21,-6,-16,-5,2,2,6,-2
1529295135845897,1,-11,-4,-10,-7,-4,0,-2
1529295135860857,0,1,-2,0,-4,-9,-8,-6
1529295135860857,-9,-1,2,-2,-1,10,12,1
1529295135868864,-6,0,0,-25,-11,-7,-9,-2
1529295135868864,-17,-6,-2,-3,-3,0,-2,-2
1529295135883844,10,-1,2,17,10,2,2,-1
1529295135883844,-9,-6,-9,-7,-9,-3,-7,-29
1529295135898804,-5,-4,16,6,-5,-5,-6,-7
1529295135898804,6,3,-14,-6,0,-2,2,4
1529295135905782,3,-1,5,12,6,1,0,-3
1529295135905782,10,8,-17,-19,-3,3,0,6
1529295135920698,-8,1,6,1,-12,-6,-3,-4
1529295135920698,10,3,2,-8,-11,-5,-5,-31
1529295135928675,7,1,-15,-20,-4,-1,0,26
1529295135928675,-4,-4,6,23,6,2,-1,-12
1529295135943638,-6,-4,-2,1,1,-2,2,23
1529295135943638,8,3,-1,-7,-6,-1,3,14
1529295135958596,-26,-7,-14,-7,-7,-6,-9,-54
1529295135958596,7,-29,3,-32,-16,-5,-4,31
1529295135966573,-5,1,4,15,8,-2,-3,-37
1529295135966573,6,7,2,14,-7,-1,0,35
1529295135981535,6,-3,-5,-39,6,2,8,50
1529295135981535,-26,-9,10,6,1,-1,-5,-5
1529295135988515,-4,2,16,-25,-17,-3,-6,-32
1529295135988515,-9,-5,-10,15,-3,-7,-6,-35
1529295136003475,14,-6,-17,8,7,3,1,-2
1529295136003475,-16,14,2,-20,-2,-1,-1,14
1529295136018435,-1,-1,3,-8,-14,-7,-4,-4
1529295136018435,16,9,-9,-2,8,1,5,22
1529295136026415,-4,-1,-3,17,-1,-1,0,-31
1529295136026415,-6,-15,13,-21,-6,2,-1,-4
1529295136041374,-13,-2,4,15,2,-3,-1,5
1529295136041374,-7,-3,-7,8,21,7,-2,-14
1529295136048357,5,6,-7,5,1,4,3,13
1529295136048357,-3,8,-6,-15,-13,-5,-2,0
1529295136063317,1,7,0,-9,-13,-8,-1,-4
1529295136063317,-4,-6,-4,-4,0,0,-3,-20
1529295136078277,-7,-3,6,19,-4,-2,-4,12
1529295136078277,16,32,24,6,-7,-6,-5,4
1529295136086256,-10,-3,-13,-16,-6,-1,3,39
1529295136086256,-28,-38,11,2,-4,3,-4,-24
1529295136101215,7,-3,-6,-8,-3,-1,3,-10
1529295136101215,2,-10,-9,-4,4,-1,-3,-8
1529295136108195,-7,4,11,-10,-7,-4,-1,6
1529295136108195,11,16,-14,8,-2,-6,-1,2
1529295136123361,-18,-6,16,6,15,7,1,2
1529295136123361,-4,-15,20,10,3,4,7,6
1529295136138321,-4,-7,2,1,-11,-3,-1,-18
1529295136138321,-3,-3,-17,9,20,2,2,1
1529295136146300,-1,-17,10,9,-2,-3,-4,-9
1529295136146300,8,8,-2,-26,-12,-2,-1,-4
1529295136161488,12,7,-3,22,15,-1,-3,3
1529295136161488,6,4,5,3,-7,-1,-1,0
1529295136168435,-13,2,12,25,7,3,4,-8
1529295136168435,-3,2,1,-19,-6,0,1,-8
1529295136183555,20,3,-19,-26,-7,-2,4,22
1529295136183555,-11,-11,0,1,-12,-10,-8,-12
