timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528270816164385,-5,0,10,-1,-12,0,0,-12
1528270816164385,-7,-21,-30,-23,-19,-4,-9,-32
1528270816164385,-11,2,3,0,9,-2,2,5
1528270816164385,0,18,3,26,-3,-4,-3,-2
1528270816167378,10,-17,-7,-44,0,-1,29,30
1528270816167378,-14,-3,3,2,-9,6,-23,0
1528270816168376,-19,-12,-4,4,8,2,-7,-50
1528270816168376,-16,11,6,-9,4,-2,-7,-11
1528270816182339,30,40,-2,15,-2,-8,-4,6
1528270816182339,20,-17,11,0,10,-2,25,48
1528270816185330,0,14,-17,-15,-25,-11,-13,-19
1528270816185330,-7,-47,0,-6,-14,2,-7,-6
1528270816197299,-17,4,-2,14,5,4,-9,-17
1528270816197299,1,-31,-7,-22,-37,-14,8,5
1528270816206274,-1,-1,7,20,23,8,1,8
1528270816206274,32,24,0,-11,0,-7,3,11
1528270816211269,-4,-5,1,16,20,12,3,6
1528270816211269,-16,-3,4,24,-5,1,1,-6
1528270816235199,1,-7,-2,-24,20,6,-6,3
1528270816235199,21,9,-3,-12,-18,-9,0,1
1528270816236195,-3,-5,-4,-6,-10,-6,-5,-1
1528270816236195,5,22,11,7,9,1,0,-4
1528270816250158,-7,-3,1,24,0,-9,-6,-6
1528270816250158,-20,13,-7,-31,-4,5,-6,-7
1528270816251198,-22,-36,0,3,-41,-15,-10,-12
1528270816251198,24,18,4,7,30,11,6,8
1528270816273096,10,-15,-7,-19,19,8,-3,9
1528270816273096,-1,-6,3,21,4,-2,-1,-2
1528270816312989,-1,7,0,9,-1,-3,-3,-3
1528270816312989,6,-11,-2,-1,15,3,3,4
1528270816313987,-4,-8,-1,-3,-10,-3,3,-2
1528270816313987,7,11,2,4,-8,0,-1,3
1528270816316980,4,8,-1,-9,-2,-9,-5,-1
1528270816316980,-9,8,2,7,-4,10,10,0
1528270816316980,11,4,-2,3,-3,-1,2,8
1528270816316980,-16,-7,-5,-1,16,2,-6,-19
1528270816323960,9,-4,-1,1,-11,-6,-1,2
1528270816323960,-24,-14,-4,2,14,-1,-8,-11
1528270816330941,6,-11,-1,7,-7,-7,-3,1
1528270816330941,3,12,0,-13,-3,8,4,5
1528270816338933,-1,-23,-4,-9,-4,-4,2,6
1528270816338933,3,11,0,-6,-7,-6,-4,-3
1528270816353880,-20,-2,-1,-2,6,4,2,-7
1528270816353880,8,-6,3,8,2,0,-3,-1
1528270816360900,-3,15,3,2,-16,-4,1,-3
1528270816360900,2,-12,-4,-10,-7,-1,0,6
1528270816384836,-4,-1,-2,6,2,-3,-3,-4
1528270816384836,-4,4,3,0,20,4,7,6
1528270816385810,5,2,-2,-13,-3,2,-9,-1
1528270816385810,0,-3,2,5,-8,-5,-4,-11
1528270816398759,0,1,1,-3,4,-1,-4,-3
1528270816398759,2,2,2,3,-4,-6,-1,0
1528270816399762,-15,-29,-4,0,-11,-1,-5,-8
1528270816399762,7,12,-2,1,8,-7,-2,5
1528270816421700,-3,-13,1,-1,3,-2,-1,3
1528270816421700,-6,-7,0,3,-4,5,4,1
1528270816422697,0,4,4,-7,-1,2,0,-3
1528270816422697,10,10,2,0,5,-2,-4,-3
1528270816445636,-9,-4,-1,3,0,-2,-2,-6
1528270816445636,1,-5,1,-5,-4,0,-2,2
1528270816445636,1,4,3,2,5,1,-1,-2
1528270816445636,0,-2,1,-2,-18,-1,-1,0
1528270816459606,0,7,-2,-12,-2,0,-2,-1
1528270816459606,2,-8,-2,-6,-7,-7,-7,-2
1528270816459606,-8,-1,-7,10,11,-1,0,-3
1528270816459606,-5,12,-4,-7,-6,-1,-2,1
1528270816481840,12,-4,-3,-2,1,2,1,5
1528270816481840,-5,-9,-10,2,-16,-4,-6,-7
1528270816482888,-2,-3,-8,-4,13,4,4,4
1528270816482888,-1,1,-4,4,-1,-4,-2,-4
