timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529311884290694,19,-7,-12,-7,-10,14,-1,3
1529311884290694,2,2,3,-11,-27,-19,-2,-8
1529311884302693,-5,1,2,-2,-36,-25,-2,-2
1529311884302693,7,1,-4,10,17,42,12,5
1529311884311639,-3,10,9,9,44,25,3,1
1529311884311639,1,-1,6,10,32,24,7,6
1529311884326605,-4,-6,-3,-2,0,-11,-3,-1
1529311884326605,-5,-7,-8,-1,-16,-15,-8,-4
1529311884327597,-9,-3,-7,-11,-10,-25,-1,-1
1529311884327597,-2,-1,4,-2,-12,9,-7,0
1529311884348571,-2,-2,-8,-10,-17,-7,-1,-1
1529311884348571,-2,-1,3,11,2,-17,-4,-1
1529311884350563,0,6,10,16,18,33,10,2
1529311884350563,1,5,6,13,41,9,3,0
1529311884362503,0,-1,-6,-15,-16,2,-1,0
1529311884362503,-4,-5,-11,-29,-10,-26,-11,-8
1529311884371479,-7,-3,-7,-8,-72,-42,-14,-7
1529311884371479,7,3,4,12,0,3,14,11
1529311884386438,4,5,7,20,75,52,8,2
1529311884386438,-2,-6,-9,-13,9,-7,3,-1
1529311884387438,-3,0,-2,-2,-8,-21,-23,-5
1529311884387438,-3,0,6,-4,-45,-12,-4,-1
1529311884408418,-3,-5,-4,5,21,16,3,-1
1529311884408418,-1,-3,-9,-6,17,-1,5,-2
1529311884410375,0,0,4,0,-42,-15,7,0
1529311884410375,0,-1,-4,-9,-18,-6,-7,-1
1529311884422370,0,2,5,24,68,14,-2,-2
1529311884422370,-3,-8,-9,-3,-8,22,11,1
1529311884431319,-5,-3,-4,-8,1,4,0,-3
1529311884431319,-3,-6,-14,-19,-29,-26,-5,-5
1529311884446279,1,4,8,5,-40,-12,-2,2
1529311884446279,3,7,0,1,46,27,-6,2
1529311884448280,-4,-7,-9,-15,-17,-20,-2,-4
1529311884448280,0,-4,-3,17,34,-6,-9,-1
1529311884468255,2,-1,12,-12,-53,-6,8,3
1529311884468255,3,9,31,24,17,23,12,3
1529311884470217,-4,-9,-37,-18,12,12,-3,-1
1529311884470217,-4,-3,-2,-8,8,-35,-6,-3
1529311884482208,0,5,12,16,-3,6,0,0
1529311884482208,2,1,8,5,-17,13,4,0
1529311884491160,2,5,9,5,29,11,2,1
1529311884491160,-3,-5,3,-10,2,-8,-7,-4
1529311884506118,-2,2,-4,-10,-42,-23,-2,-3
1529311884506118,0,-7,-11,-5,2,2,-6,3
1529311884508113,-2,-3,4,4,27,10,1,0
1529311884508113,1,-1,-14,2,-17,-8,-11,-1
1529311884529059,-4,-3,2,-9,3,-2,6,-4
1529311884529059,-2,1,18,14,1,9,7,1
1529311884530056,3,5,15,16,13,12,5,2
1529311884530056,-2,-2,-20,-24,6,4,-2,-1
1529311884542061,-4,-11,-9,1,0,-7,-9,-4
1529311884542061,-1,1,-7,-19,-17,-17,-7,-4
1529311884550998,-4,-3,3,8,-15,-16,-5,-2
1529311884550998,6,12,30,23,4,14,7,2
1529311884565015,-4,-7,-22,-21,-10,-5,-2,-3
1529311884565015,-2,-5,-4,15,13,3,-1,-1
1529311884573938,2,5,13,12,2,0,1,1
1529311884573938,-4,-7,-27,-6,13,6,-2,-4
1529311884588898,2,0,15,-8,18,-5,-1,0
1529311884588898,-2,-3,-13,-29,-16,-8,-5,-2
1529311884589895,0,-1,-37,-5,-10,-6,-3,-1
1529311884589895,-8,-3,20,8,-17,-5,-2,-5
1529311884601902,0,-3,2,17,16,11,2,2
1529311884601902,-2,1,-2,-8,-4,1,-3,-1
1529311884611838,3,6,28,-2,11,2,3,0
1529311884611838,-2,0,-38,-5,1,1,2,-1
1529311884625799,10,-5,-4,1,-20,-13,-5,-2
1529311884625799,-5,-1,-8,-22,-14,-9,-3,-4
1529311884627794,-1,-1,10,20,6,-5,-6,-2
1529311884627794,-2,0,1,-27,-2,8,6,-2
1529311884648737,-3,5,26,10,-4,-8,-7,0
1529311884648737,2,-5,-55,-12,-2,-3,-1,-2
1529311884650742,-5,-6,13,2,-10,-5,-4,-3
1529311884650742,-1,-4,-1,7,8,8,5,0
1529311884662739,0,7,7,-10,-20,-18,-8,-3
1529311884662739,3,7,29,26,7,5,6,3
1529311884671676,-6,-8,-5,-9,15,13,5,0
1529311884671676,2,-1,-1,2,8,4,-1,0
1529311884685639,-3,-3,-3,5,1,1,0,0
1529311884685639,-2,4,33,-1,-15,-15,-10,-3
1529311884687633,-2,-2,-38,-13,-14,-12,-1,0
1529311884687633,2,-1,12,-1,9,8,0,1
1529311884708630,-3,-2,-10,5,-7,-10,-4,-4
1529311884708630,0,2,36,10,0,2,2,-1
1529311884710611,1,0,10,7,2,4,1,2
1529311884710611,-4,-8,-26,-24,-10,-9,-11,-4
