timestamp,x,y,z
1528270923417918,-11.0625,-6.9375,98.6875
1528270923440857,4.5625,-7.3125,119.25
1528270923463796,22.375,1.25,140.75
1528270923477759,3.6875,5.6875,166.313
1528270923508676,-11.1875,9.625,207.688
1528270923523637,14.75,8.875,244.5
1528270923544580,16.9375,1.5625,281.563
1528270923560538,18.4375,-5.5625,323.125
1528270923583488,29.4375,-5.5,365.43800000000005
1528270923604477,5.8125,-4.875,393.68800000000005
1528270923621375,-21.4375,-19.6875,422.125
1528270923651349,-7.0625,-47.25,449.875
1528270923666302,15.6875,-76.8125,475.75
1528270923681215,41.25,-95.4375,475.18800000000005
1528270923703169,53.125,-93.75,456.625
1528270923725367,102.875,-68.8125,423.06300000000005
1528270923748313,154.875,-44.375,382.0
1528270923764004,131.563,-30.5625,333.125
1528270923785944,78.8125,-28.0,270.625
1528270923801169,40.25,-22.0,204.188
1528270923823439,25.125,-22.5625,141.938
1528270923852030,28.1875,-30.5625,114.125
1528270923869227,-3.4375,-22.1875,77.8125
1528270923883944,-32.75,-12.0,33.375
1528270923905201,-24.75,-6.875,10.0625
1528270923926893,-29.6875,-5.4375,-5.125
1528270923943847,-56.1875,3.3125,-28.4375
1528270923965041,-50.5625,9.1875,-28.125
1528270923980747,-31.1875,0.875,-17.875
1528270924002689,-39.625,-3.125,-10.9375
1528270924025628,-24.4375,1.5,-11.625
1528270924048567,-7.1875,-2.375,-4.125
1528270924069852,-9.5,-7.625,-0.375
1528270924086466,0.25,-6.3125,-1.0
1528270924108406,7.125,-4.5625,0.75
1528270924130341,3.125,-12.9375,2.875
1528270924146460,-7.6875,-15.5,-0.625
1528270924168505,-2.9375,-10.5,-3.9375
1528270924182823,5.5625,-4.25,-2.625
1528270924205887,5.8125,2.125,-4.6875
1528270924228558,4.875,10.5625,-8.9375
1528270924242790,6.0625,15.0,-9.8125
1528270924267963,2.6875,14.6875,-9.0
1528270924288666,7.0625,15.3125,-9.625
1528270924309876,10.75,16.6875,-12.3125
1528270924326028,13.3125,17.75,-17.5
1528270924348816,22.25,18.1875,-14.3125
1528270924377215,50.0625,16.5625,-13.125
1528270924386672,85.8125,19.125,-14.6875
1528270924391841,101.18799999999999,30.1875,-22.8125
1528270924422106,104.68799999999999,36.75,-32.5
1528270924445799,99.1875,32.125,-35.5
1528270924458833,99.125,25.4375,-38.25
1528270924473847,106.875,26.5,-48.1875
1528270924500049,115.5,27.0625,-64.1875
1528270924511988,127.625,21.0,-86.6875
1528270924536678,121.125,-1.125,-115.5
1528270924557193,86.4375,-34.75,-150.375
1528270924572134,47.8125,-79.0625,-180.0
1528270924602216,4.3125,-127.625,-216.813
1528270924616419,-36.25,-165.688,-258.625
1528270924639338,-59.8125,-188.125,-309.0
1528270924660952,-81.6875,-204.5,-354.125
1528270924676301,-86.75,-210.688,-387.43800000000005
1528270924691598,-76.5625,-215.313,-419.375
1528270924714457,-45.875,-225.688,-438.68800000000005
1528270924739141,9.25,-238.563,-432.875
1528270924751096,46.875,-245.313,-429.18800000000005
1528270924777028,38.6875,-229.5,-417.125
1528270924796033,-7.3125,-197.5,-410.68800000000005
1528270924810991,-72.1875,-172.438,-423.18800000000005
1528270924833875,-115.93799999999999,-122.0,-365.68800000000005
1528270924856868,-123.31299999999999,-75.5625,-316.875
1528270924871819,-174.125,-66.5625,-225.5
1528270924893730,-367.81300000000005,-84.0,-124.93799999999999
1528270924916708,-511.93800000000005,-58.4375,-13.875
1528270924931634,-453.125,-40.5,34.875
1528270924955604,-285.5,-33.5625,50.25
1528270924976520,-104.25,-35.375,48.125
1528270924991508,33.375,-9.0625,30.6875
