timestamp,x,y,z
1528270977912229,-24.1875,29.125,50.125
1528270977926191,-31.625,38.5625,65.625
1528270977949130,-39.75,52.9375,86.4375
1528270977967083,-36.375,67.8125,113.93799999999999
1528270977987029,-30.0,77.875,138.813
1528270978008970,-23.0,90.9375,167.438
1528270978026923,-27.1875,105.56299999999999,201.313
1528270978046870,-14.625,119.43799999999999,227.063
1528270978068811,8.625,135.813,253.313
1528270978086763,19.125,156.563,278.938
1528270978106709,21.5,177.0,295.063
1528270978136630,10.5,184.125,303.063
1528270978146604,1.4375,186.25,318.688
1528270978174530,14.5,182.125,328.93800000000005
1528270978189488,33.625,175.875,334.31300000000005
1528270978207491,45.0,178.75,329.375
1528270978226389,41.9375,170.75,319.063
1528270978256311,28.25,148.813,311.125
1528270978267309,19.9375,125.625,294.563
1528270978287227,18.25,112.375,267.75
1528270978309206,27.875,103.43799999999999,245.25
1528270978334154,41.0625,96.125,213.688
1528270978348064,79.625,89.6875,182.375
1528270978380021,79.5625,80.875,154.75
1528270978386962,41.875,66.0625,122.81299999999999
1528270978416880,29.25,60.4375,92.25
1528270978428905,17.5,46.8125,54.875
1528270978452792,10.75,32.3125,27.1875
1528270978467899,12.875,21.25,15.875
1528270978491693,7.375,17.625,1.3125
1528270978508635,4.375,11.5625,-13.4375
1528270978535563,10.0625,5.6875,-15.375
1528270978549525,4.5625,-2.25,-15.1875
1528270978579694,-2.9375,-6.0,-13.125
1528270978594406,-1.875,-7.1875,-8.625
1528270978612603,1.0625,-9.0,-5.4375
1528270978627317,6.0625,-6.0625,-4.5
1528270978657250,12.4375,-1.9375,-5.6875
1528270978669455,18.0,0.0,-7.0
1528270978688158,23.3125,3.9375,-4.3125
1528270978709100,22.0,15.625,-3.125
1528270978729388,-6.125,49.375,21.9375
1528270978747023,-0.5625,101.125,43.0
1528270978776917,64.75,45.6875,21.25
1528270978788886,-30.8125,-63.3125,-7.375
1528270978814816,-91.1875,-134.438,-32.125
1528270978829776,-65.9375,-138.563,-43.375
1528270978852725,-11.5,-139.625,-62.4375
1528270978872933,5.25,-137.25,-48.6875
1528270978888651,28.8125,-118.75,-32.0
1528270978911575,9.9375,-83.875,-17.4375
1528270978933500,-25.8125,-38.4375,-16.0625
1528270978948463,-24.8125,-3.5,-18.375
1528270978971398,-1.5625,11.0,-15.5625
1528270978992454,4.875,13.8125,-8.9375
1528270979008299,-5.8125,9.1875,-3.1875
1528270979031653,-1.8125,4.5625,1.4375
1528270979052621,6.9375,0.3125,-1.9375
1528270979068536,7.75,-2.875,-6.1875
1528270979091475,1.5,-5.125,-12.25
1528270979129400,-3.0625,-7.125,-16.5
1528270979131373,-2.5,-7.875,-20.1875
1528270979151464,0.4375,-9.75,-22.0625
1528270979172671,1.6875,-13.5625,-26.0
1528270979188365,-0.6875,-20.625,-33.75
1528270979211891,-0.8125,-28.625,-41.625
1528270979233799,1.875,-38.9375,-52.125
1528270979247763,0.5,-53.625,-69.1875
1528270979270727,-8.625,-73.875,-94.0625
1528270979293643,-21.9375,-98.875,-118.43799999999999
1528270979307627,-39.25,-124.68799999999999,-143.375
1528270979331590,-42.8125,-139.938,-159.625
1528270979353478,-32.5,-156.375,-177.063
1528270979382401,-30.8125,-175.438,-201.5
1528270979391379,-40.0625,-192.25,-223.75
1528270979413358,-60.25,-205.813,-247.813
1528270979434291,-50.375,-210.125,-261.625
1528270979451235,-14.75,-199.063,-258.75
1528270979474156,-1.1875,-199.5,-270.313
1528270979495100,-19.375,-210.063,-272.813
1528270979511057,-4.125,-218.813,-251.875
1528270979534030,18.0,-220.188,-237.563
1528270979563917,4.4375,-211.875,-250.75
1528270979570899,-15.0,-196.313,-266.313
1528270979593837,-13.75,-172.0,-252.688
1528270979615367,4.5625,-147.625,-224.875
1528270979630993,18.6875,-126.375,-193.375
1528270979653934,16.25,-115.43799999999999,-150.813
1528270979674875,-4.6875,-115.68799999999999,-95.125
1528270979691087,-19.5,-105.5,-36.875
1528270979714029,-505.31300000000005,33.3125,-38.25
1528270979735217,-333.5,45.375,13.5625
1528270979758909,-228.688,33.8125,57.9375
1528270979773865,13.3125,-30.25,22.875
