timestamp,x,y,z
1528443352692962,4.625,-0.25,-0.25
1528443352715901,4.3125,-0.0625,-1.0
1528443352753798,-0.75,0.6875,-1.5625
1528443352775778,-3.1875,0.5625,-0.9375
1528443352820619,-7.1875,0.6875,1.25
1528443352858518,-7.5,1.5,1.75
1528443352865535,-7.3125,2.1875,1.1875
1528443352895458,-7.125,3.3125,-0.0625
1528443352910379,-5.625,4.6875,-1.625
1528443352925340,-2.25,5.875,-3.3125
1528443352948316,2.4375,6.5,-5.25
1528443352971218,6.9375,6.875,-7.1875
1528443352986205,10.75,6.5,-9.0625
1528443353008157,12.375,5.3125,-10.375
1528443353031216,10.625,4.3125,-11.0
1528443353046016,6.3125,3.25,-10.875
1528443353067960,1.125,2.4375,-9.75
1528443353090924,-2.75,1.75,-7.875
1528443353105856,-4.875,1.125,-6.0
1528443353127838,-3.875,0.5625,-4.4375
1528443353150776,0.0,0.0625,-3.0
1528443353165697,4.0,-0.375,-1.5625
1528443353188635,6.125,-0.375,-0.6875
1528443353210605,6.5625,-0.25,-0.375
1528443353225537,6.625,-0.125,-0.0625
1528443353248540,7.125,-0.3125,0.0
1528443353270464,8.1875,-0.625,0.0625
1528443353285378,8.75,-0.625,-0.0625
1528443353308334,9.3125,-0.8125,0.0
1528443353330310,9.125,-0.9375,0.6875
1528443353346270,8.875,-0.9375,1.5
1528443353368210,9.375,-0.8125,2.0625
1528443353391126,10.75,-1.0,2.1875
1528443353406099,11.625,-1.1875,2.625
1528443353428048,9.8125,-1.5625,3.1875
1528443353450994,5.8125,-1.8125,3.875
1528443353472928,2.875,-2.25,4.5625
1528443353495867,1.5625,-2.5,5.4375
1528443353510829,0.9375,-2.25,6.0
1528443353525734,0.9375,-1.625,6.375
1528443353548039,2.875,-0.625,6.0625
1528443353570560,7.25,0.625,4.75
1528443353593490,12.5,0.9375,2.5625
1528443353608433,13.3125,0.625,1.0
1528443353631316,8.75,0.6875,0.25
1528443353653504,2.5625,0.3125,0.5625
1528443353668465,-3.5625,-0.125,2.125
1528443353691302,-7.625,-0.25,3.625
1528443353713272,-9.8125,-0.3125,4.75
1528443353728231,-8.125,0.1875,5.125
1528443353751372,-4.0,0.9375,4.5
1528443353781330,0.4375,1.5,2.5
1528443353796285,3.8125,1.5625,-0.3125
1528443353818185,5.0,1.0625,-3.375
1528443353833392,3.625,0.5625,-5.8125
1528443353848321,0.5625,0.625,-7.625
1528443353870383,-3.0,0.4375,-8.4375
1528443353893803,-6.125,0.0,-8.3125
1528443353908831,-7.9375,-0.6875,-7.75
1528443353930987,-7.875,-1.4375,-6.875
1528443353953132,-5.25,-1.9375,-6.125
1528443353968073,-1.9375,-2.375,-4.9375
1528443353991234,-0.5625,-2.5,-4.0
1528443354021160,-1.75,-3.0,-3.3125
1528443354036160,-4.5,-3.625,-2.625
1528443354058691,-7.0,-4.1875,-1.5625
1528443354088783,-10.3125,-4.75,-0.4375
1528443354110974,-12.75,-5.3125,0.0625
1528443354133846,-15.25,-5.3125,0.75
1528443354148066,-15.6875,-4.6875,0.75
1528443354178183,-14.5,-4.5,0.75
1528443354201124,-14.25,-4.5,0.8125
1528443354215619,-14.6875,-4.4375,1.25
1528443354253749,-13.3125,-2.375,1.5625
1528443354267895,-12.75,-1.625,1.3125
1528443354290781,-12.3125,-1.25,1.0625
1528443354313815,-10.5,-0.9375,0.9375
1528443354335660,-7.875,-0.75,1.125
1528443354358107,-6.0,-0.5,1.6875
1528443354380469,-5.6875,-0.3125,2.375
1528443354396348,-6.0,-0.375,3.0
1528443354411350,-5.5,-0.125,3.5
1528443354433465,-3.6875,0.5,3.4375
1528443354448706,-1.1875,1.1875,2.5625
1528443354470505,1.9375,1.9375,1.0
1528443354493612,5.75,2.3125,-1.0
1528443354523747,9.8125,2.75,-3.5
1528443354545562,14.25,2.9375,-5.875
1528443354568469,17.125,2.3125,-6.9375
1528443354583456,17.0625,1.0625,-6.0
1528443354613405,8.875,-1.5625,-0.6875
1528443354635292,3.9375,-3.4375,3.625
1528443354650307,-1.0625,-5.1875,8.3125
1528443354673246,-5.375,-6.4375,12.0625
1528443354696162,-8.375,-7.75,14.9375
1528443354711088,-10.5625,-8.0625,16.5625
1528443354733081,-10.75,-8.0,16.5625
