timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528451673882659,-1,0,-1,-1,-2,1,0,2
1528451673882659,1,0,0,0,-2,-1,-1,-1
1528451673883657,1,1,-1,-1,-2,0,-1,0
1528451673883657,-1,0,0,-1,0,-2,-1,0
1528451673884654,-1,-1,-4,0,-1,-4,-1,-1
1528451673884654,-1,-1,0,0,-1,-1,0,-2
1528451673885651,-1,0,-2,0,0,0,1,-1
1528451673885651,-2,-1,-1,0,-1,1,0,-1
1528451673890639,0,1,1,-3,0,0,0,-2
1528451673890639,-1,-1,0,-1,-2,0,-2,-1
1528451673904626,0,-2,-1,0,0,-1,-3,-1
1528451673904626,-1,0,-2,-1,0,-2,1,1
1528451673910585,0,-1,-1,-1,1,0,1,-1
1528451673910585,-1,-2,-3,-1,2,0,2,-1
1528451673925544,1,0,0,-3,-1,-3,1,0
1528451673925544,0,-2,-1,0,-1,-1,-2,-2
1528451673935519,-1,-1,-1,0,-1,-1,0,0
1528451673935519,-1,0,-1,0,0,-2,-1,0
1528451673940506,-2,-1,-1,0,-2,-2,-1,-1
1528451673940506,1,0,-1,-1,-2,-1,-2,-1
1528451673955465,1,-2,-1,-1,1,-1,-1,-1
1528451673955465,0,0,-1,0,0,0,0,0
1528451673963444,-1,-1,-1,0,0,-1,1,0
1528451673963444,0,-1,1,0,-1,1,-2,-1
1528451674003338,-1,0,0,-1,0,-1,-2,-1
1528451674003338,1,0,-1,-1,-1,-2,0,-1
1528451674003338,0,0,-1,-3,-1,-2,0,-2
1528451674003338,-1,0,-1,-2,0,-3,0,-1
1528451674005335,1,-1,0,0,-1,-1,0,-2
1528451674005335,-3,-1,-2,-1,-1,-1,-1,-1
1528451674009329,0,-1,-2,1,-2,-1,-3,0
1528451674009329,0,-1,-1,0,1,-1,-1,-1
1528451674015306,0,-3,0,-1,-1,-2,1,0
1528451674015306,-1,-2,-1,-1,0,1,0,0
1528451674024280,-1,-2,-2,1,-1,1,0,0
1528451674024280,-3,-1,-1,0,-1,0,0,0
1528451674030265,0,0,-2,-1,-1,-1,-1,-1
1528451674030265,-1,-1,0,-1,-1,-1,1,-2
1528451674046221,-2,0,-1,-1,0,0,1,-1
1528451674046221,0,-1,-1,-1,0,0,-1,1
1528451674054200,0,-2,-1,-1,-1,-2,-1,-1
1528451674054200,0,-1,-1,0,-2,-3,-1,-1
1528451674067165,1,1,1,0,1,-1,-2,0
1528451674067165,-1,-1,0,-1,1,0,-2,-3
1528451674075144,0,0,-1,-2,-1,2,0,2
1528451674075144,-1,1,-1,-1,0,-2,-2,1
1528451674084120,-1,-2,0,-1,0,-1,-1,0
1528451674084120,0,-2,-1,0,-1,0,0,-2
1528451674090104,-1,1,-2,0,0,0,0,-1
1528451674090104,-2,1,-2,0,-1,0,-2,0
1528451674107059,0,2,-1,0,-1,-1,-1,-1
1528451674107059,0,-1,0,-1,0,-2,0,0
1528451674113042,0,0,0,0,-2,0,0,-1
1528451674113042,1,0,-1,-1,0,0,-1,0
1528451674128022,-2,-2,-2,0,-1,0,-1,-2
1528451674128022,-2,0,0,-1,-3,-1,0,0
1528451674135023,-2,0,0,0,-1,-3,-1,-1
1528451674135023,1,-1,1,-1,0,0,1,0
1528451674150985,-1,0,0,-1,-1,-1,-1,1
1528451674150985,-1,0,-1,1,0,1,1,0
1528451674151966,0,0,-3,0,-1,-1,-3,0
1528451674151966,-1,-2,0,1,-2,0,1,-1
1528451674166937,-1,0,-1,-2,-2,0,-1,-1
1528451674166937,-2,-1,0,-2,0,0,-1,0
1528451674172883,-1,-1,1,-1,1,2,-1,-1
1528451674172883,-1,-1,-1,-2,-3,-3,-1,-2
1528451674181899,0,-2,-1,1,-1,-1,0,0
1528451674181899,-1,1,0,1,-2,-2,-1,0
1528451674203801,-2,0,-2,1,0,-2,-1,-2
1528451674203801,1,0,-1,0,0,0,0,-2
1528451674205795,-2,-1,-1,-1,0,-1,0,-1
1528451674205795,2,-1,-1,-2,-1,-1,-1,-1
1528451674209785,-2,-1,0,-1,0,-2,0,-1
1528451674209785,0,0,0,0,1,1,-2,0
