timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529291931877258,-10,-6,-1,-6,-13,-15,-20,-14
1529291931877258,0,-1,5,-14,-9,-59,-16,0
1529291931877258,1,-2,5,-26,24,68,22,8
1529291931877258,1,-1,12,9,-10,-7,-14,-4
1529291931892219,-4,-7,-5,-82,-32,-4,-8,-1
1529291931892219,1,2,22,41,9,4,18,6
1529291931892219,1,-4,-2,-29,-16,-42,-26,-2
1529291931892219,-7,-1,-9,6,15,17,6,3
1529291931914213,4,3,-14,-6,-20,-44,-21,5
1529291931914213,1,2,-40,20,58,40,0,4
1529291931915158,2,-1,-33,-10,-6,-5,26,14
1529291931915158,19,7,-58,-2,39,89,33,21
1529291931937098,-4,-4,-32,15,5,-23,-17,-3
1529291931937098,-3,-5,-11,-34,-25,-8,-27,-16
1529291931938097,-8,-4,13,4,-50,-49,-31,-23
1529291931938097,4,6,27,15,37,18,21,16
1529291931952058,6,7,25,1,10,30,28,14
1529291931952058,1,2,21,-28,20,58,20,13
1529291931953057,-13,-6,14,-110,-37,-73,-47,-31
1529291931953057,-5,-2,20,-90,-34,-35,-22,-11
1529291931974045,-3,-1,11,-52,35,24,11,-8
1529291931974045,7,5,17,-2,21,32,13,7
1529291931975017,2,4,9,-5,-29,-41,-12,3
1529291931975017,-5,-1,16,89,21,31,0,-2
1529291931996939,-1,3,23,111,-10,-3,0,-6
1529291931996939,-5,1,10,-3,-34,-9,0,8
1529291931997937,1,1,17,86,15,16,-2,7
1529291931997937,-6,-4,35,6,-40,-60,-30,-1
1529291932011952,0,4,38,49,12,-6,-2,6
1529291932011952,-2,-4,22,8,2,32,22,3
1529291932012895,-1,-3,13,21,-3,-31,-24,-14
1529291932012895,-2,-5,-3,28,-22,-21,-9,-16
1529291932034864,3,0,-15,41,41,50,32,3
1529291932034864,2,-2,-30,0,-9,-4,-3,-9
1529291932034864,3,-1,-42,12,11,18,5,-1
1529291932034864,-5,-7,-42,37,-9,-30,-26,-17
1529291932056780,-11,-5,-40,-29,-26,-28,-25,-19
1529291932056780,-5,-4,-37,-19,-10,8,11,-3
1529291932057776,6,1,-24,24,17,23,16,6
1529291932057776,-5,-5,-20,24,10,5,4,-3
1529291932071783,-1,-1,-20,-23,-16,-12,-12,-4
1529291932071783,-4,-2,-9,-17,-11,-4,-15,-7
1529291932072735,0,-1,-11,-10,-12,-12,4,4
1529291932072735,4,4,2,-5,6,-10,0,3
1529291932094677,0,3,10,1,-10,20,16,5
1529291932094677,-8,-9,17,15,10,16,-3,-2
1529291932095674,7,0,11,-17,-2,4,5,12
1529291932095674,2,4,38,2,-10,-18,-7,1
1529291932118614,9,1,6,-3,8,9,9,1
1529291932118614,5,0,30,-14,-18,-12,-9,-6
1529291932119611,-1,5,16,15,6,1,-7,-13
1529291932119611,-9,-8,18,-20,-2,6,11,6
1529291932131579,-4,-5,13,20,6,-8,-9,-5
1529291932131579,-4,-6,10,-28,-2,-2,6,3
1529291932132576,4,-2,20,10,6,3,1,4
1529291932132576,7,4,10,-24,-7,-8,-2,-2
1529291932154516,-17,-18,12,-15,12,3,2,-3
1529291932154516,5,-6,7,-1,-1,-9,-1,6
1529291932155521,-14,-16,12,-20,-8,1,1,-4
1529291932155521,9,0,-3,13,15,9,5,4
1529291932177502,-4,-6,-7,-42,-20,-8,-11,-5
1529291932177502,2,3,-25,25,10,-4,8,6
1529291932177502,1,-3,1,106,31,20,10,8
1529291932177502,25,0,-8,3,14,14,11,10
1529291932191417,-7,14,-17,7,9,3,-5,-14
1529291932191417,24,-11,-15,-75,-53,-30,-20,-4
1529291932192415,-27,-6,-20,-34,-23,-16,-9,-9
1529291932192415,-19,-18,27,22,5,4,-9,-3
1529291932214356,60,0,37,24,3,-17,0,22
1529291932214356,-42,-1,35,22,22,36,22,-21
1529291932215355,7,8,38,-5,8,11,4,2
1529291932215355,-11,6,35,-40,-22,-14,-5,-3
1529291932237315,-21,-9,30,14,-10,-10,-14,-6
1529291932237315,4,6,18,34,6,-5,3,7
1529291932237315,16,6,13,-28,21,13,7,4
1529291932237315,-10,1,-28,6,4,0,-2,-9
1529291932252255,-29,-16,-38,2,-9,-3,2,-4
1529291932252255,33,14,-66,23,4,2,5,14
1529291932252255,-14,0,-91,0,3,-5,-7,-14
1529291932252255,-2,-6,-84,-44,-14,-2,-1,-5
1529291932274196,-4,9,-60,-47,-10,5,6,-4
1529291932274196,-18,-2,-28,45,14,-3,-7,-1
1529291932275194,23,7,-11,-10,-5,-9,-9,1
1529291932275194,-1,5,0,39,31,14,6,10
1529291932289157,-18,-1,4,-52,-38,-29,-28,-25
1529291932289157,-12,3,20,9,-2,-26,-14,-2
1529291932296139,-10,1,27,23,5,23,26,3
1529291932296139,4,3,8,-16,16,34,22,8
1529291932312095,12,1,-8,42,17,22,9,11
1529291932312095,-10,0,-10,-17,-1,-1,1,-1
1529291932313093,-3,-1,-15,4,-19,-44,-36,-13
1529291932313093,10,3,-19,12,-5,0,7,4
1529291932334039,-11,0,-21,-28,3,17,13,2
1529291932334039,2,4,-10,-11,5,-13,-12,-11
1529291932335034,3,-3,4,-20,-29,-7,2,7
1529291932335034,-10,-1,17,-23,-16,-14,-4,-7
1529291932357429,16,12,37,7,20,20,15,10
1529291932357429,-28,-10,39,14,-4,8,-2,-11
1529291932357429,33,8,26,-6,6,7,9,14
1529291932357429,0,-2,22,-11,-14,-18,-16,-4
1529291932372272,-3,1,19,-30,-19,-26,-19,-8
1529291932372272,18,-13,-6,36,22,19,10,10
1529291932372272,-5,3,9,-8,-7,-6,-7,-3
1529291932372272,-30,-5,-17,-27,-20,-9,-7,-23
1529291932394225,30,12,6,57,17,11,7,14
1529291932394225,-36,-12,-11,-23,0,4,-7,-14
1529291932395211,11,-5,-5,-13,-10,-5,-1,8
1529291932395211,-6,-9,-8,14,3,-13,-12,-13
1529291932409254,-5,-4,-17,2,-1,2,3,7
1529291932409254,10,6,-8,33,19,8,1,0
1529291932416154,-14,-11,-24,-10,-12,-7,-5,-3
1529291932416154,-3,-4,-18,23,11,-8,-3,1
1529291932432113,-3,2,-15,-10,-2,9,8,-3
1529291932432113,9,1,-2,-9,-7,-9,-3,4
1529291932433138,-9,-2,4,12,18,-2,-2,-7
1529291932433138,-5,-3,19,49,4,9,6,5
1529291932454400,29,-2,7,-37,-21,-20,-15,3
1529291932454400,6,4,13,-6,-17,-7,1,5
1529291932455239,-13,-4,3,-9,-2,-8,-5,-19
1529291932455239,5,9,-3,11,8,13,11,12
1529291932477339,-19,-15,-8,43,18,-7,-12,-12
1529291932477339,-4,-2,-25,-11,-4,10,10,10
1529291932477339,-2,-5,-50,-8,20,25,6,-3
1529291932477339,-8,-7,-40,-34,-25,-29,-27,-15
1529291932492140,-14,-1,-30,-35,-19,9,13,-5
1529291932492140,15,-13,-21,-31,-1,-11,-2,12
1529291932493141,-17,0,9,14,4,4,-8,-6
1529291932493141,9,4,30,-28,8,19,13,5
1529291932523144,-1,0,48,-14,0,11,5,1
1529291932523144,5,10,83,0,-7,-12,-12,-12
1529291932523144,1,6,67,11,-7,2,7,5
1529291932523144,-2,8,66,-13,-13,-26,-20,-13
1529291932537279,-7,-4,78,13,-9,-15,-8,-6
1529291932537279,1,5,73,3,-8,-7,-2,-5
1529291932537279,4,-3,54,8,14,18,10,11
1529291932537279,-6,-1,24,15,7,-4,-3,-9
1529291932552399,-16,-7,21,30,6,-1,-3,-2
1529291932552399,27,5,-6,-18,-4,2,-2,8
1529291932553268,-36,-8,-31,-5,-6,6,6,-16
1529291932553268,8,-7,-59,-13,1,9,14,13
1529291932574376,2,-3,-77,-36,-6,-12,-11,-5
1529291932574376,-15,-4,-72,7,-5,-11,-5,-8
1529291932575373,18,-4,-51,-4,27,42,23,18
1529291932575373,18,5,-44,10,11,29,17,10
1529291932596552,-14,-6,-32,-20,-14,-22,-23,-13
1529291932596552,-6,0,-13,-19,-30,-51,-19,-16
1529291932597516,10,4,-1,6,10,6,9,12
1529291932597516,8,-4,7,5,19,34,27,12
1529291932611817,6,7,10,-62,-22,2,4,7
1529291932611817,-6,-4,33,14,-17,-24,-31,-15
1529291932612677,-13,1,33,1,-31,-44,-23,-19
1529291932612677,7,0,52,3,39,45,29,21
1529291932634151,3,0,58,11,-1,-9,-5,-3
1529291932634151,-2,-2,34,-5,21,48,33,10
1529291932634991,11,0,29,3,-9,-12,-8,3
1529291932634991,-6,-1,2,-39,-42,-42,-36,-20
1529291932657320,-9,-7,6,26,4,-33,-23,-14
1529291932657320,5,2,-9,-10,11,39,36,13
1529291932657320,-4,-4,10,30,6,-1,-6,-2
1529291932657320,6,1,-4,10,8,7,2,14
1529291932679419,-10,5,-28,-4,1,13,5,-9
1529291932679419,-12,-4,-32,-9,-20,-56,-35,-18
1529291932680261,10,-2,-28,12,16,36,22,12
1529291932680261,3,4,-19,18,21,20,24,14
1529291932693583,-5,-6,2,-8,9,10,-8,-5
1529291932693583,0,-3,-4,10,-7,-14,-21,-8
1529291932702413,-4,4,-9,12,-5,-23,-10,-7
1529291932702413,2,4,0,-38,-43,-43,-27,-10
1529291932717360,4,5,0,31,18,25,19,8
1529291932717360,1,-6,-27,-4,19,28,17,3
1529291932717360,2,-5,-39,-42,-16,-12,-8,-3
1529291932717360,-11,-9,-44,-12,-13,-16,-13,-13
1529291932739298,2,-2,-41,14,-7,-18,-10,-2
1529291932739298,0,-1,-39,-12,-3,9,1,3
1529291932740297,4,-2,-23,-13,-8,-4,-2,-4
1529291932740297,10,-4,108,10,1,-5,-5,8
1529291932755256,1,6,52,26,11,19,8,16
1529291932755256,-5,1,24,-6,3,16,3,-21
1529291932762283,-14,-10,-25,30,-10,-40,-16,-1
1529291932762283,-7,-8,-50,9,22,27,12,-2
1529291932777245,-4,-16,-34,8,10,3,1,2
1529291932777245,8,4,-29,36,5,6,5,13
1529291932777245,16,-5,-20,-8,20,34,18,18
1529291932777245,-8,-10,-30,-25,-15,-11,-2,-7
1529291932799140,13,0,-20,-3,-9,-13,0,3
1529291932799140,-6,4,-19,31,-6,-59,-17,-10
1529291932800137,-3,-2,1,-60,1,50,13,2
1529291932800137,3,12,-12,38,18,-6,-4,1
1529291932814100,-13,-4,-21,-19,6,24,12,-2
1529291932814100,-8,-8,-1,-4,-29,-34,-22,-5
1529291932822078,-12,7,8,-36,-25,-40,-26,-14
1529291932822078,-4,1,-14,-1,-2,18,7,3
1529291932837038,6,6,-11,-1,1,-7,-2,-2
1529291932837038,-3,-2,3,-9,9,23,12,12
1529291932838036,-6,0,6,10,7,-1,7,-6
1529291932838036,13,2,-11,11,-8,-19,-18,-3
1529291932858980,-10,9,-3,22,7,-21,-12,-13
1529291932858980,5,15,4,-15,-26,-19,-4,-7
1529291932859977,-25,-1,-1,32,10,-6,-2,0
1529291932859977,-2,16,-5,25,16,24,14,4
1529291932873940,1,18,-1,28,12,7,12,7
1529291932873940,3,24,-1,12,7,10,2,5
1529291932881918,1,52,1,-25,-16,-37,-25,-10
1529291932881918,-7,37,-3,-31,-18,-21,-2,-4
1529291932896878,6,18,-2,23,6,9,1,-1
1529291932896878,-1,-23,-21,-1,27,44,26,9
1529291932897876,12,-37,-32,28,17,34,16,8
1529291932897876,-5,-43,-45,12,6,3,-6,-5
1529291932919817,-2,-42,-42,-13,-17,-19,-5,-6
1529291932919817,-2,-31,-19,-28,-26,-28,-18,-2
1529291932920823,-1,-26,-31,-5,-2,14,17,0
1529291932920823,1,-13,-14,-1,8,3,-1,-4
1529291932942756,-1,-7,-9,-12,-5,10,1,1
1529291932942756,-1,-4,-5,-3,8,10,-1,0
1529291932943753,-1,-6,7,7,-19,-47,-20,-4
1529291932943753,3,-6,-6,-11,2,34,16,1
1529291932956718,-2,-3,-9,-6,6,1,2,2
1529291932956718,1,-10,-14,-3,3,24,8,3
1529291932957716,4,7,19,19,7,5,4,-1
1529291932957716,-4,2,14,30,-10,-29,-22,-7
1529291932979657,-2,-1,-1,-39,-23,-12,-4,-1
1529291932979657,4,7,-17,-2,8,14,4,5
1529291932980654,1,3,13,-1,-4,-9,-6,-3
1529291932980654,-6,2,-3,-17,-6,1,6,-2
1529291932993620,9,-5,11,2,21,48,27,12
1529291932993620,1,1,12,14,9,5,-3,-2
1529291933002633,-4,-7,-1,-16,-23,-28,-19,-11
1529291933002633,-10,-2,23,12,-13,-36,-25,-14
1529291933016612,4,-1,-3,2,10,20,28,12
1529291933016612,3,1,12,3,13,20,12,5
1529291933017556,0,-3,-7,-13,3,9,2,4
1529291933017556,1,-4,8,-7,-19,-16,-9,-4
1529291933040529,-9,1,1,-3,-15,-26,-24,-10
1529291933040529,-4,1,9,9,0,-7,-5,-5
1529291933040529,3,6,2,7,5,10,4,5
1529291933040529,-6,-3,-5,-10,-6,-11,-7,-8
1529291933070414,2,-3,8,5,6,9,3,0
1529291933070414,1,2,-6,-31,-3,0,6,5
1529291933071443,2,1,-10,19,5,3,-5,0
1529291933071443,-9,-8,10,14,-6,-25,-10,-10
1529291933077444,3,5,6,-15,-8,-5,-10,-1
1529291933077444,-6,-6,-1,6,26,48,32,4
1529291933077444,4,0,-7,-12,-8,0,0,0
1529291933077444,-4,-16,-17,-8,2,5,2,3
1529291933100334,-2,-16,13,21,-13,-27,-17,-7
1529291933100334,-6,-28,5,-2,-17,-26,-17,-8
1529291933100334,4,-18,11,13,9,-2,-5,0
1529291933100334,8,-36,7,-1,6,23,22,10
1529291933122630,-6,-27,1,-1,-1,1,-3,-5
1529291933122630,3,-15,2,0,-5,-6,-6,-1
1529291933123462,0,-25,6,6,3,5,6,-1
1529291933123462,0,5,4,-7,-7,-9,-8,0
1529291933145539,-3,27,-11,-2,3,4,0,1
1529291933145539,1,49,-3,9,2,-9,-6,-2
1529291933146451,-2,57,-6,26,8,-2,-1,-1
1529291933146451,-2,50,-32,-21,-2,0,-4,0
1529291933160501,3,36,-13,7,4,0,0,2
1529291933160501,-5,29,1,2,-13,-26,-20,-9
1529291933161449,0,10,-11,-23,-11,-4,3,0
1529291933161449,5,4,-2,14,13,24,15,9
1529291933182503,1,6,4,10,9,12,8,1
1529291933182503,2,5,16,-2,-7,-10,-6,-3
1529291933183500,0,5,14,-14,-12,-8,-9,-4
1529291933183500,-1,6,19,0,-6,-12,-9,-6
1529291933196464,-5,-1,7,-18,-10,-11,0,0
1529291933196464,-1,-4,14,20,7,3,-1,-2
1529291933197463,2,-2,12,-15,5,8,7,4
1529291933197463,0,7,13,-6,-2,-1,0,1
1529291933220565,-1,8,18,-8,-7,-8,-6,-4
1529291933220565,-2,10,14,4,-2,-4,-2,0
1529291933221463,-5,-3,25,2,2,2,1,-1
1529291933221463,-4,7,47,9,1,-2,-1,-1
1529291933242501,-2,-12,28,-3,-1,-2,-2,-3
1529291933242501,1,-23,-99,-16,0,-5,-3,0
1529291933243347,0,-12,-112,-10,-5,-9,-5,0
1529291933243347,1,-20,-48,-22,-6,-4,-2,-1
1529291933257421,-2,-5,33,17,3,-3,-1,-3
1529291933257421,1,-1,113,-4,1,12,7,7
1529291933257421,-8,14,121,-5,-5,9,1,-2
1529291933257421,7,11,85,14,4,-4,-5,3
