timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529287887688283,4,0,6,10,3,7,-4,-1
1529287887688283,-5,-8,-12,-9,-9,-4,-6,2
1529287887714211,-4,-2,-7,1,6,6,2,-5
1529287887714211,5,4,1,-2,-1,-2,5,1
1529287887718201,-3,-3,-9,-15,-11,-4,-5,0
1529287887718201,-2,0,3,5,1,4,-4,-3
1529287887733162,-3,5,10,14,6,0,1,-3
1529287887733162,-6,-2,-6,-9,-6,-5,-1,-4
1529287887740143,-1,4,8,6,4,-2,2,-1
1529287887740143,-3,-2,-6,-7,4,1,-3,-3
1529287887756101,2,-1,0,3,-4,-5,-5,-4
1529287887756101,1,-5,-4,1,6,-2,-1,-1
1529287887766074,4,-3,-4,-10,-4,1,5,1
1529287887766074,3,2,2,6,5,0,4,1
1529287887778042,0,-3,3,4,1,8,0,4
1529287887778042,4,-3,3,10,-3,6,-3,-2
1529287887793002,4,3,-1,1,-5,-5,-2,3
1529287887793002,-1,3,-6,-9,2,4,1,-1
1529287887800981,-3,0,3,-1,3,-3,-4,0
1529287887800981,-4,2,10,9,5,-2,-2,1
1529287887816938,-2,-4,1,1,4,0,-2,-3
1529287887816938,-3,-1,-7,-18,-4,-1,-8,-6
1529287887837915,-2,1,1,0,-12,-10,-4,-2
1529287887837915,-1,2,1,3,-1,5,3,1
1529287887845860,-4,-1,-1,9,5,-2,-1,-4
1529287887845860,-2,1,-3,-2,0,1,-2,-1
1529287887852882,0,0,-4,3,3,-2,2,0
1529287887852882,1,-3,-10,-7,-3,-6,0,0
1529287887860856,-3,-2,-2,-12,-4,5,0,4
1529287887860856,-2,-1,11,13,0,-4,-5,-1
1529287887875815,-4,-6,-7,-12,-8,-16,-2,0
1529287887875815,-2,1,3,5,-1,0,7,-1
1529287887882797,-5,-1,1,2,2,-1,2,-5
1529287887882797,-1,5,-3,-3,5,8,3,-1
1529287887905701,4,1,-2,-1,-4,2,-3,-2
1529287887905701,3,-2,-1,-2,-11,3,-4,-3
1529287887912682,2,-1,1,4,10,4,-5,-4
1529287887912682,-2,-2,-4,-13,-12,-15,-11,-3
1529287887920661,2,8,1,2,4,-13,-4,1
1529287887920661,-1,1,3,10,18,3,4,1
1529287887927642,-3,-3,-4,-7,-9,-2,0,0
1529287887927642,-1,-6,1,1,2,11,-3,-1
1529287887943599,-2,-1,6,5,-5,6,3,4
1529287887943599,-1,-3,-4,-9,-2,4,1,5
1529287887958559,0,-1,5,6,2,-3,-1,-1
1529287887958559,-2,0,-10,1,-2,-6,-4,-2
1529287887965540,0,-2,-2,-2,-6,-6,-4,-3
1529287887965540,0,-3,-7,-5,-7,0,2,1
1529287887973520,-1,6,12,3,9,12,6,-2
1529287887973520,1,0,3,0,-5,1,2,0
1529287887980502,2,10,-7,-8,2,0,2,3
1529287887980502,-4,8,1,8,7,-3,3,-1
1529287887995460,-6,-8,-14,-21,-17,-10,-3,-3
