timestamp,x,y,z
1529291960021300,-32.75,59.0625,-270.5
1529291960044257,-18.0,68.125,-235.313
1529291960081351,11.375,63.25,-161.188
1529291960104288,42.75,35.0,-121.25
1529291960141210,125.56299999999999,26.6875,-14.5
1529291960164162,104.375,33.5,20.5
1529291960186086,71.9375,35.5,55.4375
1529291960201385,48.5,41.5625,95.375
1529291960224266,36.4375,51.1875,125.0
1529291960246521,33.6875,54.9375,131.563
1529291960275994,-11.0,43.625,109.81299999999999
1529291960298942,-17.625,20.1875,72.5625
1529291960320734,-21.1875,-1.5625,25.5
1529291960336820,-32.5,-9.6875,-14.375
1529291960358791,-26.625,-24.0625,-58.8125
1529291960381812,-11.5625,-48.8125,-105.0
1529291960396786,12.0,-77.5625,-136.5
1529291960419009,38.1875,-99.375,-147.438
1529291960441814,56.0,-115.375,-147.938
1529291960456818,71.8125,-133.313,-146.063
1529291960479037,84.6875,-154.875,-143.25
1529291960501031,94.1875,-169.25,-132.313
1529291960523997,101.81299999999999,-177.25,-111.5
1529291960546046,109.125,-188.813,-92.0
1529291960569002,112.75,-195.438,-82.25
1529291960576836,110.125,-193.063,-75.25
1529291960598922,102.625,-181.75,-63.875
1529291960621071,97.875,-161.188,-48.6875
1529291960636030,92.6875,-148.813,-47.25
1529291960659169,88.1875,-139.313,-43.625
1529291960681114,86.875,-119.93799999999999,-35.9375
1529291960696267,69.1875,-83.8125,-24.6875
1529291960719376,61.25,-73.0625,-15.25
1529291960741453,52.1875,-72.0,-9.125
1529291960756429,48.0625,-65.5625,-4.4375
1529291960786552,36.0625,-57.875,0.75
1529291960809362,33.3125,-60.8125,17.6875
1529291960824309,19.9375,-4.5625,-29.125
1529291960838411,-33.8125,11.9375,-12.125
1529291960861396,-12.0625,-35.1875,-5.5625
1529291960876719,15.0625,-44.9375,-6.8125
1529291960898499,-6.9375,-28.875,2.5625
1529291960921437,-29.875,-20.4375,-11.6875
1529291960936396,-29.3125,-9.625,-30.9375
1529291960958388,-7.8125,-9.9375,-31.1875
1529291960981324,-1.125,-18.625,-26.6875
1529291960996284,-9.875,-15.9375,-28.25
1529291961018233,-21.9375,-5.1875,-14.5625
1529291961041149,-17.6875,-1.125,-8.0
1529291961056124,-0.5625,-4.875,2.6875
1529291961079071,-0.25,-9.1875,5.9375
1529291961101016,-12.5625,-8.5625,10.375
1529291961115971,-29.3125,-3.4375,12.6875
1529291961138855,-37.375,8.9375,29.8125
1529291961160848,-31.0625,23.5625,52.625
1529291961183781,-8.9375,54.625,83.625
1529291961198695,-17.4375,81.375,114.875
1529291961221745,-27.25,82.4375,131.875
1529291961243739,-7.625,74.0625,138.313
1529291961258691,16.6875,81.6875,148.938
1529291961281630,7.8125,86.0625,166.438
1529291961303950,12.875,82.125,207.0
1529291961319070,40.0625,73.6875,251.188
1529291961340975,61.25,75.5625,296.188
1529291961371124,65.0625,87.75,326.063
1529291961386307,44.1875,82.75,324.688
1529291961423965,50.6875,-12.1875,359.18800000000005
1529291961438915,81.875,-20.875,389.18800000000005
1529291961460867,60.8125,-10.375,379.75
1529291961483801,-6.75,-50.9375,335.25
1529291961498755,-9.125,-84.125,298.0
1529291961521540,-63.0,-69.3125,331.68800000000005
1529291961543494,-132.313,-56.875,339.625
1529291961558582,-183.25,-70.4375,268.188
1529291961581524,-169.125,-75.8125,219.125
1529291961603475,-77.875,-55.4375,206.313
1529291961618280,-13.625,-36.3125,184.875
1529291961641218,-4.25,-35.1875,159.125
1529291961664196,-15.25,-39.625,140.625
1529291961678175,-28.1875,-38.625,116.0
1529291961701148,-34.0,-34.0625,91.125
1529291961724052,-18.375,-29.125,73.125
1529291961739015,30.75,-17.375,52.1875
1529291961761137,90.875,8.3125,31.75
1529291961784242,155.313,28.3125,14.25
1529291961799287,195.313,27.75,-2.4375
1529291961821405,187.375,17.5,-11.25
1529291961843893,138.25,10.375,-8.375
1529291961858797,68.4375,7.8125,-11.0625
1529291961881015,9.3125,6.5,-18.75
1529291961903950,-12.75,7.1875,-14.375
1529291961918908,-8.5625,8.625,-5.5
1529291961948793,4.5,9.125,-0.25
1529291961971840,18.4375,9.1875,1.0
1529291962000841,26.4375,8.1875,-1.4375
1529291962023642,12.75,4.0625,-2.4375
1529291962046604,-10.75,0.0625,-1.1875
1529291962069274,-34.25,-2.1875,0.125
1529291962099290,-38.5,-3.25,-3.75
